"Type","Label","Title","File","Source","SHA256"
"Table","Table S1","Physicochemical descriptor statistics","tables/Table_S1_Physicochemical_Descriptor_Statistics.csv","results/step24_physicochemical_statistics_manuscript.csv","E0EAA3AF44030A50486DAF13C6B541436F23D802A849272404DB1FED62B7A1D8"
"Table","Table S2","Highly correlated physicochemical descriptor pairs","tables/Table_S2_Highly_Correlated_Descriptor_Pairs.csv","results/step26_high_correlation_pairs.csv","3F75E13826889A0A9FF63F0541E56E4C68E7EB65601E99C4242A34EE5E1BE827"
"Table","Table S3","Cross-validated performance of traditional classifiers","tables/Table_S3_Traditional_Model_Performance.csv","results/step35_traditional_model_comparison.csv","8824F0CBA1263A36C046A895AFDE3A3703BDEF56116B2FE3906B07437EB93000"
"Table","Table S4","Permutation importance of traditional XGBoost descriptors","tables/Table_S4_Traditional_XGBoost_Permutation_Importance.csv","results/step38_xgboost_permutation_importance.csv","1745470BA6656534663EAF98356FA309B23BD1F25DEF8374FEE1BBBB110540D2"
"Table","Table S5","Cross-validated performance of ESM-2 classifiers","tables/Table_S5_ESM2_Model_Performance.csv","results/step52_esm2_model_comparison.csv","E4B77B87F49A7F32FC51ABCFDD7D145ED997F141AB01DFAC3493BC570CBA31D1"
"Table","Table S6","Paired-bootstrap comparison of traditional and ESM-2 representations","tables/Table_S6_Traditional_vs_ESM2_Paired_Bootstrap.csv","results/step54_paired_bootstrap_summary.csv","DD7E0ADA5F3C916D7318AFDD0868729DB5523B69ECF0FB710D9416637CDC3A20"
"Table","Table S7","Consensus hard-case peptides and prediction evidence","tables/Table_S7_Consensus_Hard_Case_Peptides.csv","results/step59_consensus_hard_cases_manuscript.csv","A16E8A7545AA5D6FE10A1024AD69033E1D35FDA2099E890E22B94E8F16A5F7EF"
"Table","Table S8","Sequence families and redundancy summary","tables/Table_S8_Sequence_Family_Summary.csv","results/step66_sequence_family_summary.csv","7C4994EEE9A47064C7863D871A4511E1F0F90FFC0930F00AD3AE0B7C3411336B"
"Table","Table S9","Model performance stratified by sequence novelty","tables/Table_S9_Sequence_Novelty_Performance.csv","results/step67_sequence_novelty_performance.csv","53F1B96CBC3594E9298CDE4406EDF2F5E2C20976F85A9D9055480C3312AA158B"
"Table","Table S10","Probability calibration metrics","tables/Table_S10_Probability_Calibration_Metrics.csv","results/step71_calibration_metrics.csv","8E55E75EEE1664A9DA7F7ABB6B3E57C61D9093465C5354CAD5A972F37B60F23E"
"Table","Table S11","Paired-bootstrap comparison of model calibration","tables/Table_S11_Paired_Calibration_Comparison.csv","results/step72_paired_calibration_comparison.csv","00E694CD719842AC3B138FA50D39D53F8F355108A8B741D351A7E27A8F2BF62C"
"Table","Table S12","Decision-curve analysis summary","tables/Table_S12_Decision_Curve_Summary.csv","results/step73_decision_curve_model_summary.csv","16B91D626282842310AB1F5683858136944782034D5A17DF1DEA2A1D528FB3E9"
"Table","Table S13","Paired-bootstrap comparison of leading ESM-2 classifiers","tables/Table_S13_Leading_ESM2_Classifier_Comparison.csv","results/step75_esm2_rf_vs_xgboost_paired_comparison.csv","93133FEC85B59CF77B9399CD2FEC9A4DD6B6C44E1DE661C33FA02303866E0744"
"Table","Table S14","Cross-validated canonical-correlation analysis of representation complementarity","tables/Table_S14_Cross_Validated_Representation_Complementarity.csv","results/step78_cv_cca_dimension_summary.csv","B4AC4B9156659C23BFBE7EB83ED8646D6D7C0917EA9F46D43AC949633F53756F"
"Table","Table S15","Feature-fusion versus single-representation model performance","tables/Table_S15_Feature_Fusion_Model_Comparison.csv","results/step79_fusion_model_comparison.csv","03817A97890F4C16F5308AEAC593B71DF6986450FF4695718787251568A897EE"
"Table","Table S16","Stable ESM-2 latent-feature importance across cross-validation folds","tables/Table_S16_ESM2_Feature_Importance_Stability.csv","results/step81_esm2_cv_feature_importance_summary.csv","218CEE5E1E0AF1A6319C690845D139B3EF2F5074273B9092A134458D19794FF1"
"Table","Table S17","Peptide-level residue perturbation summary","tables/Table_S17_Peptide_Residue_Perturbation_Summary.csv","results/step82_peptide_perturbation_summary.csv","7B7184DCB00822D8D334A2B39DBA3187CF8A93541F84E2983CB542B19FA4D3CB"
"Table","Table S18","Motif-context sensitivity in consensus hard cases","tables/Table_S18_Motif_Context_Sensitivity.csv","results/step83_motif_sensitivity_summary.csv","13B2234964F8981FD25BD6161A679632686DD675F3C1CAC40778BB6AA34B6477"
"Figure","Figure S1","Additional descriptor and model diagnostics","figures/Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.pdf","manuscript/supplementary_figures_high_impact/Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.pdf","D2104BD8D07732FE7F571D32F5D0514AE9145839F639BABB182AA110EEBAC217"
"Figure","Figure S1","Additional descriptor and model diagnostics","figures/Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.tiff","manuscript/supplementary_figures_high_impact/Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.tiff","7AC8F0B2EC52AE940C65B40E57ADE7230D1BA7E9DE2D003DF90708B900CC93EF"
"Figure","Figure S2","Probability shifts and hard-case proximity","figures/Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf","manuscript/supplementary_figures_high_impact/Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf","A3C21B303E7C009B0F6B0CEB3FBE01BC103BCDC177BF8D82A10D05134CA3F103"
"Figure","Figure S2","Probability shifts and hard-case proximity","figures/Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.tiff","manuscript/supplementary_figures_high_impact/Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.tiff","6EB4A3244A6289FF0E5B9EE41BF23043BE55177C77F77FBD18E60EBF8682C5A9"
"Figure","Figure S3","Sequence families and development-neighborhood context","figures/Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.pdf","manuscript/supplementary_figures_high_impact/Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.pdf","60B9507E3311BC0988F79EFAE6A4232703049598D8D3894B8601F69C297331BD"
"Figure","Figure S3","Sequence families and development-neighborhood context","figures/Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.tiff","manuscript/supplementary_figures_high_impact/Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.tiff","E1D0AD6EEFC00C2FE6ABBFC013ECF54871DCECAA34B1489A0C0C6BDC74603358"
