model_order,model,representation,classifier,subset_order,subset,subset_label,n,active,inactive,active_prevalence,decision_threshold,AUROC,AUPRC,MCC,Accuracy,Precision,Recall,Specificity,F1,TN,FP,FN,TP
0,Traditional Logistic Regression,Traditional,Logistic Regression,0,all_test,All test,181,20,161,0.11049723756906077,0.5,0.9667701863354037,0.7481014082078992,0.6404496029129428,0.8895027624309392,0.5,0.95,0.8819875776397516,0.6551724137931034,142,19,1,19
0,Traditional Logistic Regression,Traditional,Logistic Regression,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.5,0.9733629300776915,0.8015004219156469,0.6313912146312043,0.8977272727272727,0.48484848484848486,0.9411764705882353,0.8930817610062893,0.64,142,17,1,16
0,Traditional Logistic Regression,Traditional,Logistic Regression,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.5,0.9827688651218063,0.8315157065157066,0.6267455643526095,0.926829268292683,0.47619047619047616,0.9090909090909091,0.9281045751633987,0.625,142,11,1,10
0,Traditional Logistic Regression,Traditional,Logistic Regression,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.5,0.9866666666666667,0.8333333333333333,0.4302652729749464,0.9415584415584416,0.2727272727272727,0.75,0.9466666666666667,0.4,142,8,1,3
1,Traditional RBF-SVM,Traditional,RBF-SVM,0,all_test,All test,181,20,161,0.11049723756906077,0.5,0.9683229813664597,0.7676879954840483,0.6776891751317226,0.9226519337016574,0.6071428571428571,0.85,0.9316770186335404,0.7083333333333334,150,11,3,17
1,Traditional RBF-SVM,Traditional,RBF-SVM,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.5,0.9711431742508324,0.7716565191648925,0.6721506854042324,0.9318181818181818,0.6086956521739131,0.8235294117647058,0.9433962264150944,0.7,150,9,3,14
1,Traditional RBF-SVM,Traditional,RBF-SVM,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.5,0.9803921568627452,0.7757756132756133,0.6734843872244477,0.9573170731707317,0.6666666666666666,0.7272727272727273,0.9738562091503268,0.6956521739130435,149,4,3,8
1,Traditional RBF-SVM,Traditional,RBF-SVM,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.5,0.9783333333333333,0.6770833333333333,0.5677628664797901,0.9805194805194806,0.6666666666666666,0.5,0.9933333333333333,0.5714285714285714,149,1,2,2
2,Traditional Random Forest,Traditional,Random Forest,0,all_test,All test,181,20,161,0.11049723756906077,0.5,0.9652173913043479,0.6732291747397245,0.7455702438142119,0.9447513812154696,0.7083333333333334,0.85,0.9565217391304348,0.7727272727272727,154,7,3,17
2,Traditional Random Forest,Traditional,Random Forest,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.5,0.9691083980762116,0.6555254242105453,0.7539924858003151,0.9545454545454546,0.7368421052631579,0.8235294117647058,0.9685534591194969,0.7777777777777778,154,5,3,14
2,Traditional Random Forest,Traditional,Random Forest,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.5,0.9824717765894236,0.7010377182625986,0.767087302059032,0.9695121951219512,0.75,0.8181818181818182,0.9803921568627451,0.782608695652174,150,3,2,9
2,Traditional Random Forest,Traditional,Random Forest,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.5,0.9891666666666666,0.7152777777777777,0.6611020559729285,0.9805194805194806,0.6,0.75,0.9866666666666667,0.6666666666666666,148,2,1,3
3,Traditional XGBoost,Traditional,XGBoost,0,all_test,All test,181,20,161,0.11049723756906077,0.5,0.9779503105590063,0.7668461218219346,0.7600689387825204,0.9447513812154696,0.6923076923076923,0.9,0.9503105590062112,0.782608695652174,153,8,2,18
3,Traditional XGBoost,Traditional,XGBoost,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.5,0.9822419533851277,0.7733467383515424,0.7696750209556958,0.9545454545454546,0.7142857142857143,0.8823529411764706,0.9622641509433962,0.7894736842105263,153,6,2,15
3,Traditional XGBoost,Traditional,XGBoost,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.5,0.9863339275103982,0.7518525592055003,0.7333781078160264,0.9634146341463414,0.6923076923076923,0.8181818181818182,0.9738562091503268,0.75,149,4,2,9
