,length,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,molecular_weight,net_charge_pH7_4,isoelectric_point,aromaticity,instability_index,mean_eisenberg_hydrophobicity,hydrophobic_moment,charge_density,aliphatic_index,boman_index,hydrophobic_ratio
length,1.0,-0.08683318293056015,0.07270353231045901,0.06518428554664153,0.021596651044994832,-0.05072232283863491,0.08342594124667084,0.1493828407480691,0.07705288095888546,0.019781859655742643,-0.03866380252903141,0.0828465242174988,0.072259344190813,-0.03239158236833476,0.03426647905056406,0.07013621954250761,0.05732305008573764,0.07846626154678853,0.08552622363620653,0.114677344795665,0.08239224166954222,0.9661480174321987,0.06133113045391971,0.08162006164336066,-0.03213745159440667,0.028825921400320108,-0.1020812875805286,-0.14462739696692822,0.040288779410395034,-0.046789689860056924,0.08423987148286048,-0.08951901143083696
AAC_A,-0.08683318293056015,1.0,-0.037331132062691556,-0.11275624266623839,-0.24047979480014375,-0.0371458727414448,-0.09077507230897343,-0.1271108079090087,-0.2827801539233378,0.09837655639061367,0.1013311880824938,-0.11132886416779257,-0.1853872671852533,-0.13206102063711214,-0.0978104464818112,-0.20747261498270955,-0.2167790740669617,-0.08614662989246252,-0.14250067413413162,-0.0859917211259516,-0.18885653203226915,-0.21553095644452874,0.13346393059419004,0.08524005978054118,-0.1765547235480927,-0.31709839123056527,0.225680119152103,0.017374581669812424,0.14265257602174697,0.13625290620670105,-0.33419030899125923,0.5440843562362604
AAC_C,0.07270353231045902,-0.037331132062691556,1.0,-0.04211806125161591,-0.051979805703410334,0.05888034437422038,-0.042119029128954426,-0.02820036400565223,0.003798290059853083,0.07051371954355125,-0.011959579200551197,-0.029844499167814748,-0.03688026718835339,0.08219069349258178,-0.0397860245917076,-0.04639871197625068,-0.022846258944056442,-0.01087877446521997,-0.050944524084718674,0.04168669107475182,0.003840671138138563,0.07334454281507571,0.07616177716035455,0.04425386179059424,0.05591179708329353,-0.026410127021814205,-0.008285430514393568,-0.038339670647491365,0.0650019668721741,-0.016521320030585332,-0.030683212733997187,-0.010084831055025454
AAC_D,0.06518428554664152,-0.11275624266623838,-0.04211806125161591,1.0,0.10569823229256889,-0.13519618292811922,-0.07102908966465249,0.029261903508227226,0.08102133938947831,-0.2677830088122824,-0.19357422769119992,0.13854243095707403,0.11724336016419228,-0.004268952030929705,0.10721479437082358,0.035536075139593386,0.037981542046440456,0.1253990797135513,0.054304945667735825,-0.09383181452792462,0.11739632011402484,0.06663606741572738,-0.5368337852859919,-0.5310198893527183,-0.09372052997920204,0.10644032834530401,-0.15041572381504445,-0.12528594099062657,-0.5493480579851026,-0.20067912987461345,0.34115213028977603,-0.2245904726764542
AAC_E,0.021596651044994832,-0.24047979480014375,-0.05197980570341033,0.1056982322925689,1.0,-0.23178202113932156,-0.11840547853752238,0.03568755101456286,0.06479020688763583,-0.26628544386811825,-0.19286447738352097,0.16641705454116937,0.09320326584957216,0.014034747015346289,0.15400928645852646,0.19887833558167536,0.06614886050024879,0.1055484088359751,-0.02934295170943402,-0.1437991477261331,0.20309175412518274,0.08901219751143957,-0.6127481660250989,-0.5735820326367921,-0.14143874334360856,0.42940434419325485,-0.35290946827498415,-0.17155991772076298,-0.6174135074042563,-0.2832711283495291,0.5186746086869585,-0.429509967768556
AAC_F,-0.05072232283863491,-0.03714587274144479,0.058880344374220385,-0.1351961829281192,-0.23178202113932156,1.0,-0.024786759576744172,-0.03604358366154921,-0.10355059154692978,0.22011801860992042,-0.018582633786656325,-0.16525700628579446,-0.07711428741824304,-0.010345912843120331,-0.19962981992237244,-0.16301951513664542,-0.03715428517968166,-0.10941015076169576,-0.16835163249121604,0.041098956053652824,-0.18801830281326887,-0.0029516385182705015,0.22716458239532722,0.21103939550291925,0.6560168307543147,-0.25251762440411724,0.20630562017977724,0.18198934777884354,0.23479534677091085,-0.11032078811191187,-0.23503462060016272,0.24776933209274152
AAC_G,0.08342594124667084,-0.09077507230897343,-0.042119029128954426,-0.07102908966465249,-0.11840547853752237,-0.024786759576744175,1.0,-0.00015749083897282254,0.13317341084232115,-0.08472554818112758,-0.08331514896026315,-0.026137167189182225,-0.005883483890206784,-0.03229609806769236,-0.025528869493600816,-0.05490396928085484,0.03589685224562113,-0.009626836873041606,0.12347951352259603,0.08735566781370399,-0.02090200937318481,-0.013219183835509513,0.02126794510852527,0.01755291834891893,-0.010831489785743973,-0.11879724709435051,0.26786786383470235,-0.13158175981496253,0.007613321434139276,-0.018232350244750735,-0.21031455529117835,-0.0648675093448523
AAC_H,0.1493828407480691,-0.12711080790900872,-0.02820036400565223,0.029261903508227223,0.03568755101456287,-0.0360435836615492,-0.00015749083897282254,1.0,0.0432654848508689,-0.1427477867092946,-0.03645034231184252,0.05541124678174451,0.07472533405065968,0.005494229261961236,0.017215804715371628,0.010698237260906447,0.013871577115294518,0.023591050777784298,0.0039441267551577975,-0.0021784876539164113,0.03290764901851346,0.1753363412433223,-0.06996488128348027,-5.1476216818345985e-05,-0.038273937108587903,0.09760934739509693,-0.03965072968646056,-0.14866491658014758,-0.07725556033597529,-0.09052415603070753,0.11742058461749831,-0.1445951491896583
AAC_I,0.07705288095888546,-0.28278015392333783,0.0037982900598530836,0.08102133938947831,0.06479020688763583,-0.10355059154692976,0.13317341084232115,0.0432654848508689,1.0,-0.09974929908416029,-0.30304757943688887,-0.045004026320055734,0.09961006393256823,0.034234883838696814,-0.07013241748731631,0.043372016978650396,0.10716414490711773,-0.010279992011145146,0.019568986820736836,0.01202081640234649,-0.0063297826800969665,0.07830507464142397,-0.10018938768684539,-0.06327653635156122,-0.07787932901732565,0.21902357273807027,0.18109126753259666,-0.013417962774360016,-0.11064870709305523,0.23925554944020058,-0.050554626589758005,-0.00557774248600592
AAC_K,0.019781859655742643,0.09837655639061367,0.07051371954355125,-0.26778300881228245,-0.26628544386811825,0.22011801860992042,-0.08472554818112758,-0.1427477867092946,-0.0997492990841603,1.0,0.08995000393025204,-0.18397687932350548,-0.2241623462054209,-0.12537281354989277,-0.3293753612629165,-0.34716918637238603,-0.2189968346751524,-0.2358130304424233,-0.17132999309277913,0.013069448675588348,-0.22851489397044006,0.025117687624715772,0.6315477909699161,0.5792793813286656,0.032319606407693734,-0.43094752616542936,-0.17169686301696932,0.3488008348928745,0.666291311722914,0.048632432427351865,-0.1786684794237255,0.09139130362878872
AAC_L,-0.03866380252903141,0.1013311880824938,-0.011959579200551197,-0.19357422769119992,-0.192864477383521,-0.018582633786656328,-0.08331514896026314,-0.03645034231184252,-0.30304757943688887,0.08995000393025204,0.9999999999999998,-0.2151041353549473,-0.1508041220235298,-0.11931938680182512,-0.12283651321818896,-0.170611588804765,-0.18167041752651944,-0.11858336044554525,-0.20605671328371325,-0.08511886353074,-0.15291388624867142,-0.06612503098466403,0.1632340413997067,0.13160915248422078,-0.14113881263006478,-0.21817672445748315,0.28620137646155813,0.17685150400717325,0.17539176263411932,0.6662339785024799,-0.4229275731441655,0.4355236909898679
AAC_M,0.0828465242174988,-0.11132886416779257,-0.029844499167814748,0.13854243095707403,0.16641705454116934,-0.16525700628579446,-0.026137167189182225,0.05541124678174451,-0.045004026320055734,-0.18397687932350545,-0.21510413535494727,1.0,0.0630776303996977,-0.00824809974262909,0.17159670462018334,0.04796381935592417,0.05858180367960456,0.12985894852891028,0.01008262249496664,-0.10038832002710078,0.1149731324718315,0.09984381965985015,-0.23618532678370996,-0.23788737769449708,-0.12965390317431333,0.17826080918526127,-0.06947247347482297,-0.21482001704667292,-0.24347797217326414,-0.30510911439814703,0.15011668836766578,-0.06598158953869057
AAC_N,0.07225934419081298,-0.1853872671852533,-0.0368802671883534,0.11724336016419228,0.09320326584957216,-0.07711428741824304,-0.005883483890206784,0.07472533405065968,0.09961006393256823,-0.2241623462054209,-0.15080412202352983,0.0630776303996977,1.0,-0.007260908861044496,0.06263155227552394,0.023560502935272867,0.05840066939449858,0.0024828614149287765,0.07124749467603857,-0.03096598715519272,0.0800845648826112,0.08354973188650965,-0.18596944578193872,-0.18356612585717189,-0.03253190531988571,0.1347476269586742,-0.08212798269126383,-0.12219452169936713,-0.20219849123559003,-0.11581529780632818,0.22154553795651802,-0.21179149268277997
AAC_P,-0.03239158236833476,-0.13206102063711214,0.08219069349258176,-0.004268952030929705,0.014034747015346289,-0.01034591284312033,-0.03229609806769236,0.005494229261961236,0.034234883838696814,-0.12537281354989277,-0.1193193868018251,-0.008248099742629092,-0.007260908861044497,0.9999999999999999,0.07463553507516903,0.11192115068764409,-0.039159381327009316,-0.006208809200972741,0.06116395610800046,0.00588025822763085,0.03920607685364928,-0.017642579608290933,-0.04286369624524846,-0.038101267222339724,0.013883563017168688,0.2352018286467984,-0.03487725000561464,-0.0877674831457109,-0.051314919719077104,-0.10591613602126028,0.060073400942315315,-0.1630060308035144
AAC_Q,0.03426647905056406,-0.09781044648181121,-0.0397860245917076,0.10721479437082357,0.15400928645852646,-0.19962981992237244,-0.025528869493600812,0.01721580471537163,-0.07013241748731631,-0.3293753612629165,-0.12283651321818896,0.17159670462018334,0.06263155227552396,0.07463553507516903,0.9999999999999999,0.17594672442666687,0.02250905547013735,0.01788810284946088,-0.009890276271233388,0.007967928684319735,0.15048415539393628,0.07576673190239483,-0.23998844741302072,-0.21663888554235286,-0.07890840867719262,0.36533106210396216,-0.24541843846584976,-0.23515041587150856,-0.252834766312486,-0.26394470140968673,0.33012150509730587,-0.3060501115864241
AAC_R,0.07013621954250762,-0.20747261498270955,-0.04639871197625068,0.035536075139593386,0.19887833558167534,-0.16301951513664542,-0.054903969280854836,0.010698237260906449,0.043372016978650396,-0.34716918637238603,-0.170611588804765,0.04796381935592417,0.023560502935272867,0.11192115068764409,0.17594672442666687,0.9999999999999999,0.06446970223225885,-0.02935381369204823,0.058128499185893315,0.02901987888681173,0.1111525188409321,0.1702906125203824,0.0997343991332705,0.19954129621949807,-0.043776108589036744,0.4268037115257747,-0.5193220477227263,-0.004393032275447683,0.08198956032010245,-0.20413568626183767,0.6288515849913879,-0.3120783958816291
AAC_S,0.05732305008573764,-0.2167790740669617,-0.022846258944056442,0.037981542046440456,0.06614886050024879,-0.03715428517968166,0.03589685224562113,0.013871577115294518,0.10716414490711772,-0.2189968346751524,-0.18167041752651944,0.05858180367960456,0.05840066939449858,-0.039159381327009316,0.02250905547013735,0.06446970223225885,0.9999999999999999,0.03641150300044334,0.042910122317116245,-0.003590069955416696,0.07012475139922834,0.017378148883956404,-0.157002722040036,-0.15198444590855315,-0.02652691334290202,0.24138474405217994,-0.024610350643501273,-0.15285884008477266,-0.16499540029433304,-0.1764147363334395,0.15406616743563506,-0.25735151013664154
AAC_T,0.07846626154678853,-0.08614662989246252,-0.01087877446521997,0.1253990797135513,0.1055484088359751,-0.10941015076169576,-0.009626836873041607,0.023591050777784298,-0.010279992011145146,-0.23581303044242333,-0.11858336044554525,0.1298589485289103,0.002482861414928776,-0.006208809200972741,0.01788810284946088,-0.02935381369204823,0.03641150300044334,1.0,0.062422991489169924,-0.054096490871398555,0.10791207587074728,0.05119256263512414,-0.2532524046756752,-0.24965533569586512,-0.061272091794642346,0.0009852521415484336,0.046512378243132105,-0.23108998690272664,-0.25115146477011374,-0.18508624725881412,0.07351929368702637,-0.20119472213798817
AAC_V,0.08552622363620653,-0.14250067413413162,-0.05094452408471867,0.054304945667735825,-0.029342951709434018,-0.16835163249121607,0.12347951352259603,0.003944126755157797,0.019568986820736836,-0.17132999309277913,-0.20605671328371322,0.01008262249496664,0.07124749467603857,0.06116395610800047,-0.00989027627123339,0.058128499185893315,0.04291012231711624,0.062422991489169924,1.0,-0.05572219137302341,-0.04047252068013185,0.02984876170450484,-0.08791443072167987,-0.06361521575661452,-0.17145671421092568,-0.015758958117476313,0.2052082685415293,-0.048688398656990824,-0.10374395233127857,0.17792283675529028,-0.10601166637593061,0.14385008344266673
AAC_W,0.114677344795665,-0.08599172112595162,0.041686691074751814,-0.09383181452792462,-0.14379914772613311,0.04109895605365283,0.087355667813704,-0.0021784876539164113,0.01202081640234649,0.013069448675588348,-0.08511886353074001,-0.10038832002710078,-0.030965987155192717,0.00588025822763085,0.007967928684319735,0.02901987888681173,-0.003590069955416696,-0.05409649087139856,-0.055722191373023415,1.0,-0.03489987723251833,0.1926529563575842,0.1416222204965407,0.15796667815415766,0.4422277762347619,-0.009845724157065555,0.07511564217319174,-0.0735452590440491,0.11809342151200287,-0.13894209120320986,-0.0812841051316139,-0.15455171952618393
AAC_Y,0.0823922416695422,-0.18885653203226915,0.003840671138138563,0.11739632011402484,0.20309175412518274,-0.18801830281326887,-0.020902009373184805,0.03290764901851345,-0.0063297826800969665,-0.22851489397044006,-0.15291388624867142,0.11497313247183148,0.08008456488261119,0.039206076853649276,0.15048415539393628,0.11115251884093211,0.07012475139922834,0.10791207587074728,-0.04047252068013186,-0.03489987723251833,1.0,0.15863895484627155,-0.24752279730655732,-0.24538254213571478,0.38997372428028426,0.17494094367029855,-0.13415422211404826,-0.1807954504301057,-0.23156093045040127,-0.27166385932974674,0.2241818304309913,-0.39028791437094107
molecular_weight,0.9661480174321988,-0.21553095644452874,0.0733445428150757,0.06663606741572739,0.08901219751143959,-0.0029516385182705015,-0.013219183835509511,0.1753363412433223,0.07830507464142397,0.025117687624715772,-0.06612503098466403,0.09984381965985015,0.08354973188650965,-0.017642579608290933,0.07576673190239484,0.1702906125203824,0.017378148883956404,0.05119256263512414,0.029848761704504838,0.19265295635758417,0.15863895484627158,1.0,0.06877669731604075,0.1036554568662069,0.0919254034999718,0.09924279652695789,-0.2180805353825755,-0.12095445577201691,0.04808007409101662,-0.1310629126720068,0.20419408449491527,-0.20187238637558136
net_charge_pH7_4,0.061331130453919705,0.13346393059419007,0.07616177716035455,-0.5368337852859918,-0.612748166025099,0.2271645823953272,0.02126794510852527,-0.06996488128348027,-0.10018938768684539,0.6315477909699161,0.16323404139970674,-0.23618532678371,-0.18596944578193875,-0.04286369624524846,-0.23998844741302072,0.09973439913327051,-0.157002722040036,-0.2532524046756752,-0.08791443072167987,0.1416222204965407,-0.24752279730655732,0.06877669731604073,1.0,0.9648150989288311,0.10112754133174483,-0.33581571955817935,-0.09699360544507038,0.3259824921549132,0.9784650687802395,0.16507602239087527,-0.2201650511415604,0.22407128028977377
isoelectric_point,0.08162006164336068,0.0852400597805412,0.04425386179059424,-0.5310198893527184,-0.5735820326367921,0.21103939550291928,0.01755291834891893,-5.1476216818345985e-05,-0.06327653635156122,0.5792793813286655,0.13160915248422078,-0.2378873776944971,-0.18356612585717186,-0.038101267222339724,-0.21663888554235286,0.19954129621949807,-0.15198444590855315,-0.24965533569586512,-0.06361521575661451,0.15796667815415769,-0.2453825421357148,0.1036554568662069,0.9648150989288311,0.9999999999999998,0.09507315175940266,-0.2667573385684712,-0.1364086015624051,0.31080947949594534,0.9628402990719829,0.14532084040424206,-0.1484884452184466,0.18114680783705323
aromaticity,-0.03213745159440667,-0.1765547235480927,0.05591179708329354,-0.09372052997920205,-0.14143874334360854,0.6560168307543146,-0.010831489785743973,-0.0382739371085879,-0.07787932901732567,0.032319606407693734,-0.14113881263006475,-0.12965390317431336,-0.032531905319885715,0.013883563017168688,-0.0789084086771926,-0.043776108589036744,-0.026526913342902022,-0.06127209179464235,-0.17145671421092568,0.4422277762347619,0.3899737242802843,0.0919254034999718,0.10112754133174481,0.09507315175940265,1.0,-0.122884813579315,0.1435383173849163,0.020843767114701983,0.10454260803695523,-0.2902705824630228,-0.11232084190675654,-0.079625995767427
instability_index,0.028825921400320108,-0.31709839123056527,-0.026410127021814205,0.10644032834530401,0.4294043441932548,-0.2525176244041172,-0.11879724709435051,0.09760934739509693,0.21902357273807027,-0.43094752616542936,-0.21817672445748315,0.1782608091852613,0.13474762695867418,0.23520182864679842,0.3653310621039621,0.4268037115257747,0.24138474405217994,0.0009852521415484338,-0.015758958117476313,-0.009845724157065555,0.17494094367029855,0.09924279652695789,-0.33581571955817935,-0.26675733856847117,-0.122884813579315,1.0,-0.2938002308703025,-0.19642579042971034,-0.35301648318962203,-0.2054951498320756,0.48298951933044776,-0.39832487057221727
mean_eisenberg_hydrophobicity,-0.1020812875805286,0.225680119152103,-0.008285430514393568,-0.15041572381504445,-0.35290946827498415,0.20630562017977727,0.26786786383470235,-0.03965072968646056,0.18109126753259666,-0.1716968630169693,0.28620137646155813,-0.06947247347482298,-0.08212798269126383,-0.03487725000561464,-0.24541843846584976,-0.5193220477227263,-0.02461035064350127,0.04651237824313211,0.2052082685415293,0.07511564217319175,-0.13415422211404826,-0.2180805353825755,-0.09699360544507038,-0.13640860156240509,0.1435383173849163,-0.2938002308703025,1.0,-0.04214006784516201,-0.09704678577388712,0.5815797485919734,-0.899509883590158,0.6987236209413532
hydrophobic_moment,-0.14462739696692822,0.017374581669812428,-0.038339670647491365,-0.12528594099062657,-0.17155991772076296,0.18198934777884354,-0.13158175981496253,-0.14866491658014758,-0.013417962774360017,0.3488008348928745,0.17685150400717328,-0.21482001704667292,-0.12219452169936713,-0.08776748314571091,-0.23515041587150856,-0.004393032275447684,-0.15285884008477266,-0.23108998690272664,-0.04868839865699082,-0.07354525904404911,-0.18079545043010567,-0.12095445577201692,0.3259824921549132,0.3108094794959453,0.020843767114701983,-0.19642579042971034,-0.04214006784516201,1.0,0.33916550967511644,0.22473773332063243,-0.10145633762835585,0.18905001925937834
charge_density,0.040288779410395034,0.14265257602174697,0.0650019668721741,-0.5493480579851024,-0.6174135074042564,0.23479534677091085,0.007613321434139276,-0.07725556033597529,-0.11064870709305523,0.666291311722914,0.17539176263411932,-0.2434779721732641,-0.20219849123559003,-0.051314919719077104,-0.25283476631248597,0.08198956032010245,-0.16499540029433304,-0.25115146477011374,-0.10374395233127859,0.11809342151200286,-0.23156093045040127,0.04808007409101662,0.9784650687802394,0.962840299071983,0.10454260803695523,-0.35301648318962203,-0.0970467857738871,0.33916550967511644,1.0,0.17253116439274477,-0.23052513571395447,0.22845336031530342
aliphatic_index,-0.046789689860056924,0.13625290620670102,-0.016521320030585332,-0.20067912987461345,-0.2832711283495291,-0.11032078811191189,-0.018232350244750735,-0.09052415603070753,0.23925554944020058,0.048632432427351865,0.6662339785024799,-0.3051091143981471,-0.11581529780632817,-0.1059161360212603,-0.26394470140968673,-0.20413568626183765,-0.1764147363334395,-0.18508624725881412,0.17792283675529025,-0.13894209120320986,-0.2716638593297467,-0.1310629126720068,0.16507602239087524,0.14532084040424206,-0.29027058246302284,-0.2054951498320756,0.5815797485919734,0.22473773332063246,0.17253116439274477,1.0,-0.6455365160999353,0.705559702509902
boman_index,0.08423987148286048,-0.33419030899125923,-0.030683212733997187,0.34115213028977603,0.5186746086869584,-0.23503462060016272,-0.21031455529117835,0.11742058461749831,-0.05055462658975801,-0.17866847942372546,-0.42292757314416557,0.15011668836766576,0.221545537956518,0.060073400942315315,0.33012150509730587,0.6288515849913879,0.15406616743563503,0.07351929368702637,-0.10601166637593061,-0.0812841051316139,0.2241818304309913,0.20419408449491527,-0.2201650511415604,-0.1484884452184466,-0.11232084190675652,0.48298951933044776,-0.899509883590158,-0.10145633762835585,-0.2305251357139545,-0.6455365160999353,0.9999999999999998,-0.7782890397503556
hydrophobic_ratio,-0.08951901143083696,0.5440843562362604,-0.010084831055025454,-0.22459047267645424,-0.429509967768556,0.24776933209274155,-0.06486750934485229,-0.1445951491896583,-0.00557774248600592,0.09139130362878871,0.4355236909898679,-0.06598158953869057,-0.21179149268277997,-0.1630060308035144,-0.3060501115864241,-0.31207839588162906,-0.25735151013664154,-0.20119472213798817,0.14385008344266675,-0.15455171952618393,-0.3902879143709411,-0.2018723863755814,0.22407128028977377,0.1811468078370532,-0.079625995767427,-0.39832487057221727,0.6987236209413532,0.18905001925937834,0.22845336031530342,0.7055597025099019,-0.7782890397503556,1.0
