n_estimators,max_depth,min_samples_leaf,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,mean_cv_MCC,selected
300,None,1,0.9790598504118216,0.008323568381008955,0.8502707144972044,0.7324879802332009,True
600,None,1,0.978419381863695,0.009216227688014082,0.8385081972834026,0.751975102367962,False
600,None,3,0.9783331314599483,0.008527270134793728,0.85686719687272,0.7416348432589552,False
600,10,3,0.9782468810562015,0.008183265954789475,0.8554133160706601,0.7416348432589552,False
300,None,3,0.9778448502099483,0.008090625280756462,0.8518259316471475,0.7416348432589552,False
300,10,1,0.977511960998062,0.006520366835974534,0.8443430894238306,0.7290188307504191,False
300,10,3,0.9774542252099483,0.007986110695298995,0.8521809443880299,0.7416348432589552,False
600,None,5,0.9770807089793282,0.008228233973669223,0.8450179275651791,0.7318449501671214,False
600,10,5,0.9770807089793282,0.008126186330114114,0.8441514995154679,0.7283411431319539,False
300,10,5,0.9766900839793282,0.00863572080626923,0.8460652159121856,0.7365371986969741,False
300,None,5,0.9765924277293282,0.00868843892876967,0.8472813712273851,0.7283411431319539,False
600,10,1,0.9763400859980621,0.007055428901246604,0.8413757892528355,0.7410822635267288,False
600,5,5,0.9746164910368217,0.007510972608153278,0.8326753906250388,0.7251875752319182,False
300,5,5,0.9738352410368216,0.008456979607813605,0.8271436671554351,0.7251875752319182,False
600,5,3,0.9733013364018088,0.0071769714943027245,0.8211408712717183,0.732159446229548,False
300,5,3,0.9727382105943153,0.007756683680688272,0.8127374007343192,0.7285089236282366,False
600,5,1,0.9721579760174418,0.008741870933462287,0.8121670354973247,0.7365371986969741,False
300,5,1,0.9721522730943152,0.009245920451616454,0.8111497906987122,0.7400410057321416,False
