feature,rf_impurity_importance
AAC_K,0.11357328107149212
charge_density,0.10925833720191057
isoelectric_point,0.09510120252061037
net_charge_pH7_4,0.0919726579867827
AAC_E,0.08696464747830901
AAC_R,0.07414333571853958
boman_index,0.06069994301745679
instability_index,0.05321182097303831
AAC_Q,0.03442801464106563
hydrophobic_moment,0.03183988934156097
AAC_F,0.02998556240230071
molecular_weight,0.027985984203784432
mean_eisenberg_hydrophobicity,0.01887442256853574
hydrophobic_ratio,0.018778589411595437
aliphatic_index,0.018712345934396704
AAC_N,0.015484246886788657
AAC_Y,0.01536082613860002
AAC_L,0.013287439712315007
length,0.012194289231934224
AAC_G,0.011057354445295734
AAC_D,0.010167890719208544
AAC_A,0.00925232648486972
AAC_I,0.008471882346558603
aromaticity,0.008330090127924484
AAC_T,0.006310439013506071
AAC_V,0.00618600808268889
AAC_W,0.005884554253831712
AAC_P,0.0038186719697169977
AAC_S,0.003628023212125375
AAC_H,0.002616254324522859
AAC_M,0.0023721210949297837
AAC_C,4.754748380413831e-05
