n_estimators,max_depth,learning_rate,subsample,colsample_bytree,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,mean_cv_MCC,selected
500,3,0.1,0.8,0.6,0.9853408632105942,0.008936408624409213,0.8786852009350412,0.7777045319550734,True
200,3,0.1,0.8,0.6,0.9847777374031008,0.009588800904509611,0.8779782443075088,0.75767236814829,False
500,5,0.03,0.8,0.6,0.9846515665374677,0.008132957919051081,0.8852748377577064,0.7774501462734202,False
500,3,0.03,0.8,0.6,0.9845710190568475,0.009087138514771775,0.8784967499174534,0.7644628109352265,False
500,5,0.1,1.0,0.6,0.9845539102874676,0.008955874956341724,0.8842145670412194,0.7602155519940794,False
200,5,0.1,1.0,0.6,0.9843585977874676,0.008584338071821157,0.8780971725203873,0.7423492166155569,False
200,3,0.1,1.0,0.6,0.984352894864341,0.0070906518651581004,0.8834225409988761,0.7845113305207378,False
500,3,0.1,0.8,0.9,0.9842723473837209,0.009830871502812012,0.8746029311200196,0.7684896624617072,False
500,5,0.1,0.8,0.6,0.9841518794412145,0.00902961117846126,0.8830297602102817,0.7599912415502528,False
500,2,0.03,0.8,0.6,0.9838817223837208,0.006925032952146687,0.8705044569799121,0.795618181770968,False
500,2,0.03,0.8,0.9,0.9837840661337209,0.008511195547398839,0.8752445339409727,0.764699215281458,False
500,2,0.1,0.8,0.6,0.9837783632105943,0.009264218973908908,0.8672946902695102,0.7584406330625066,False
500,2,0.1,0.8,0.9,0.9836578952680878,0.009432940843109033,0.8694007550108365,0.7976564928514669,False
500,3,0.1,1.0,0.6,0.9835659419412146,0.008240344929934175,0.8745525842486883,0.7730628117112719,False
200,5,0.1,1.0,0.9,0.9834910973837209,0.00891460253076939,0.8843416060284918,0.7694555266623908,False
200,5,0.1,0.8,0.6,0.9834796915374676,0.00889195826908519,0.8781317214776967,0.75767236814829,False
500,5,0.1,0.8,0.9,0.9833706294412146,0.009740569262876008,0.875259192093157,0.7958653754873313,False
500,2,0.1,1.0,0.6,0.9833592235949613,0.00747286133230721,0.8634814283301673,0.7431391828872738,False
500,5,0.03,1.0,0.6,0.9833535206718347,0.00857211795466524,0.8798017866501737,0.7622718812393051,False
500,5,0.03,0.8,0.9,0.9832843790374677,0.009809436816740652,0.8796272930858144,0.7761051780999813,False
500,3,0.03,1.0,0.6,0.9832444585755814,0.0064773893262374555,0.8790987171928417,0.7711341325000722,False
500,5,0.1,1.0,0.9,0.9830947694605943,0.009322241883902346,0.885037787202414,0.7612818078093262,False
200,3,0.1,0.8,0.9,0.9830662548449614,0.008740163542320165,0.8678624026973486,0.7715801062772976,False
200,5,0.1,0.8,0.9,0.9829914102874676,0.010054880317236597,0.8727043096956587,0.7969219634909736,False
200,2,0.1,0.8,0.6,0.9829108628068475,0.009089923134404636,0.8703556730180958,0.8011380572347395,False
500,3,0.03,0.8,0.9,0.9827269561531008,0.009832609351522296,0.8675472576614428,0.7511328414764918,False
200,2,0.1,0.8,0.9,0.9825779735949614,0.0083894055649098,0.8638586677689183,0.7798713158571833,False
200,5,0.03,0.8,0.6,0.9824054727874676,0.009583829740985978,0.878313407900509,0.7650336748699421,False
200,2,0.1,1.0,0.6,0.9823826610949613,0.0071149082895256045,0.8575651049037148,0.7429016177935204,False
500,3,0.03,1.0,0.9,0.9820782864987081,0.0072236862570869646,0.8730911149823688,0.7600958936886834,False
500,2,0.1,1.0,0.9,0.9819977390180877,0.009154816069446115,0.8549113346095318,0.7745862744014269,False
200,3,0.1,1.0,0.9,0.9819806302487081,0.007731418852736485,0.8737967775688364,0.7563863305207379,False
500,5,0.03,1.0,0.9,0.9817796148255814,0.008722533352201427,0.8722518515599642,0.7521530922113543,False
200,5,0.03,0.8,0.9,0.9816819585755814,0.009227815846184937,0.878064684144668,0.7647273490852464,False
200,2,0.1,1.0,0.9,0.9816470344799741,0.009009773275388253,0.8578426920122932,0.7620099547619693,False
200,3,0.03,0.8,0.6,0.9816356286337209,0.009800045657206545,0.8669746130775543,0.7410524804625875,False
500,3,0.1,1.0,0.9,0.9816128169412146,0.00878550151680397,0.8680574891412673,0.7527782389925719,False
200,3,0.03,0.8,0.9,0.9813540657299742,0.010165126409237415,0.8759457028107647,0.7582713138172514,False
200,5,0.03,1.0,0.6,0.9807168019218346,0.010515186960976195,0.874394770153212,0.7431075359731946,False
200,3,0.03,1.0,0.6,0.9806305515180878,0.008675027381872404,0.8712813689398711,0.7286521660689884,False
500,2,0.03,1.0,0.9,0.9805328952680877,0.008257767782080174,0.8467279283501765,0.7637200198273355,False
500,2,0.03,1.0,0.6,0.9803318798449613,0.007784686598894998,0.853198975635663,0.7587266909516324,False
200,3,0.03,1.0,0.9,0.9802627382105943,0.010050589405286211,0.866914195569707,0.7375773665022864,False
200,2,0.03,0.8,0.6,0.9780686773255814,0.008692529164102092,0.8377873474577994,0.7283062409738299,False
200,5,0.03,1.0,0.9,0.9780287568636951,0.010049169277343046,0.8608138105167249,0.7398656560478134,False
200,2,0.03,0.8,0.9,0.9780227006621447,0.00955081517179,0.8329392504970998,0.7283062409738298,False
200,2,0.03,1.0,0.9,0.9773391069121447,0.009522899485297226,0.8249099874757022,0.7248591771959656,False
200,2,0.03,1.0,0.6,0.9772674670946383,0.00959603184583816,0.8276935814443552,0.7292369296633917,False
