feature,xgboost_gain_importance
AAC_E,0.21713771
AAC_R,0.15588626
AAC_K,0.11492285
isoelectric_point,0.10564129
AAC_Q,0.10434361
AAC_N,0.07295472
net_charge_pH7_4,0.025819026
boman_index,0.024594033
charge_density,0.021192603
AAC_D,0.015194201
molecular_weight,0.012315884
AAC_T,0.012078188
AAC_I,0.011926897
AAC_H,0.010737648
AAC_G,0.010653814
length,0.009507406
mean_eisenberg_hydrophobicity,0.008819488
AAC_F,0.0077552814
AAC_P,0.0070872065
hydrophobic_moment,0.006943272
AAC_L,0.006680835
AAC_W,0.0063616745
AAC_Y,0.0063098683
aliphatic_index,0.0050688335
hydrophobic_ratio,0.004024922
AAC_A,0.0036793703
AAC_S,0.0034103994
AAC_V,0.0030751145
instability_index,0.0030666862
aromaticity,0.0028109811
AAC_M,0.0
AAC_C,0.0
