rank,feature,mean_cv_AUROC_drop,sd_between_folds_AUROC_drop
1,net_charge_pH7_4,0.0131220105916236,0.004348457066131
2,molecular_weight,0.0078933166451335,0.0061595096934528
3,hydrophobic_moment,0.0052431211644057,0.0055390766550688
4,AAC_K,0.0041276058489448,0.0027462786502024
5,aliphatic_index,0.0037515476959517,0.0021464104493865
6,boman_index,0.0037241770295004,0.0026833292837822
7,AAC_F,0.0033497069471361,0.0021876527655448
8,AAC_G,0.0014141617544143,0.0017439258168936
9,AAC_R,0.0012800572647502,0.0026011435670154
10,length,0.0012144063576658,0.0018956729462454
11,mean_eisenberg_hydrophobicity,0.0011773424041774,0.0015523756869896
12,instability_index,0.0009871120666451,0.0011005094356568
13,isoelectric_point,0.0008322163006029,0.0015585638765673
14,aromaticity,0.0006758468588501,0.0013792669103866
15,AAC_I,0.0005068149090224,0.0007768719269742
