batch_number,total_batches,start_embedding_row,end_embedding_row_inclusive,first_peptide_ID,last_peptide_ID,batch_size,minimum_sequence_length,maximum_sequence_length,token_tensor_shape,hidden_state_shape,pooled_shape,inference_seconds,peptides_per_second,missing_values,non_finite_values,peak_gpu_allocated_gib,peak_gpu_reserved_gib,peak_reserved_percent_total_vram
1,15,0,63,1,64,64,5,31,"(64, 33)","(64, 33, 1280)","(64, 1280)",1.7055696002207696,37.52412096915647,0,0,1.3214154243469238,1.515625,15.156990087406612
2,15,64,127,65,128,64,10,28,"(64, 30)","(64, 30, 1280)","(64, 1280)",0.5673858001828194,112.79802910009087,0,0,1.3177380561828613,1.46875,14.688217198105376
3,15,128,191,129,192,64,5,38,"(64, 40)","(64, 40, 1280)","(64, 1280)",0.6840570000931621,93.55945482800966,0,0,1.3512992858886719,1.552734375,15.528101958103424
4,15,192,255,193,256,64,11,30,"(64, 32)","(64, 32, 1280)","(64, 1280)",0.5966760995797813,107.26087410753175,0,0,1.3247661590576172,1.482421875,14.82494262415157
5,15,256,319,257,320,64,8,30,"(64, 32)","(64, 32, 1280)","(64, 1280)",0.11585509963333607,552.4141811845171,0,0,1.3235454559326172,1.478515625,14.7858782167098
6,15,320,383,321,384,64,8,30,"(64, 32)","(64, 32, 1280)","(64, 1280)",0.11874399986118078,538.9746014520315,0,0,1.3235454559326172,1.478515625,14.7858782167098
7,15,384,447,385,448,64,8,30,"(64, 32)","(64, 32, 1280)","(64, 1280)",0.11792510002851486,542.7173687749638,0,0,1.3235454559326172,1.478515625,14.7858782167098
8,15,448,511,449,512,64,11,30,"(64, 32)","(64, 32, 1280)","(64, 1280)",0.1204809001646936,531.204530448511,0,0,1.3235454559326172,1.478515625,14.7858782167098
9,15,512,575,513,576,64,11,30,"(64, 32)","(64, 32, 1280)","(64, 1280)",0.11856979969888926,539.7664511749997,0,0,1.3235454559326172,1.478515625,14.7858782167098
10,15,576,639,577,640,64,8,30,"(64, 32)","(64, 32, 1280)","(64, 1280)",0.11829520016908646,541.0194150609741,0,0,1.3235454559326172,1.478515625,14.7858782167098
11,15,640,703,641,704,64,11,30,"(64, 32)","(64, 32, 1280)","(64, 1280)",0.12578679993748665,508.7974257378885,0,0,1.3235454559326172,1.478515625,14.7858782167098
12,15,704,767,705,768,64,11,29,"(64, 31)","(64, 31, 1280)","(64, 1280)",0.7600879999808967,84.20077675428176,0,0,1.3232359886169434,1.458984375,14.590556179500952
13,15,768,831,769,832,64,11,29,"(64, 31)","(64, 31, 1280)","(64, 1280)",0.11054710019379854,578.938749978991,0,0,1.3232359886169434,1.458984375,14.590556179500952
14,15,832,895,833,896,64,11,26,"(64, 28)","(64, 28, 1280)","(64, 1280)",0.5782266999594867,110.68323203422489,0,0,1.312601089477539,1.455078125,14.551491772059183
15,15,896,900,897,901,5,13,23,"(5, 25)","(5, 25, 1280)","(5, 1280)",0.6642509996891022,7.527275084780021,0,0,1.2309613227844238,1.35546875,13.555349382294057
