dimension_index_zero_based,dimension_name,overall_mean,overall_sd,overall_variance,overall_minimum,overall_maximum,overall_range,development_mean,development_sd,constant_overall,near_zero_sd_overall
0,esm2_0001,0.009559109922783754,0.04864773912415086,0.0023666025218914383,-0.13220215,0.18823242,0.32043457,0.010828641884856754,0.04834026044718889,False,False
1,esm2_0002,0.02371717326252098,0.047084176195465774,0.002216919648005666,-0.17956543,0.1616211,0.34118652,0.025756149573458564,0.04644393711497257,False,False
2,esm2_0003,0.018844665353755972,0.08826449380546017,0.007790620866734117,-0.24291992,0.21472168,0.4576416,0.020684974723392063,0.08680904168484964,False,False
3,esm2_0004,0.06733887163833296,0.06257919525663662,0.003916155678968252,-0.1116333,0.24389648,0.3555298,0.06836507933007346,0.061978944453794135,False,False
4,esm2_0005,0.009351955534483035,0.07937536536898424,0.0063004486274597414,-0.2607422,0.28564453,0.5463867,0.008170197738541498,0.07838435461118777,False,False
5,esm2_0006,-0.042215673164045904,0.05243799040430533,0.0027497428376420177,-0.21057129,0.13000488,0.34057617,-0.04314988834990396,0.052368794230769296,False,False
6,esm2_0007,-0.10976541690635892,0.05126526551411336,0.0026281274482325406,-0.27270508,0.052215576,0.32492065,-0.11023700899548,0.05118734472099424,False,False
7,esm2_0008,0.11924829500232235,0.08724903571991434,0.007612394234054887,-0.17419434,0.45410156,0.6282959,0.12045618568857511,0.08906861824026686,False,False
8,esm2_0009,0.08598079639058002,0.08992932317285841,0.008087283166328408,-0.18444824,0.25732422,0.44177246,0.08710524638493856,0.08797060251074972,False,False
9,esm2_0010,-0.06583569138481403,0.053570149505142245,0.0028697609180032917,-0.2553711,0.10723877,0.36260986,-0.06623592608504825,0.053642692455639115,False,False
10,esm2_0011,0.01813669282773491,0.044535574987911504,0.0019834174395038885,-0.19946289,0.17224121,0.3717041,0.018997388167513743,0.043937846141988895,False,False
11,esm2_0012,-0.03371159879534147,0.05936444983529892,0.003524137904247722,-0.23596191,0.123535156,0.35949707,-0.032112845447328356,0.05758741142952077,False,False
12,esm2_0013,0.06815021925840473,0.05870793937533091,0.00344662214569753,-0.124816895,0.28955078,0.41436768,0.06874738542570008,0.05821982772090666,False,False
13,esm2_0014,0.11096278094292746,0.05362993099742249,0.0028761694987882976,-0.05508423,0.28393555,0.33901978,0.11104134586122301,0.054104364376147344,False,False
14,esm2_0015,-0.016679705909301384,0.0386856722412502,0.0014965812367574362,-0.2055664,0.088378906,0.2939453,-0.01622858221332232,0.03867357676459845,False,False
15,esm2_0016,0.02878872787251192,0.0668785355439546,0.004472738516504,-0.15478516,0.23510742,0.38989258,0.02898415368464258,0.0679287470788267,False,False
16,esm2_0017,0.009250382009012983,0.06817308942413015,0.004647570121630447,-0.26245117,0.1652832,0.42773438,0.010282727082570393,0.06811130279857813,False,False
17,esm2_0018,0.03478030789308622,0.04194556204591264,0.0017594301753475071,-0.10473633,0.15014648,0.2548828,0.034525084247191744,0.04184205372672081,False,False
18,esm2_0019,0.019237132964203017,0.04759744973569608,0.002265517221342115,-0.14404297,0.16210938,0.30615234,0.0189444517923726,0.04803116791127863,False,False
19,esm2_0020,0.0036475881355319513,0.06033758986599909,0.003640624750837516,-0.14782715,0.27783203,0.42565918,0.0031726145909892188,0.06127670153386719,False,False
20,esm2_0021,0.026341293416462516,0.0791583476910228,0.006266044009172854,-0.21691895,0.2220459,0.43896484,0.027928405503431956,0.07805315004787321,False,False
21,esm2_0022,0.0066627002715005995,0.05062337786206711,0.0025627263861656264,-0.16320801,0.14770508,0.3109131,0.006096578886111577,0.0506842193207898,False,False
22,esm2_0023,-0.042181410284074114,0.03896934841070326,0.0015186101155547805,-0.19335938,0.1427002,0.33605957,-0.04155072495341301,0.03954141081972565,False,False
23,esm2_0024,-0.0033953758111672184,0.04856261088409793,0.002358327175880307,-0.1586914,0.1965332,0.3552246,-0.003299272143178516,0.04910910642365604,False,False
24,esm2_0025,0.12241245374563135,0.06873457270428258,0.004724441484840308,-0.19592285,0.28686523,0.4827881,0.12243503597047593,0.0687878518759892,False,False
25,esm2_0026,0.0063474338406595615,0.08175893446968345,0.006684523365617994,-0.17773438,0.24328613,0.4210205,0.004600002202722761,0.08092961764173633,False,False
26,esm2_0027,-0.02968733649407322,0.050876032982055897,0.0025883707319912393,-0.19091797,0.12402344,0.3149414,-0.029306512739923265,0.05070527791931545,False,False
27,esm2_0028,-0.03291926399849099,0.05638997784799976,0.0031798296016979036,-0.23413086,0.1274414,0.36157227,-0.033302807807922365,0.05565910012611457,False,False
28,esm2_0029,-0.008207873221110556,0.04759392687942622,0.0022651818758041694,-0.2376709,0.15441895,0.39208984,-0.008484412812524371,0.04787696282156812,False,False
29,esm2_0030,-0.2061593482285308,0.05164985537232456,0.0026677075599820443,-0.4074707,0.028198242,0.43566895,-0.20664838155110676,0.0515040147299939,False,False
30,esm2_0031,-0.037381315535631086,0.05736233211886249,0.0032904371461146835,-0.2043457,0.15783691,0.36218262,-0.038077478855848314,0.0570370931158986,False,False
31,esm2_0032,0.09521222379178504,0.06543203518586545,0.004281351228564334,-0.17993164,0.26416016,0.4440918,0.09370130532317691,0.06604234927915617,False,False
32,esm2_0033,0.11755337222964067,0.04576817716403269,0.0020947260409182834,-0.057617188,0.25854492,0.3161621,0.11681778166029189,0.04557040004591072,False,False
33,esm2_0034,-0.05338188969467112,0.05656153171729355,0.0031992068702064043,-0.22229004,0.107055664,0.3293457,-0.0523298806614346,0.055941828846069526,False,False
34,esm2_0035,0.014177051421407854,0.04509642459649291,0.00203368751138717,-0.14111328,0.19360352,0.3347168,0.014120179745886061,0.04571834409850969,False,False
35,esm2_0036,0.04097420129342032,0.044281622752385535,0.001960862113584588,-0.15246582,0.21765137,0.3701172,0.04129955669244131,0.04412177708151527,False,False
36,esm2_0037,-0.08226065683311945,0.09686989434711675,0.00938377643082156,-0.3088379,0.20324707,0.51208496,-0.08339247703552247,0.0949715739014421,False,False
37,esm2_0038,0.0025567403776399567,0.08901539993503489,0.00792374142559421,-0.13977051,0.29003906,0.42980957,0.0005048779977692499,0.0873017584682047,False,False
38,esm2_0039,0.04017307140454071,0.05707748090100868,0.00325783882600501,-0.23046875,0.19372559,0.42419434,0.04070018223590321,0.05667597324056769,False,False
39,esm2_0040,-0.10640283033135993,0.07478386439804546,0.005592626374305252,-0.32910156,0.06817627,0.39727783,-0.10420585506492192,0.07395922339385216,False,False
40,esm2_0041,-0.0555760680504565,0.044734838715885065,0.0020012057949362495,-0.21520996,0.11273193,0.3279419,-0.055693444609642026,0.04517788542618613,False,False
41,esm2_0042,0.0006639968674137907,0.04143488497718153,0.0017168496930722635,-0.14355469,0.2052002,0.34875488,1.6125953859753077e-05,0.041949401469689764,False,False
42,esm2_0043,0.02384737481287661,0.05139208632106501,0.0026411465364317975,-0.20361328,0.24145508,0.44506836,0.023256678299771415,0.051905374019714505,False,False
43,esm2_0044,-0.025301885790089258,0.04878587364617379,0.002380061467420434,-0.20837402,0.15966797,0.368042,-0.024798103339142268,0.0483727373400062,False,False
44,esm2_0045,0.0042369530415296815,0.046753642641225224,0.0021859031002233937,-0.1862793,0.18615723,0.37243652,0.003985875265465843,0.045537849873332994,False,False
45,esm2_0046,-0.05719732312065912,0.04337938007319253,0.0018817706155344934,-0.23571777,0.10546875,0.34118652,-0.05678073035346137,0.044219865385639365,False,False
46,esm2_0047,0.0038075486774846795,0.06375495904688461,0.004064694803069934,-0.32543945,0.24865723,0.5740967,0.003802186581823561,0.06364282434811529,False,False
47,esm2_0048,0.07879246458758525,0.056717533704052456,0.003216878629470326,-0.20593262,0.23535156,0.44128418,0.07890538109673394,0.05765273532892681,False,False
