fold,train_rows,validation_rows,input_dimensions,scaler_fit_samples,scaler_fit_training_only,pca_components,pca_fit_samples,pca_fit_training_only,train_output_rows,train_output_dimensions,validation_output_rows,validation_output_dimensions,cumulative_training_explained_variance,train_output_finite,validation_output_finite,train_validation_index_overlap,locked_test_index_overlap
1,576,144,1280,576,True,24,576,True,576,24,144,24,0.8024483323097229,True,True,0,0
1,576,144,1280,576,True,52,576,True,576,52,144,52,0.9038050770759583,True,True,0,0
1,576,144,1280,576,True,99,576,True,576,99,144,99,0.9543920159339905,True,True,0,0
1,576,144,1280,576,True,274,576,True,576,274,144,274,0.9923741221427917,True,True,0,0
2,576,144,1280,576,True,24,576,True,576,24,144,24,0.8052827715873718,True,True,0,0
2,576,144,1280,576,True,52,576,True,576,52,144,52,0.9057109355926514,True,True,0,0
2,576,144,1280,576,True,99,576,True,576,99,144,99,0.954561173915863,True,True,0,0
2,576,144,1280,576,True,274,576,True,576,274,144,274,0.9923139214515686,True,True,0,0
3,576,144,1280,576,True,24,576,True,576,24,144,24,0.8024699091911316,True,True,0,0
3,576,144,1280,576,True,52,576,True,576,52,144,52,0.9054169654846191,True,True,0,0
3,576,144,1280,576,True,99,576,True,576,99,144,99,0.955079972743988,True,True,0,0
3,576,144,1280,576,True,274,576,True,576,274,144,274,0.9924978017807007,True,True,0,0
4,576,144,1280,576,True,24,576,True,576,24,144,24,0.8065384030342102,True,True,0,0
4,576,144,1280,576,True,52,576,True,576,52,144,52,0.9078201055526733,True,True,0,0
4,576,144,1280,576,True,99,576,True,576,99,144,99,0.9559371471405029,True,True,0,0
4,576,144,1280,576,True,274,576,True,576,274,144,274,0.9925107955932617,True,True,0,0
5,576,144,1280,576,True,24,576,True,576,24,144,24,0.8036911487579346,True,True,0,0
5,576,144,1280,576,True,52,576,True,576,52,144,52,0.9061540365219116,True,True,0,0
5,576,144,1280,576,True,99,576,True,576,99,144,99,0.9547042846679688,True,True,0,0
5,576,144,1280,576,True,274,576,True,576,274,144,274,0.9923955202102661,True,True,0,0
