representation,pca_components,C,fold,train_n,validation_n,scaler_fit_samples,pca_fit_samples,output_dimensions,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,convergence_warnings,locked_test_rows_used
no_pca,,0.01,1,576,144,576,,1280,0.97021484375,0.7568076203766994,0.7711559152360674,0.7894736842105263,0,0
no_pca,,0.01,2,576,144,576,,1280,0.9951171875,0.9654893207282913,0.8109307588519342,0.8205128205128205,0,0
no_pca,,0.01,3,576,144,576,,1280,0.9951171875,0.9626304342587239,0.8325754129097365,0.8421052631578947,0,0
no_pca,,0.01,4,576,144,576,,1280,0.998046875,0.9875,0.8556534679079243,0.8648648648648649,0,0
no_pca,,0.01,5,576,144,576,,1280,0.9824289405684754,0.8875230624495329,0.7647165723025928,0.7878787878787878,0,0
no_pca,,0.1,1,576,144,576,,1280,0.9697265625,0.7965558186070405,0.7930446775731982,0.8108108108108109,0,0
no_pca,,0.1,2,576,144,576,,1280,0.9931640625,0.9533482142857143,0.8164451367301556,0.8333333333333334,0,0
no_pca,,0.1,3,576,144,576,,1280,0.9931640625,0.9441825025464732,0.8978642767029671,0.9090909090909091,0,0
no_pca,,0.1,4,576,144,576,,1280,0.99853515625,0.9891493055555556,0.9354143466934853,0.9411764705882353,0,0
no_pca,,0.1,5,576,144,576,,1280,0.9829457364341085,0.9147410759175464,0.7911215487044864,0.8125,0,0
no_pca,,1.0,1,576,144,576,,1280,0.96435546875,0.7910691738816739,0.7525494303773609,0.7777777777777778,0,0
no_pca,,1.0,2,576,144,576,,1280,0.99169921875,0.9438864087301588,0.8017837257372732,0.8235294117647058,0,0
no_pca,,1.0,3,576,144,576,,1280,0.9921875,0.9366087037962038,0.859375,0.875,0,0
no_pca,,1.0,4,576,144,576,,1280,0.99755859375,0.9820586622807017,0.8978642767029671,0.9090909090909091,0,0
no_pca,,1.0,5,576,144,576,,1280,0.9751937984496124,0.9065711412770235,0.8089014108412887,0.8275862068965517,0,0
no_pca,,10.0,1,576,144,576,,1280,0.922607421875,0.7475499915737142,0.730435887238472,0.7567567567567568,0,0
no_pca,,10.0,2,576,144,576,,1280,0.986328125,0.8723488694276738,0.7609019294092941,0.7878787878787878,0,0
no_pca,,10.0,3,576,144,576,,1280,0.9892578125,0.9186138057848585,0.8198127976897006,0.8387096774193549,0,0
no_pca,,10.0,4,576,144,576,,1280,0.99462890625,0.96875,0.8685990362153793,0.8823529411764706,0,0
no_pca,,10.0,5,576,144,576,,1280,0.944186046511628,0.8592070582782656,0.7647165723025928,0.7878787878787878,0,0
no_pca,,100.0,1,576,144,576,,1280,0.93310546875,0.6896802140905915,0.6052183065690196,0.6486486486486487,0,0
no_pca,,100.0,2,576,144,576,,1280,0.98486328125,0.8726295695045695,0.8536041880696872,0.8666666666666667,0,0
no_pca,,100.0,3,576,144,576,,1280,0.98193359375,0.7750583127621171,0.8198127976897006,0.8387096774193549,0,0
no_pca,,100.0,4,576,144,576,,1280,0.97705078125,0.8826917232785711,0.7930446775731982,0.8108108108108109,0,0
no_pca,,100.0,5,576,144,576,,1280,0.9214470284237727,0.6702987541640792,0.7206691658885025,0.75,0,0
pca_24,24.0,0.01,1,576,144,576,576.0,24,0.97509765625,0.7939017762208551,0.7312767089139377,0.75,0,0
pca_24,24.0,0.01,2,576,144,576,576.0,24,0.99560546875,0.9729053442028985,0.7713624310270756,0.7804878048780488,0,0
pca_24,24.0,0.01,3,576,144,576,576.0,24,0.99267578125,0.9456506901559651,0.8109307588519342,0.8205128205128205,0,0
pca_24,24.0,0.01,4,576,144,576,576.0,24,0.9970703125,0.977594376566416,0.8325754129097365,0.8421052631578947,0,0
pca_24,24.0,0.01,5,576,144,576,576.0,24,0.9834625322997416,0.9022516656862007,0.6964435567545408,0.7222222222222222,0,0
pca_24,24.0,0.1,1,576,144,576,576.0,24,0.97509765625,0.8075654839441604,0.7506135949703854,0.7692307692307693,0,0
pca_24,24.0,0.1,2,576,144,576,576.0,24,0.9921875,0.9491935331825039,0.7930446775731982,0.8108108108108109,0,0
pca_24,24.0,0.1,3,576,144,576,576.0,24,0.994140625,0.9645833333333333,0.8415524501276135,0.8571428571428571,0,0
pca_24,24.0,0.1,4,576,144,576,576.0,24,0.99853515625,0.9891493055555556,0.9068453126375146,0.9142857142857143,0,0
pca_24,24.0,0.1,5,576,144,576,576.0,24,0.9881136950904393,0.932186797501199,0.7767441860465116,0.8,0,0
pca_24,24.0,1.0,1,576,144,576,576.0,24,0.974853515625,0.7894374905065695,0.7525494303773609,0.7777777777777778,0,0
pca_24,24.0,1.0,2,576,144,576,576.0,24,0.9892578125,0.9205067501942502,0.8164451367301556,0.8333333333333334,0,0
pca_24,24.0,1.0,3,576,144,576,576.0,24,0.99267578125,0.9464514297621882,0.8164451367301556,0.8333333333333334,0,0
pca_24,24.0,1.0,4,576,144,576,576.0,24,0.9970703125,0.9829545454545454,0.8415524501276135,0.8571428571428571,0,0
pca_24,24.0,1.0,5,576,144,576,576.0,24,0.98656330749354,0.916240874135611,0.7767441860465116,0.8,0,0
pca_24,24.0,10.0,1,576,144,576,576.0,24,0.9677734375,0.7757984909397448,0.6456738625979104,0.6857142857142857,0,0
pca_24,24.0,10.0,2,576,144,576,576.0,24,0.986328125,0.8992237898947458,0.8164451367301556,0.8333333333333334,0,0
pca_24,24.0,10.0,3,576,144,576,576.0,24,0.99169921875,0.9411248473748474,0.8556534679079243,0.8648648648648649,0,0
pca_24,24.0,10.0,4,576,144,576,576.0,24,0.99609375,0.9791666666666666,0.8415524501276135,0.8571428571428571,0,0
pca_24,24.0,10.0,5,576,144,576,576.0,24,0.9844961240310077,0.8820666565403408,0.7474763743641388,0.7741935483870968,0,0
pca_24,24.0,100.0,1,576,144,576,576.0,24,0.92822265625,0.574117433881534,0.5554584084687847,0.6060606060606061,0,0
pca_24,24.0,100.0,2,576,144,576,576.0,24,0.986328125,0.8992237898947458,0.8164451367301556,0.8333333333333334,0,0
pca_24,24.0,100.0,3,576,144,576,576.0,24,0.99169921875,0.9411248473748475,0.8164451367301556,0.8333333333333334,0,0
pca_24,24.0,100.0,4,576,144,576,576.0,24,0.99609375,0.9791666666666666,0.8685990362153793,0.8823529411764706,0,0
pca_24,24.0,100.0,5,576,144,576,576.0,24,0.9844961240310077,0.8820666565403408,0.7474763743641388,0.7741935483870968,0,0
pca_52,52.0,0.01,1,576,144,576,576.0,52,0.9716796875,0.7535774988899989,0.7711559152360674,0.7894736842105263,0,0
pca_52,52.0,0.01,2,576,144,576,576.0,52,0.99365234375,0.9574794863597613,0.7905694150420948,0.8,0,0
pca_52,52.0,0.01,3,576,144,576,576.0,52,0.99609375,0.9701551053113553,0.8325754129097365,0.8421052631578947,0,0
pca_52,52.0,0.01,4,576,144,576,576.0,52,0.99853515625,0.9882506127450981,0.8803408430829505,0.8888888888888888,0,0
pca_52,52.0,0.01,5,576,144,576,576.0,52,0.9839793281653747,0.8958596224975535,0.7402946913967161,0.7647058823529411,0,0
pca_52,52.0,0.1,1,576,144,576,576.0,52,0.9736328125,0.8131593421674944,0.7930446775731982,0.8108108108108109,0,0
pca_52,52.0,0.1,2,576,144,576,576.0,52,0.9921875,0.9412027310924369,0.8164451367301556,0.8333333333333334,0,0
pca_52,52.0,0.1,3,576,144,576,576.0,52,0.99609375,0.9715161064425771,0.8803408430829505,0.8888888888888888,0,0
pca_52,52.0,0.1,4,576,144,576,576.0,52,0.998046875,0.9862253289473684,0.8803408430829505,0.8888888888888888,0,0
pca_52,52.0,0.1,5,576,144,576,576.0,52,0.9819121447028424,0.8893456827802179,0.7911215487044864,0.8125,0,0
pca_52,52.0,1.0,1,576,144,576,576.0,52,0.962158203125,0.7812082882395384,0.7525494303773609,0.7777777777777778,0,0
pca_52,52.0,1.0,2,576,144,576,576.0,52,0.986328125,0.9001649255349913,0.7762595876177124,0.8,0,0
pca_52,52.0,1.0,3,576,144,576,576.0,52,0.9921875,0.9317362702213245,0.8978642767029671,0.9090909090909091,0,0
pca_52,52.0,1.0,4,576,144,576,576.0,52,0.99267578125,0.9526041666666667,0.8685990362153793,0.8823529411764706,0,0
pca_52,52.0,1.0,5,576,144,576,576.0,52,0.9736434108527132,0.8478872815637521,0.7474763743641388,0.7741935483870968,0,0
pca_52,52.0,10.0,1,576,144,576,576.0,52,0.949462890625,0.7810662607268211,0.7525494303773609,0.7777777777777778,0,0
pca_52,52.0,10.0,2,576,144,576,576.0,52,0.98388671875,0.8874345271887842,0.7349684152591671,0.7647058823529411,0,0
pca_52,52.0,10.0,3,576,144,576,576.0,52,0.986572265625,0.8877616718077245,0.8017837257372732,0.8235294117647058,0,0
pca_52,52.0,10.0,4,576,144,576,576.0,52,0.9833984375,0.8529160943223444,0.7890625,0.8125,0,0
pca_52,52.0,10.0,5,576,144,576,576.0,52,0.9661498708010337,0.7533630058630059,0.7474763743641388,0.7741935483870968,0,0
pca_52,52.0,100.0,1,576,144,576,576.0,52,0.953857421875,0.7411066559060694,0.7762595876177124,0.8,0,0
pca_52,52.0,100.0,2,576,144,576,576.0,52,0.9814453125,0.8283075430618,0.7609019294092941,0.7878787878787878,0,0
pca_52,52.0,100.0,3,576,144,576,576.0,52,0.982177734375,0.8237703203623289,0.8293831030561306,0.8484848484848485,0,0
pca_52,52.0,100.0,4,576,144,576,576.0,52,0.984375,0.8443499600209159,0.7474763743641388,0.7741935483870968,0,0
pca_52,52.0,100.0,5,576,144,576,576.0,52,0.9643410852713179,0.6907318977704373,0.7474763743641388,0.7741935483870968,0,0
pca_99,99.0,0.01,1,576,144,576,576.0,99,0.96728515625,0.7540803476494267,0.7711559152360674,0.7894736842105263,0,0
pca_99,99.0,0.01,2,576,144,576,576.0,99,0.99462890625,0.9633248185637892,0.8325754129097365,0.8421052631578947,0,0
pca_99,99.0,0.01,3,576,144,576,576.0,99,0.99365234375,0.9514235957540911,0.8325754129097365,0.8421052631578947,0,0
pca_99,99.0,0.01,4,576,144,576,576.0,99,0.99853515625,0.9891493055555556,0.8803408430829505,0.8888888888888888,0,0
pca_99,99.0,0.01,5,576,144,576,576.0,99,0.9839793281653747,0.8958596224975535,0.7402946913967161,0.7647058823529411,0,0
pca_99,99.0,0.1,1,576,144,576,576.0,99,0.95947265625,0.8110654957173211,0.7930446775731982,0.8108108108108109,0,0
pca_99,99.0,0.1,2,576,144,576,576.0,99,0.9931640625,0.9515939434984519,0.8415524501276135,0.8571428571428571,0,0
pca_99,99.0,0.1,3,576,144,576,576.0,99,0.98828125,0.8985696138656666,0.8415524501276135,0.8571428571428571,0,0
pca_99,99.0,0.1,4,576,144,576,576.0,99,0.99853515625,0.9882506127450981,0.9068453126375146,0.9142857142857143,0,0
pca_99,99.0,0.1,5,576,144,576,576.0,99,0.9824289405684754,0.8875230624495329,0.7911215487044864,0.8125,0,0
pca_99,99.0,1.0,1,576,144,576,576.0,99,0.951904296875,0.8084752415486309,0.7525494303773609,0.7777777777777778,0,0
pca_99,99.0,1.0,2,576,144,576,576.0,99,0.9921875,0.9439267740665767,0.8017837257372732,0.8235294117647058,0,0
pca_99,99.0,1.0,3,576,144,576,576.0,99,0.98583984375,0.8811539155289156,0.7762595876177124,0.8,0,0
pca_99,99.0,1.0,4,576,144,576,576.0,99,0.99658203125,0.9759803921568628,0.8978642767029671,0.9090909090909091,0,0
pca_99,99.0,1.0,5,576,144,576,576.0,99,0.9746770025839793,0.8663776655443323,0.7911215487044864,0.8125,0,0
pca_99,99.0,10.0,1,576,144,576,576.0,99,0.9453125,0.8163052663356061,0.7525494303773609,0.7777777777777778,0,0
pca_99,99.0,10.0,2,576,144,576,576.0,99,0.9921875,0.9439267740665767,0.7609019294092941,0.7878787878787878,0,0
pca_99,99.0,10.0,3,576,144,576,576.0,99,0.9814453125,0.8657216828532366,0.7762595876177124,0.8,0,0
pca_99,99.0,10.0,4,576,144,576,576.0,99,0.99609375,0.9729166666666667,0.859375,0.875,0,0
pca_99,99.0,10.0,5,576,144,576,576.0,99,0.9705426356589147,0.8596445639187575,0.8198127976897006,0.8387096774193549,0,0
