representation,pca_components,C,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,convergence_warnings,selected
pca_24,24.0,0.1,0.9896149265180879,0.008939734495151066,0.9285356907033504,0.070794263194016,0.8137600442710446,0.06169290730497242,0.8302940302940304,0.05657187562624223,0,True
pca_52,52.0,0.01,0.9887880531330749,0.011043782861176198,0.9130644651607535,0.0956779639086281,0.802987255533513,0.054673648015605134,0.8170347437220503,0.04893785178596754,0,False
pca_24,24.0,0.01,0.9887823502099483,0.00930020674732229,0.9184607705664671,0.07579242184694827,0.768517773691445,0.05588363843879585,0.7830656221541973,0.049218572968929016,0,False
pca_52,52.0,0.1,0.9883746164405685,0.010329085317317431,0.920289838286019,0.07043339499502635,0.8322586098347482,0.04501071683984566,0.8468843843843844,0.03935726229613532,0,False
no_pca,,0.01,0.988185006863695,0.011719916397039261,0.9119900875626495,0.09461579278708052,0.8070064254416511,0.03908132231033556,0.8209670841249789,0.03339428734376355,0,False
pca_24,24.0,1.0,0.9880841458737081,0.008375176499193776,0.911118218010633,0.07302307748507483,0.8007472680023595,0.03555660469086675,0.8203174603174602,0.03129440659449843,0,False
pca_274,274.0,0.01,0.9878920381136951,0.011509556658594192,0.909561866274134,0.09303725003844174,0.8070064254416511,0.03908132231033556,0.8209670841249789,0.03339428734376355,0,False
pca_99,99.0,0.01,0.9876161781330749,0.012563984863612938,0.9107675380040832,0.09398404894193861,0.8113884551070413,0.05550942864148336,0.8254557963536291,0.04889639854756513,0,False
no_pca,,0.1,0.9875071160368216,0.011429939036078004,0.919595383382466,0.0737289409145396,0.8467779972808586,0.06589992929912634,0.8613823047646576,0.059951898102611194,0,False
pca_274,274.0,0.1,0.987208444363695,0.011811251311783639,0.9183129469844834,0.07304984126750962,0.8542880112789621,0.07472582496577798,0.8677994170641229,0.06756852385879379,0,False
pca_24,24.0,10.0,0.9852781310562015,0.010797410558496095,0.895476090283269,0.07681879254079725,0.7813602583455486,0.0865049784904328,0.8030497778884875,0.07460656746610311,0,False
pca_99,99.0,0.1,0.9843764131136951,0.015140428455674211,0.9074005456552141,0.0675339383250554,0.8348232878340852,0.04725735282845858,0.850376447876448,0.042355719394901875,0,False
no_pca,,1.0,0.9841989159399225,0.013905102895253858,0.9120388179931525,0.07277409773282895,0.824094768731778,0.05597765453372829,0.8425968611059889,0.0506503276279944,0,False
pca_274,274.0,1.0,0.9830099321705426,0.014521682396259242,0.9030797556416751,0.07127101620518507,0.819763506314416,0.06687062189304789,0.8386410184797282,0.060177427512979165,0,False
pca_52,52.0,1.0,0.9813986040455426,0.013211843432112338,0.8827201864452545,0.06911704352410103,0.8085497410555117,0.06980624802125954,0.8286830352864509,0.06270775650950251,0,False
pca_99,99.0,1.0,0.9802381348917958,0.017853725004155538,0.8951827977690637,0.06604727846258983,0.80391571382796,0.0556729846810577,0.8245796197266785,0.05020893420305608,0,False
pca_24,24.0,100.0,0.9773679748062015,0.027849579657700387,0.855139878871627,0.16156896055104467,0.7608848185017228,0.12263364845563995,0.785854752458168,0.1075665497133838,0,False
pca_99,99.0,10.0,0.977116339631783,0.020375964912544984,0.8917029907681687,0.06463469006188464,0.7937797490188137,0.04491186599179019,0.8158732486151841,0.040324899137178696,0,False
pca_274,274.0,10.0,0.976212123506137,0.02383249168142397,0.8984896625590275,0.07635282287480431,0.7966014606692383,0.08945232510697837,0.817929292929293,0.07996721601493877,0,False
pca_52,52.0,10.0,0.9738940366602067,0.015872758281115174,0.832508311981736,0.06204144700729018,0.765168089147588,0.028704944421462812,0.7905413240565042,0.025826465644761265,0,False
pca_52,52.0,100.0,0.9732393108042636,0.013472875432937863,0.7856532754243103,0.0665433424381114,0.7722994737622829,0.034045924057969204,0.796950146627566,0.030753626524434606,0,False
no_pca,,10.0,0.9674016624273255,0.03210418156836534,0.8732939450129024,0.08242666981375368,0.7888932445710878,0.054987088983406256,0.8107153902220317,0.04967437408021068,0,False
pca_274,274.0,100.0,0.964763858607881,0.029597338946254225,0.8302015008321286,0.09592630366610613,0.7493821893061566,0.06012503581702232,0.775283347863993,0.05289963444685497,0,False
pca_99,99.0,100.0,0.9609253371285529,0.033910261079071226,0.8108741249828461,0.11029828821819508,0.7717233030165602,0.046047039784766326,0.7944696858009552,0.043122848745264786,0,False
no_pca,,100.0,0.9596800306847545,0.02999637460278789,0.7780717147599857,0.09915099986147613,0.7584698271580217,0.09864563535226421,0.7829671607090962,0.08662620949382686,0,False
