representation,pca_components,C,gamma,fold,train_n,validation_n,scaler_fit_samples,pca_fit_samples,output_dimensions,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,fit_warnings,locked_test_rows_used
no_pca,,0.1,scale,1,576,144,576,,1280,0.96630859375,0.738332424168022,0.6013377943029549,0.6470588235294118,1,0
no_pca,,0.1,scale,2,576,144,576,,1280,0.962890625,0.7667568333543734,0.5608623113189765,0.6111111111111112,1,0
no_pca,,0.1,scale,3,576,144,576,,1280,0.9775390625,0.8437956518119561,0.6456738625979104,0.6857142857142857,1,0
no_pca,,0.1,scale,4,576,144,576,,1280,0.98681640625,0.81038450418046,0.8685990362153793,0.8823529411764706,1,0
no_pca,,0.1,scale,5,576,144,576,,1280,0.9715762273901809,0.8530920248311553,0.6272394357088683,0.6666666666666666,1,0
no_pca,,0.1,0.001,1,576,144,576,,1280,0.96826171875,0.7380704176560156,0.6013377943029549,0.6470588235294118,1,0
no_pca,,0.1,0.001,2,576,144,576,,1280,0.96826171875,0.8061245219093685,0.5608623113189765,0.6111111111111112,1,0
no_pca,,0.1,0.001,3,576,144,576,,1280,0.9794921875,0.8575478310053118,0.6681531047810609,0.7058823529411765,1,0
no_pca,,0.1,0.001,4,576,144,576,,1280,0.9873046875,0.8130160831278286,0.8293831030561306,0.8484848484848485,1,0
no_pca,,0.1,0.001,5,576,144,576,,1280,0.9710594315245478,0.8523807872778124,0.6272394357088683,0.6666666666666666,1,0
no_pca,,0.1,0.01,1,576,144,576,,1280,0.92431640625,0.7693696285890361,0.0,0.0,1,0
no_pca,,0.1,0.01,2,576,144,576,,1280,0.97607421875,0.7877940398711833,0.0,0.0,1,0
no_pca,,0.1,0.01,3,576,144,576,,1280,0.97021484375,0.8264540147352647,0.0,0.0,1,0
no_pca,,0.1,0.01,4,576,144,576,,1280,0.02880859375,0.06195604664952919,0.0,0.0,1,0
no_pca,,0.1,0.01,5,576,144,576,,1280,0.9844961240310077,0.8847315842052683,0.0,0.0,1,0
no_pca,,0.1,0.1,1,576,144,576,,1280,0.31103515625,0.13587823679124073,0.0,0.0,1,0
no_pca,,0.1,0.1,2,576,144,576,,1280,0.3310546875,0.14935496197830062,0.0,0.0,1,0
no_pca,,0.1,0.1,3,576,144,576,,1280,0.25244140625,0.07417120210816905,0.0,0.0,1,0
no_pca,,0.1,0.1,4,576,144,576,,1280,0.226318359375,0.07148257844671986,0.0,0.0,1,0
no_pca,,0.1,0.1,5,576,144,576,,1280,0.22790697674418603,0.06772085551919882,0.0,0.0,1,0
no_pca,,1.0,scale,1,576,144,576,,1280,0.97265625,0.8086538979119997,0.6456738625979104,0.6857142857142857,1,0
no_pca,,1.0,scale,2,576,144,576,,1280,0.9833984375,0.8951494107744107,0.71875,0.75,1,0
no_pca,,1.0,scale,3,576,144,576,,1280,0.98974609375,0.9365288220551378,0.8139004485228496,0.8275862068965517,1,0
no_pca,,1.0,scale,4,576,144,576,,1280,0.99267578125,0.9248684923607524,0.8978642767029671,0.9090909090909091,1,0
no_pca,,1.0,scale,5,576,144,576,,1280,0.9829457364341085,0.8909820004556845,0.7321676801685973,0.7586206896551724,1,0
no_pca,,1.0,0.001,1,576,144,576,,1280,0.9736328125,0.8231380248961266,0.6013377943029549,0.6470588235294118,1,0
no_pca,,1.0,0.001,2,576,144,576,,1280,0.98291015625,0.8863616427432216,0.71875,0.75,1,0
no_pca,,1.0,0.001,3,576,144,576,,1280,0.99072265625,0.9413194444444445,0.8528028654224418,0.8571428571428571,1,0
no_pca,,1.0,0.001,4,576,144,576,,1280,0.99169921875,0.9113881002038896,0.8198127976897006,0.8387096774193549,1,0
no_pca,,1.0,0.001,5,576,144,576,,1280,0.9808785529715762,0.886517714741399,0.7321676801685973,0.7586206896551724,1,0
no_pca,,1.0,0.01,1,576,144,576,,1280,0.92529296875,0.7964628505552419,0.47809144373375745,0.4,1,0
no_pca,,1.0,0.01,2,576,144,576,,1280,0.978515625,0.8522434345625135,0.47809144373375745,0.4,1,0
no_pca,,1.0,0.01,3,576,144,576,,1280,0.9716796875,0.8418580551393051,0.5895263864273741,0.5833333333333334,1,0
no_pca,,1.0,0.01,4,576,144,576,,1280,0.9658203125,0.7923292189836307,0.5988172421968482,0.6153846153846154,1,0
no_pca,,1.0,0.01,5,576,144,576,,1280,0.9870801033591732,0.9061190855927697,0.7112540705972631,0.6956521739130435,1,0
no_pca,,1.0,0.1,1,576,144,576,,1280,0.277099609375,0.1330454338939624,0.0,0.0,1,0
no_pca,,1.0,0.1,2,576,144,576,,1280,0.270263671875,0.14460009977388927,0.0,0.0,1,0
no_pca,,1.0,0.1,3,576,144,576,,1280,0.21484375,0.07109975379418342,0.0,0.0,1,0
no_pca,,1.0,0.1,4,576,144,576,,1280,0.18994140625,0.06879119088691127,0.0,0.0,1,0
no_pca,,1.0,0.1,5,576,144,576,,1280,0.22790697674418603,0.06772085551919882,0.0,0.0,1,0
no_pca,,10.0,scale,1,576,144,576,,1280,0.9775390625,0.8474910387134652,0.6484375,0.6875,1,0
no_pca,,10.0,scale,2,576,144,576,,1280,0.99169921875,0.936422039218092,0.8198127976897006,0.8387096774193549,1,0
no_pca,,10.0,scale,3,576,144,576,,1280,0.9853515625,0.94284262485482,0.8134212533111892,0.8148148148148148,1,0
no_pca,,10.0,scale,4,576,144,576,,1280,0.99609375,0.9719024122807018,0.859375,0.875,1,0
no_pca,,10.0,scale,5,576,144,576,,1280,0.9297157622739017,0.8676466398525222,0.7321676801685973,0.7586206896551724,1,0
no_pca,,10.0,0.001,1,576,144,576,,1280,0.97802734375,0.8509251046475311,0.6484375,0.6875,1,0
no_pca,,10.0,0.001,2,576,144,576,,1280,0.990234375,0.9245086921484948,0.7890625,0.8125,1,0
no_pca,,10.0,0.001,3,576,144,576,,1280,0.98583984375,0.9473069105691057,0.8134212533111892,0.8148148148148148,1,0
no_pca,,10.0,0.001,4,576,144,576,,1280,0.99560546875,0.9674381265664161,0.859375,0.875,1,0
no_pca,,10.0,0.001,5,576,144,576,,1280,0.931266149870801,0.879403599684548,0.7197016060085818,0.7407407407407407,1,0
no_pca,,10.0,0.01,1,576,144,576,,1280,0.9248046875,0.7937054976140654,0.47809144373375745,0.4,1,0
no_pca,,10.0,0.01,2,576,144,576,,1280,0.98046875,0.8597397841853487,0.47809144373375745,0.4,1,0
no_pca,,10.0,0.01,3,576,144,576,,1280,0.974609375,0.8581999885068894,0.5895263864273741,0.5833333333333334,1,0
no_pca,,10.0,0.01,4,576,144,576,,1280,0.9609375,0.7808337495837496,0.5988172421968482,0.6153846153846154,1,0
no_pca,,10.0,0.01,5,576,144,576,,1280,0.9896640826873385,0.9214789693737063,0.7112540705972631,0.6956521739130435,1,0
