representation,pca_components,C,gamma,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,fit_warnings,selected
no_pca,,1.0,scale,0.9842844597868217,0.007714210912340933,0.891236524711597,0.05004439817718995,0.7616712535984649,0.09675293008395622,0.7862024182713838,0.08512260387793687,5,True
pca_274,274.0,1.0,0.001,0.9841925064599483,0.008558143137119853,0.8893635218974177,0.05598850766209334,0.761482229452034,0.09523134383722642,0.7859192753853488,0.08231465900123576,5,False
pca_99,99.0,1.0,0.001,0.9839971939599483,0.008770388778804688,0.8856258036267711,0.060942836542072484,0.761914146167239,0.09241953404437364,0.787200328407225,0.08143058131690982,5,False
no_pca,,1.0,0.001,0.9839686793443153,0.007464531785542191,0.8897449854058163,0.04355082868081561,0.7449742275167389,0.098375517086748,0.7703064095493593,0.0836039016193753,5,False
pca_274,274.0,1.0,scale,0.9836553970849483,0.008889811951250963,0.8833894591095005,0.0612807356264528,0.7602443583861509,0.08637520887730225,0.7860206952636449,0.07635850934352412,5,False
pca_52,52.0,1.0,0.001,0.9833998506136951,0.009710360860159233,0.8759890251002866,0.0714310530434055,0.7778000709716728,0.09817734435851173,0.8009281757668856,0.0858865141367008,5,False
pca_99,99.0,1.0,scale,0.9833998506136951,0.009411113756409219,0.8751566223952059,0.07484825689830969,0.7786603475865876,0.07856233887827674,0.8020282521610795,0.06922230986484411,5,False
pca_24,24.0,1.0,0.001,0.9830035226905686,0.010904630112690085,0.8753959619494264,0.08428412167218029,0.7690157925536052,0.07722165729418401,0.7940221406255562,0.06880184449354952,5,False
pca_24,24.0,1.0,scale,0.9829001635174418,0.010919999235525817,0.8747292952827598,0.08433591877805022,0.7690157925536052,0.07722165729418401,0.7940221406255562,0.06880184449354952,5,False
pca_52,52.0,1.0,scale,0.9827911014211888,0.009997676273185822,0.8685237832343095,0.07765981919569093,0.7795513247950174,0.08529882419199081,0.8028234089334658,0.07496805290765772,5,False
no_pca,,100.0,0.001,0.9766943233204135,0.025769365627367088,0.916257830447846,0.0509297640600832,0.7809954832913582,0.06968224060281815,0.8013119407474246,0.06333992258234776,5,False
pca_274,274.0,100.0,scale,0.9762580749354004,0.02771001271418384,0.9174785159729044,0.05212506814829181,0.7992568465063172,0.055705703796781615,0.8198701298701299,0.04968897472532462,5,False
