n_estimators,max_depth,min_samples_leaf,fold,train_n,validation_n,input_dimensions,scaler_used,pca_used,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,locked_test_rows_used
300,None,1,1,576,144,1280,False,False,0.9697265625,0.7962272087500797,0.6678270969037458,0.7027027027027027,0
300,None,1,2,576,144,1280,False,False,0.98291015625,0.8903061347478917,0.6902964310888365,0.717948717948718,0
300,None,1,3,576,144,1280,False,False,0.99267578125,0.9553086180124224,0.7762595876177124,0.8,0
300,None,1,4,576,144,1280,False,False,0.994140625,0.951367902930403,0.8556534679079243,0.8648648648648649,0
300,None,1,5,576,144,1280,False,False,0.9850129198966409,0.9197652305069184,0.7911215487044864,0.8125,0
300,None,3,1,576,144,1280,False,False,0.96728515625,0.7407148924729942,0.7506135949703854,0.7692307692307693,0
300,None,3,2,576,144,1280,False,False,0.9853515625,0.9199286109236767,0.6957509801188752,0.7142857142857143,0
300,None,3,3,576,144,1280,False,False,0.9931640625,0.9550527597402597,0.7930446775731982,0.8108108108108109,0
300,None,3,4,576,144,1280,False,False,0.99462890625,0.9568840014152515,0.8556534679079243,0.8648648648648649,0
300,None,3,5,576,144,1280,False,False,0.9808785529715762,0.8819675068939774,0.7647165723025928,0.7878787878787878,0
300,None,5,1,576,144,1280,False,False,0.96630859375,0.7560096467383366,0.7506135949703854,0.7692307692307693,0
300,None,5,2,576,144,1280,False,False,0.98388671875,0.8952387990431468,0.6957509801188752,0.7142857142857143,0
300,None,5,3,576,144,1280,False,False,0.99072265625,0.9375415485250044,0.8109307588519342,0.8205128205128205,0
300,None,5,4,576,144,1280,False,False,0.9921875,0.9165318188755689,0.8556534679079243,0.8648648648648649,0
300,None,5,5,576,144,1280,False,False,0.978811369509044,0.8697651259415965,0.6580243263020736,0.6842105263157895,0
300,5,1,1,576,144,1280,False,False,0.96728515625,0.7650440187675476,0.7506135949703854,0.7692307692307693,0
300,5,1,2,576,144,1280,False,False,0.97998046875,0.8797273511089301,0.6957509801188752,0.7142857142857143,0
300,5,1,3,576,144,1280,False,False,0.9892578125,0.9319678672384286,0.7711559152360674,0.7894736842105263,0
300,5,1,4,576,144,1280,False,False,0.99365234375,0.943689556970807,0.8556534679079243,0.8648648648648649,0
300,5,1,5,576,144,1280,False,False,0.9824289405684755,0.8920120142700788,0.6964435567545408,0.7222222222222222,0
300,5,3,1,576,144,1280,False,False,0.96728515625,0.7679623516708844,0.7506135949703854,0.7692307692307693,0
300,5,3,2,576,144,1280,False,False,0.984375,0.9110000394951053,0.6957509801188752,0.7142857142857143,0
300,5,3,3,576,144,1280,False,False,0.990234375,0.9349379296729841,0.8109307588519342,0.8205128205128205,0
300,5,3,4,576,144,1280,False,False,0.99365234375,0.943689556970807,0.8556534679079243,0.8648648648648649,0
300,5,3,5,576,144,1280,False,False,0.9793281653746769,0.8706054620760502,0.6766321561663009,0.7027027027027027,0
300,5,5,1,576,144,1280,False,False,0.96533203125,0.7441048848335747,0.7506135949703854,0.7692307692307693,0
300,5,5,2,576,144,1280,False,False,0.98291015625,0.8877227959053617,0.6957509801188752,0.7142857142857143,0
300,5,5,3,576,144,1280,False,False,0.9912109375,0.9409269651916711,0.8109307588519342,0.8205128205128205,0
300,5,5,4,576,144,1280,False,False,0.9921875,0.9165318188755689,0.8556534679079243,0.8648648648648649,0
