rank,feature,rf_impurity_importance
1,esm2_0941,0.029810233455186262
2,esm2_0511,0.022601326675675167
3,esm2_0902,0.022318052458279593
4,esm2_0826,0.021857791619083175
5,esm2_0837,0.021786683516342352
6,esm2_0742,0.02121976760411788
7,esm2_0880,0.020281703134747187
8,esm2_0017,0.01756379563289791
9,esm2_0739,0.01738395306905998
10,esm2_0003,0.016174985519414944
11,esm2_0647,0.015803920929204712
12,esm2_0158,0.01553503466438566
13,esm2_1129,0.015332752743963339
14,esm2_0038,0.01419837759804933
15,esm2_0924,0.013889572289172829
16,esm2_0801,0.013862642408373684
17,esm2_0362,0.013738332917603598
18,esm2_0642,0.013401098351767704
19,esm2_0126,0.013330204499923361
20,esm2_1055,0.01312081883605059
21,esm2_0074,0.012896318629766833
22,esm2_0143,0.012448692251625343
23,esm2_0061,0.012357859789937335
24,esm2_1076,0.012248695195418005
25,esm2_0026,0.01224180894875008
26,esm2_0201,0.011800172337362526
27,esm2_1213,0.011185115243470368
28,esm2_0244,0.011166979952060747
29,esm2_0037,0.010762833399191542
30,esm2_0620,0.010587271316931277
31,esm2_0753,0.010539760442072606
32,esm2_1007,0.010506039543878904
33,esm2_0761,0.0093592647930304
34,esm2_0948,0.008411198537113869
35,esm2_0627,0.007979323416841126
36,esm2_1145,0.007902731189137062
37,esm2_1078,0.007808474012994311
38,esm2_0945,0.0076952147428831184
39,esm2_1034,0.007548284693134261
40,esm2_1219,0.0071858871799490845
41,esm2_0687,0.006989007863707807
42,esm2_1173,0.006985135460094886
43,esm2_0707,0.006756742636575342
44,esm2_0844,0.0064596770273992014
45,esm2_0177,0.0063768562541396566
46,esm2_0422,0.006023809809213006
47,esm2_0352,0.005932407080814508
48,esm2_0467,0.005810900029816962
49,esm2_0601,0.005684665101576103
50,esm2_1141,0.00561501334195123
51,esm2_0135,0.005447375775448483
52,esm2_0419,0.005380352505040439
53,esm2_0809,0.005142931156397685
54,esm2_0756,0.0051356994023841656
55,esm2_0240,0.004936202965136319
56,esm2_0692,0.00485226535128381
57,esm2_1192,0.004647897942756229
58,esm2_0579,0.004630368972159206
59,esm2_0785,0.004547717592286734
60,esm2_0122,0.0044927179785498724
61,esm2_0663,0.00424275109755576
62,esm2_0078,0.004239501101851868
63,esm2_0787,0.004107174175954754
64,esm2_1195,0.00407770606454157
65,esm2_0373,0.004071116141217641
66,esm2_0319,0.0040531357549022885
67,esm2_0665,0.004020563130356723
68,esm2_0608,0.003773965115988651
69,esm2_0807,0.0037725222126203713
70,esm2_0877,0.00339401488230276
71,esm2_1247,0.0033782120818930186
72,esm2_0262,0.003371509246213255
73,esm2_0237,0.003113947918637137
74,esm2_0348,0.0030544650559136033
75,esm2_0934,0.0030277460180028345
76,esm2_0400,0.0030064173321179195
