n_estimators,max_depth,learning_rate,subsample,colsample_bytree,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,selected
500,3,0.1,0.8,0.6,0.9868755551518088,0.009321250061189331,0.9116956515992893,0.07181126511580872,0.8182167844571901,0.057481651438075175,0.8367505110152169,0.052310469386301205,True
200,2,0.03,0.8,0.6,0.9867950076711887,0.009598594663090527,0.9049990376750111,0.07697999895916537,0.7803456092378728,0.052928864148613156,0.8027777777777778,0.04622100358970485,False
500,2,0.1,0.8,0.6,0.986743681363049,0.010828429640089699,0.9146909188780252,0.0741032287568586,0.8257998414973089,0.0571003837139601,0.843463034734382,0.05184727628760689,False
200,3,0.1,0.8,0.6,0.9866745397286822,0.009550159401861958,0.9106393993574347,0.0739803271001652,0.8183451063943646,0.06583771255069502,0.8368682853976971,0.06001992037957464,False
500,2,0.03,0.8,0.6,0.9865996951711885,0.010296716668099648,0.9007006254405578,0.08639676008350243,0.7908335996320333,0.08514356752422265,0.8127380952380954,0.07484583550853399,False
200,2,0.03,1.0,0.6,0.9865305535368216,0.009148356104908897,0.902045664724491,0.06462058629969161,0.8014027010976147,0.0763465350445925,0.8216280451574569,0.06806719063655663,False
500,5,0.03,0.8,0.6,0.9865020389211887,0.00962010915538267,0.8966758491864983,0.09323730525548825,0.8128556774236383,0.0977396731358883,0.8331315458734814,0.08640355826672219,False
500,3,0.1,1.0,0.9,0.9864271943636951,0.010342353769352185,0.8902980166345946,0.09785464980348854,0.8021452673281623,0.05423947963384545,0.8217505110152169,0.049264889835315614,False
500,2,0.1,1.0,0.9,0.9863124293443153,0.009516965395697605,0.8984850770846513,0.07437397357020069,0.821007918829005,0.07668266267973814,0.8401275563989037,0.06834788177049521,False
500,2,0.03,0.8,0.9,0.9863067264211887,0.009491066340086392,0.9013881317913824,0.07177687123394137,0.796571849429076,0.0861289466653609,0.8179800307219661,0.07573749620474046,False
200,2,0.03,0.8,0.9,0.986301023498062,0.009339063807224357,0.9060072092512768,0.06853223958691806,0.7853502649390551,0.06330789989639396,0.8065058479532163,0.05665888470334636,False
500,5,0.1,0.8,0.9,0.9862782118055555,0.009616744667078228,0.8937191866297903,0.09239633940027188,0.7923971658700868,0.11092149018796325,0.814810924369748,0.09762523892370233,False
200,2,0.03,1.0,0.9,0.9862147730943154,0.008236959864375806,0.9043996770435895,0.05382454575452158,0.81747269911422,0.08343527201730297,0.8362373737373737,0.07381181813558009,False
200,5,0.03,0.8,0.6,0.9862033672480621,0.009486885347324187,0.9016356116462607,0.07464981377667927,0.7958550623115247,0.08773266764561582,0.8175000000000001,0.0772040101527989,False
200,2,0.1,0.8,0.6,0.9861577438630491,0.010737257236243422,0.9062769777817119,0.08190398258674884,0.8285345298792748,0.0364433505385424,0.8449644034184132,0.03468743915834077,False
500,3,0.03,1.0,0.6,0.9861399285368216,0.009815067670134275,0.8910758512865915,0.09001134367107912,0.8028620544457136,0.05149586184939647,0.8222305417371831,0.04687896733607711,False
200,3,0.03,1.0,0.6,0.9860422722868216,0.010167135229084379,0.8981167734155553,0.08017904001465323,0.8168741792101992,0.05926303494899548,0.8353200708039419,0.05394732821797138,False
200,3,0.1,1.0,0.9,0.9860251635174417,0.010228099784242831,0.8882026628409033,0.09655133313460283,0.8021452673281623,0.05423947963384545,0.8217505110152169,0.049264889835315614,False
500,5,0.1,1.0,0.6,0.9860194605943153,0.010238093842684419,0.8912792626449118,0.0991360977411313,0.7941177672648708,0.06424760295083118,0.8150435227854583,0.056892214313284624,False
200,3,0.03,0.8,0.6,0.9860023518249355,0.0100906981361059,0.8988187235292754,0.07846881995045966,0.8128656770550006,0.07670947983096497,0.8320997998417352,0.06832473888059071,False
200,5,0.1,1.0,0.6,0.9859218043443153,0.010149027164376519,0.8908463622120113,0.09880505660467502,0.7941177672648708,0.06424760295083118,0.8150435227854583,0.056892214313284624,False
200,2,0.1,1.0,0.9,0.9858298510174418,0.009029409032459008,0.8944753204432419,0.07195237086047357,0.8012643795290779,0.09198534504361879,0.8225420168067228,0.08116199067926944,False
500,3,0.1,0.8,0.9,0.9857207889211885,0.009800874598261629,0.8899055936740602,0.09462701618896331,0.7873757031905952,0.10868566538062249,0.8100490196078433,0.09560394541589257,False
500,3,0.03,0.8,0.9,0.9856979772286822,0.010055405993321604,0.8969549454879597,0.08261823468049427,0.7908335996320333,0.08514356752422265,0.8127380952380954,0.07484583550853399,False
200,5,0.1,0.8,0.9,0.9856637596899225,0.010377340698851028,0.8916747718941991,0.09499186864595101,0.8012643795290779,0.09198534504361879,0.8225420168067228,0.08116199067926948,False
200,3,0.03,0.8,0.9,0.9856117268249355,0.009764878476812549,0.8989413357996318,0.07589704142456265,0.7908335996320333,0.08514356752422265,0.8127380952380954,0.07484583550853399,False
200,3,0.1,0.8,0.9,0.9855254764211885,0.009673010965742964,0.889546394449372,0.09444644227426148,0.8012643795290779,0.09198534504361879,0.8225420168067228,0.08116199067926948,False
500,3,0.1,1.0,0.6,0.9853301639211887,0.0095321856189819,0.8852963214714864,0.08748260063022623,0.8026646984699004,0.06731243250740997,0.8230655703141473,0.05974796299835752,False
500,5,0.03,0.8,0.9,0.9853130551518088,0.009876013619252012,0.887702419987605,0.09363177223259697,0.8070026293261208,0.09208928284093802,0.8277839522905935,0.08119765488322421,False
500,3,0.03,0.8,0.6,0.9853016493055555,0.01011208636432751,0.8860773845321059,0.09437635831226396,0.8015933121085675,0.08828223670221082,0.8227419354838709,0.07766803994057284,False
500,3,0.03,1.0,0.9,0.9851690689599483,0.010208081746817,0.8811564329811503,0.09837408277059138,0.7937006025055378,0.061536577633541534,0.8134746489462513,0.056740544658446156,False
200,3,0.1,1.0,0.6,0.9851348514211887,0.009371456567435238,0.8847400027901677,0.08669988567096742,0.8105771389319603,0.07199448191131211,0.8303236348302763,0.06416448730973878,False
200,5,0.03,0.8,0.9,0.9851234455749355,0.009986167979565811,0.8960558473322877,0.07630554843773714,0.8015933121085675,0.08828223670221082,0.8227419354838709,0.07766803994057284,False
500,5,0.1,0.8,0.6,0.9850778221899225,0.009603132770011619,0.8946535971936367,0.07533822636060974,0.7962429168495863,0.08989781161214698,0.817780112044818,0.07930152993431282,False
200,5,0.1,0.8,0.6,0.9850721192667958,0.009566099806953098,0.895718807185258,0.07374851023771134,0.8048388891349175,0.07221739185863857,0.8250816993464053,0.06437835920761414,False
500,2,0.1,1.0,0.6,0.9850721192667958,0.011848462948096194,0.8873375638454595,0.09712102482655105,0.7908335996320333,0.08514356752422265,0.8127380952380954,0.07484583550853399,False
200,5,0.03,1.0,0.6,0.9850543039405684,0.00886255291925826,0.8932761991449443,0.06524050055719455,0.7936808716465077,0.08344939469149958,0.8154838709677419,0.07312654047229793,False
500,5,0.03,1.0,0.6,0.9850486010174417,0.009620264582228338,0.8801074752197868,0.09446331911379913,0.8022768439318388,0.06444063005967075,0.8227854582693291,0.056967068710904456,False
500,2,0.03,1.0,0.6,0.9850428980943153,0.010972541318713672,0.8799563076420931,0.09818566335445097,0.7962429168495863,0.08989781161214698,0.817780112044818,0.07930152993431282,False
200,2,0.1,1.0,0.6,0.9849972747093023,0.011214829576947374,0.8890821757353524,0.09503936196284217,0.7962429168495863,0.08989781161214698,0.817780112044818,0.07930152993431282,False
200,3,0.03,1.0,0.9,0.9849737564599483,0.011304458840680098,0.8858198623298612,0.09724277802091709,0.7830880186499821,0.07476998391019112,0.8044342473831637,0.06807829023562358,False
500,2,0.03,1.0,0.9,0.9846408672480621,0.009978723498667177,0.8897950654374467,0.0672652874324188,0.809860351814409,0.07407515083982522,0.82984360410831,0.06600140571996534,False
500,5,0.1,1.0,0.9,0.9846351643249355,0.00943789593510629,0.8806547855413493,0.09304620074869942,0.804451034596856,0.06956357591137023,0.8248015873015874,0.06181757698574907,False
500,5,0.03,1.0,0.9,0.9846294614018088,0.00960088246439956,0.8772469010399802,0.09763255486727064,0.796538594134796,0.0637625920773587,0.8175435227854582,0.056337838368716225,False
500,2,0.1,0.8,0.9,0.9844633700742895,0.011933981359437896,0.8982091750192227,0.07900097324096421,0.7954024911106783,0.11327841671413771,0.8170671201031732,0.09963715838340446,False
200,2,0.1,0.8,0.9,0.9843543079780362,0.012494310048410125,0.8990736424763606,0.08062572223913826,0.787704635770085,0.1056240719197783,0.8102489382849913,0.09268988097390998,False
200,5,0.1,1.0,0.9,0.9843364926518088,0.009369401286821512,0.8781737249352887,0.0918866345686811,0.804451034596856,0.06956357591137023,0.8248015873015874,0.06181757698574907,False
200,5,0.03,1.0,0.9,0.9832337592861757,0.009704762819824218,0.8762403213335187,0.07891948446856353,0.7719059380081296,0.06750607181236974,0.7950814734495949,0.059938892067558446,False
