rank,feature,xgboost_gain_importance
1,esm2_0739,0.19475478
2,esm2_0511,0.09394038
3,esm2_0945,0.0741061
4,esm2_0837,0.07061651
5,esm2_0647,0.05468225
6,esm2_0924,0.027813759
7,esm2_1141,0.02718043
8,esm2_1129,0.026741331
9,esm2_0237,0.013303399
10,esm2_0870,0.012206822
11,esm2_0556,0.011105538
12,esm2_0368,0.010660509
13,esm2_1173,0.009853414
14,esm2_0017,0.009755082
15,esm2_0627,0.0083680395
16,esm2_0630,0.008202441
17,esm2_0126,0.008176356
18,esm2_0893,0.0079506235
19,esm2_0608,0.007678461
20,esm2_0571,0.0075948043
21,esm2_0352,0.0073757544
22,esm2_0532,0.006814871
23,esm2_1213,0.0065407455
24,esm2_1226,0.0064814854
25,esm2_1072,0.0063996497
26,esm2_0686,0.0059715644
27,esm2_0192,0.005615004
28,esm2_0280,0.0054189144
29,esm2_0474,0.004841311
30,esm2_0149,0.004756261
31,esm2_0649,0.0046039047
32,esm2_1186,0.0044114883
33,esm2_0687,0.004383547
34,esm2_0962,0.004299635
35,esm2_0055,0.004067941
36,esm2_0885,0.0040649083
37,esm2_0800,0.0040185526
38,esm2_0877,0.003954508
39,esm2_0102,0.0037939958
40,esm2_0201,0.0037026003
41,esm2_1020,0.0036108422
42,esm2_0184,0.0035815227
43,esm2_0801,0.0035712642
44,esm2_0506,0.0035194254
45,esm2_0752,0.0034354853
46,esm2_0343,0.0033534395
47,esm2_1011,0.0032679993
48,esm2_0250,0.0032068947
49,esm2_0860,0.0031235735
50,esm2_0727,0.0030048627
51,esm2_0032,0.0030041472
52,esm2_0583,0.002990602
53,esm2_0119,0.002868747
54,esm2_0023,0.0028441544
55,esm2_0160,0.0027849658
56,esm2_1240,0.0027099522
57,esm2_0731,0.0027049154
58,esm2_1278,0.0026852668
59,esm2_1046,0.0026004112
60,esm2_0348,0.002577252
61,esm2_0657,0.0025692114
62,esm2_0878,0.00255516
63,esm2_0244,0.0025072687
64,esm2_1158,0.002421376
65,esm2_0004,0.0023647905
66,esm2_0097,0.0023334546
67,esm2_0850,0.0022844241
68,esm2_0373,0.0022269005
69,esm2_0051,0.0021821838
70,esm2_0012,0.0021329378
71,esm2_0218,0.0020379298
72,esm2_0003,0.0020279696
73,esm2_0761,0.0019890007
74,esm2_0367,0.0019666015
75,esm2_1274,0.0019289531
76,esm2_0759,0.0019283537
77,esm2_0487,0.0018381887
78,esm2_0617,0.0018134787
79,esm2_1070,0.0017797662
