bootstrap_replicate,sample_size,active_count,inactive_count,classifier,traditional_AUROC,esm2_AUROC,delta_AUROC,traditional_AUPRC,esm2_AUPRC,delta_AUPRC,traditional_MCC,esm2_MCC,delta_MCC,traditional_F1,esm2_F1,delta_F1
1,181,20,161,Logistic Regression,0.9524844720496893,0.9425465838509316,-0.009937888198757738,0.6986623993052012,0.7427578849975677,0.04409548569236643,0.5859907974680277,0.6627806392478157,0.07678984177978798,0.6181818181818182,0.6938775510204082,0.07569573283858999
1,181,20,161,RBF-SVM,0.9698757763975154,0.9586956521739131,-0.011180124223602372,0.785829916507666,0.7107689641513172,-0.0750609523563488,0.6933464382031791,0.625048174604586,-0.06829826359859315,0.723404255319149,0.6666666666666666,-0.05673758865248235
1,181,20,161,Random Forest,0.9591614906832299,0.9658385093167702,0.00667701863354031,0.6235201382724603,0.7837458864552687,0.16022574818280833,0.6936071270909264,0.6627806392478157,-0.030826487843110706,0.7272727272727273,0.6938775510204082,-0.033395176252319136
1,181,20,161,XGBoost,0.9661490683229814,0.9670807453416149,0.0009316770186335033,0.6854002810055442,0.7885131192225016,0.10311283821695738,0.7098233296080733,0.6592135853135287,-0.05060974429454457,0.7391304347826086,0.6976744186046512,-0.041456016177957467
2,181,20,161,Logistic Regression,0.9739130434782609,0.9891304347826088,0.01521739130434785,0.820248463222601,0.9217650145430466,0.10151655132044557,0.6617312133772775,0.8605601571314145,0.19882894375413707,0.6666666666666666,0.8695652173913043,0.2028985507246377
2,181,20,161,RBF-SVM,0.9767080745341615,0.9816770186335404,0.004968944099378869,0.8423226736713579,0.8347328095113046,-0.007589864160053361,0.7455702438142119,0.7751557946778821,0.029585550863670207,0.7727272727272727,0.7916666666666666,0.018939393939393923
2,181,20,161,Random Forest,0.9686335403726708,0.9913043478260869,0.022670807453416097,0.7277611057682967,0.9317847608150812,0.20402365504678455,0.7317968302924157,0.8069095487838845,0.07511271849146883,0.7619047619047619,0.8163265306122449,0.054421768707483054
2,181,20,161,XGBoost,0.9866459627329193,0.9906832298136645,0.004037267080745255,0.9064288151593405,0.9325510396466278,0.026122224487287293,0.8179510473202897,0.8494964772607828,0.03154542994049314,0.8372093023255814,0.8636363636363636,0.026427061310782207
3,181,20,161,Logistic Regression,0.9555900621118012,0.9754658385093167,0.019875776397515477,0.6874023135052547,0.841981658692185,0.15457934518693028,0.6296713389725407,0.7588665789385283,0.12919523996598758,0.6440677966101694,0.7755102040816326,0.13144240747146319
3,181,20,161,RBF-SVM,0.9686335403726709,0.9822981366459627,0.013664596273291751,0.8100092440853311,0.883577603428862,0.0735683593435309,0.6595777204336262,0.7428126208262675,0.08323490039264136,0.6956521739130435,0.7659574468085106,0.07030527289546717
