classifier,metric,observed_delta,bootstrap_mean_delta,bootstrap_standard_error,ci_95_lower,ci_95_upper,fraction_greater_than_zero,fraction_less_than_zero,fraction_equal_to_zero,two_sided_bootstrap_tail_probability,ci_excludes_zero,ci_relation_to_zero,bootstrap_replicates,random_seed
Logistic Regression,AUROC,0.010869565217391353,0.010604099378881987,0.011271236568410866,-0.010869565217391353,0.03291925465838519,0.8226,0.1726,0.0048,0.3548,False,includes_zero,5000,20250354
Logistic Regression,AUPRC,0.13397716137067062,0.1244594740253548,0.07332671172733553,-0.010893433382377363,0.27651633204803333,0.9632,0.0368,0.0,0.0736,False,includes_zero,5000,20250354
Logistic Regression,MCC,0.13470619176493925,0.13442619600560246,0.0430005873309891,0.05328565194355961,0.22058224798589332,0.9988,0.0,0.0012,0.0024,True,entirely_above_zero,5000,20250354
Logistic Regression,F1,0.1364942528735632,0.13549189641672904,0.043028935239067735,0.054188948306595375,0.222912353347136,0.9988,0.0,0.0012,0.0024,True,entirely_above_zero,5000,20250354
RBF-SVM,AUROC,0.011801242236024856,0.011981118012422359,0.010449238292746665,-0.0071428571428571175,0.03416149068322971,0.8886,0.1078,0.0036,0.2228,False,includes_zero,5000,20250354
RBF-SVM,AUPRC,0.07997711013346098,0.07676379641087933,0.07952326991992424,-0.07865929792951028,0.23499412011013376,0.838,0.162,0.0,0.324,False,includes_zero,5000,20250354
RBF-SVM,MCC,0.04873330977307977,0.04955750264209413,0.06351063412595652,-0.06829919868108542,0.1789643468246288,0.7576,0.1998,0.0426,0.4848,False,includes_zero,5000,20250354
RBF-SVM,F1,0.04166666666666663,0.04255321183187785,0.05345382749427477,-0.058510638297872286,0.15201361315938744,0.763,0.1922,0.0448,0.474,False,includes_zero,5000,20250354
Random Forest,AUROC,0.022981366459627228,0.022935869565217395,0.011060175458539424,0.00403338509316762,0.046739130434782394,0.9934,0.0062,0.0004,0.0132,True,entirely_above_zero,5000,20250354
Random Forest,AUPRC,0.24882843091123175,0.2229743215468819,0.08814487735827575,0.04799441861943109,0.3879983541809391,0.9974,0.0026,0.0,0.0052,True,entirely_above_zero,5000,20250354
Random Forest,MCC,-0.017051611532020394,-0.016222445629426038,0.055861515112236304,-0.11999667713563544,0.10132316532270647,0.3644,0.635,0.0006,0.73,False,includes_zero,5000,20250354
Random Forest,F1,-0.027629233511586415,-0.025639062639005557,0.05020168522120409,-0.12045584271444429,0.07783794278810882,0.285,0.706,0.009,0.588,False,includes_zero,5000,20250354
XGBoost,AUROC,0.009937888198757627,0.009925279503105589,0.008047966705014146,-0.004347826086956497,0.02764751552795024,0.9074,0.088,0.0046,0.1852,False,includes_zero,5000,20250354
XGBoost,AUPRC,0.14973834585588375,0.12177531235413462,0.08200792080445508,-0.018043641093430724,0.28387267494517243,0.9416,0.0584,0.0,0.1168,False,includes_zero,5000,20250354
XGBoost,MCC,0.05788210853776932,0.0573737099262244,0.061589405409423884,-0.0641022695627947,0.18055580166643637,0.8152,0.1606,0.0242,0.3696,False,includes_zero,5000,20250354
XGBoost,F1,0.05460060667340749,0.053828933114113,0.05474010952940641,-0.05336936095025076,0.16161616161616155,0.8266,0.1474,0.026,0.3468,False,includes_zero,5000,20250354
