classifier,metric,observed_delta,bootstrap_mean_delta,bootstrap_standard_error,percentile_95ci_lower,percentile_95ci_upper,fraction_greater_than_zero,fraction_less_than_zero,fraction_equal_to_zero,two_sided_bootstrap_tail_probability,ci_excludes_zero,ci_relation_to_zero,bootstrap_replicates,random_seed,marker,direction
Logistic Regression,AUROC,0.0108695652173913,0.0106040993788819,0.0112712365684108,-0.0108695652173913,0.0329192546583851,0.8226,0.1726,0.0048,0.3548,False,includes_zero,5000,20250354,circle,includes_zero
RBF-SVM,AUROC,0.0118012422360248,0.0119811180124223,0.0104492382927466,-0.0071428571428571,0.0341614906832297,0.8886,0.1078,0.0036,0.2228,False,includes_zero,5000,20250354,circle,includes_zero
Random Forest,AUROC,0.0229813664596272,0.0229358695652173,0.0110601754585394,0.0040333850931676,0.0467391304347823,0.9934,0.0062,0.0004,0.0132,True,entirely_above_zero,5000,20250354,diamond,favors_ESM2
XGBoost,AUROC,0.0099378881987576,0.0099252795031055,0.0080479667050141,-0.0043478260869564,0.0276475155279502,0.9074,0.088,0.0046,0.1852,False,includes_zero,5000,20250354,circle,includes_zero
Logistic Regression,AUPRC,0.1339771613706706,0.1244594740253548,0.0733267117273355,-0.0108934333823773,0.2765163320480333,0.9632,0.0368,0.0,0.0736,False,includes_zero,5000,20250354,circle,includes_zero
RBF-SVM,AUPRC,0.0799771101334609,0.0767637964108793,0.0795232699199242,-0.0786592979295102,0.2349941201101337,0.838,0.162,0.0,0.324,False,includes_zero,5000,20250354,circle,includes_zero
Random Forest,AUPRC,0.2488284309112317,0.2229743215468819,0.0881448773582757,0.047994418619431,0.3879983541809391,0.9974,0.0026,0.0,0.0052,True,entirely_above_zero,5000,20250354,diamond,favors_ESM2
XGBoost,AUPRC,0.1497383458558837,0.1217753123541346,0.082007920804455,-0.0180436410934307,0.2838726749451724,0.9416,0.0584,0.0,0.1168,False,includes_zero,5000,20250354,circle,includes_zero
Logistic Regression,MCC,0.1347061917649392,0.1344261960056024,0.0430005873309891,0.0532856519435596,0.2205822479858933,0.9988,0.0,0.0012,0.0024,True,entirely_above_zero,5000,20250354,diamond,favors_ESM2
RBF-SVM,MCC,0.0487333097730797,0.0495575026420941,0.0635106341259565,-0.0682991986810854,0.1789643468246288,0.7576,0.1998,0.0426,0.4848,False,includes_zero,5000,20250354,circle,includes_zero
Random Forest,MCC,-0.0170516115320203,-0.016222445629426,0.0558615151122363,-0.1199966771356354,0.1013231653227064,0.3644,0.635,0.0006,0.73,False,includes_zero,5000,20250354,circle,includes_zero
XGBoost,MCC,0.0578821085377693,0.0573737099262244,0.0615894054094238,-0.0641022695627947,0.1805558016664363,0.8152,0.1606,0.0242,0.3696,False,includes_zero,5000,20250354,circle,includes_zero
Logistic Regression,F1,0.1364942528735632,0.135491896416729,0.0430289352390677,0.0541889483065953,0.222912353347136,0.9988,0.0,0.0012,0.0024,True,entirely_above_zero,5000,20250354,diamond,favors_ESM2
RBF-SVM,F1,0.0416666666666666,0.0425532118318778,0.0534538274942747,-0.0585106382978722,0.1520136131593874,0.763,0.1922,0.0448,0.474,False,includes_zero,5000,20250354,circle,includes_zero
Random Forest,F1,-0.0276292335115864,-0.0256390626390055,0.050201685221204,-0.1204558427144442,0.0778379427881088,0.285,0.706,0.009,0.588,False,includes_zero,5000,20250354,circle,includes_zero
XGBoost,F1,0.0546006066734074,0.053828933114113,0.0547401095294064,-0.0533693609502507,0.1616161616161615,0.8266,0.1474,0.026,0.3468,False,includes_zero,5000,20250354,circle,includes_zero
