classifier,transition,transition_label,n,mean_correct_class_probability_gain,sd_correct_class_probability_gain,median_correct_class_probability_gain,q1_correct_class_probability_gain,q3_correct_class_probability_gain,minimum_correct_class_probability_gain,maximum_correct_class_probability_gain,positive_gain_count,negative_gain_count,zero_gain_count
Logistic Regression,stable_correct,Stable correct,160,0.03433848480626682,0.07607422490116571,0.008797239595669082,0.0015151852640652164,0.04562026941444336,-0.2627830235917479,0.381000462565773,153,7,0
Logistic Regression,rescue,Rescue,11,0.5332008316997187,0.1698343416297396,0.5027637088903133,0.41318853246242143,0.604225341851893,0.3355908580734419,0.8817542933260054,11,0,0
Logistic Regression,regression,Regression,1,-0.2345597376014924,,-0.2345597376014924,-0.2345597376014924,-0.2345597376014924,-0.2345597376014924,-0.2345597376014924,0,1,0
Logistic Regression,persistent_error,Persistent error,9,-0.01068969510921365,0.24070868557957711,-0.032581305954657136,-0.12982431735701994,0.15126129534157762,-0.4931887007097921,0.31813674276481596,4,5,0
RBF-SVM,stable_correct,Stable correct,165,0.009790714011337548,0.054503091535006355,0.0008695580984012796,-0.0011233356156161722,0.0040522840813979055,-0.2275610353821227,0.34225154375686306,101,64,0
RBF-SVM,rescue,Rescue,4,0.46610023771332604,0.28993342857146637,0.46033822880477754,0.2786444125982631,0.6477940539198405,0.1443289592100896,0.7993955340336595,4,0,0
RBF-SVM,regression,Regression,2,-0.2992062047776023,0.08644159158978267,-0.2992062047776023,-0.32976792257244897,-0.2686444869827556,-0.36032964036729564,-0.23808276918790894,0,2,0
RBF-SVM,persistent_error,Persistent error,10,0.03669329462964442,0.15332176603280787,0.034245892738113216,-0.05816886093816648,0.10108537776888024,-0.21833827500203473,0.3316469679220253,6,4,0
Random Forest,stable_correct,Stable correct,166,0.004232079110091156,0.07667523146235385,0.0,-0.005833333333333274,0.012499999999999983,-0.3899999999999999,0.291111111111111,77,52,37
Random Forest,rescue,Rescue,2,0.6333333333333333,0.24041630560342606,0.6333333333333333,0.5483333333333333,0.7183333333333333,0.4633333333333334,0.8033333333333332,2,0,0
Random Forest,regression,Regression,5,-0.2856666666666666,0.1080483430897691,-0.23999999999999988,-0.3733333333333333,-0.23833333333333329,-0.42000000000000004,-0.15666666666666662,0,5,0
Random Forest,persistent_error,Persistent error,8,0.13958333333333334,0.21027900966278565,0.1683333333333334,0.07916666666666672,0.25583333333333336,-0.30333333333333334,0.3633333333333333,7,1,0
XGBoost,stable_correct,Stable correct,169,0.0038832736472301736,0.04183078526308126,-3.511144000001298e-05,-0.0001996224000000435,8.50874000000168e-05,-0.1999270299999999,0.27754740999999994,56,113,0
XGBoost,rescue,Rescue,5,0.5825694962,0.19476758062571847,0.50307796,0.48766131,0.713228447,0.3611470699999999,0.847732694,5,0,0
XGBoost,regression,Regression,2,-0.755725025,0.23954132460131808,-0.755725025,-0.8404156725,-0.6710343775000001,-0.92510632,-0.5863437300000001,0,2,0
XGBoost,persistent_error,Persistent error,5,0.0637663556,0.05671456255771589,0.07730969999999993,0.01505553000000004,0.101412318,-0.004142630000000036,0.12919686000000008,4,1,0
