analysis_group,metric,n,mean,sd,median,minimum,maximum,positive_margin_count,zero_margin_count,negative_margin_count
Hard cases (>=3/8 wrong),sequence_nearest_same_similarity,15,0.6770865523153853,0.22124125710171066,0.7692307692307692,0.2894736842105263,0.9230769230769231,,,
Hard cases (>=3/8 wrong),sequence_nearest_opposite_similarity,15,0.6758395773572783,0.2234782807016774,0.6956521739130435,0.368421052631579,0.9230769230769231,,,
Hard cases (>=3/8 wrong),sequence_opposite_class_proximity_margin,15,-0.0012469749581070018,0.14465386743656133,0.0,-0.4632352941176471,0.17391304347826086,7.0,3.0,5.0
Hard cases (>=3/8 wrong),esm2_nearest_same_similarity,15,0.98377093200638,0.01697748027377545,0.9933335256317595,0.9404632902206771,0.9988916761502904,,,
Hard cases (>=3/8 wrong),esm2_nearest_opposite_similarity,15,0.9848278375168039,0.011536915750520954,0.983616921220017,0.95890531497858,0.9984024551081191,,,
Hard cases (>=3/8 wrong),esm2_opposite_class_proximity_margin,15,0.001056905510423863,0.01260462188925297,-0.0018223932048011537,-0.013437103914422766,0.04315363099933989,5.0,0.0,10.0
Generally well classified,sequence_nearest_same_similarity,166,0.3970008439564706,0.14093947089871128,0.3571428571428571,0.26315789473684215,0.9411764705882353,,,
Generally well classified,sequence_nearest_opposite_similarity,166,0.31034351732997495,0.13277303274833732,0.2727272727272727,0.1428571428571429,0.9230769230769231,,,
Generally well classified,sequence_opposite_class_proximity_margin,166,-0.08665732662649571,0.08754436933227888,-0.07004830917874394,-0.4375,0.15384615384615397,12.0,8.0,146.0
Generally well classified,esm2_nearest_same_similarity,166,0.9847883779460106,0.017829782673846876,0.9890000081515695,0.7940426484434439,0.9970252267944683,,,
Generally well classified,esm2_nearest_opposite_similarity,166,0.9491218311574979,0.02565670201695674,0.9481408979460679,0.7051195593679603,0.9984024551081191,,,
Generally well classified,esm2_opposite_class_proximity_margin,166,-0.03566654678851277,0.015104771475155437,-0.039612276260862445,-0.08892308907548352,0.02072496625272402,5.0,0.0,161.0
