threshold,cluster_id,cluster_minimum_member_ID,cluster_size,member_IDs,active_count,inactive_count,class_pattern,mean_total_wrong_count,max_total_wrong_count,consensus_8_of_8_count,mean_within_cluster_similarity,minimum_within_cluster_similarity,maximum_within_cluster_similarity
0.7,1,33,7,33;40;43;47;48;55;149,0,7,Inactive-only,5.571428571428571,8,2,0.7090528519099948,0.46153846153846156,0.9230769230769231
0.7,2,56,1,56,0,1,Inactive-only,8.0,8,1,,,
0.7,3,67,1,67,0,1,Inactive-only,6.0,6,0,,,
0.7,4,68,1,68,1,0,Active-only,8.0,8,1,,,
0.7,5,91,1,91,1,0,Active-only,3.0,3,0,,,
0.7,6,142,1,142,0,1,Inactive-only,3.0,3,0,,,
0.7,7,145,1,145,0,1,Inactive-only,8.0,8,1,,,
0.7,8,388,1,388,0,1,Inactive-only,6.0,6,0,,,
0.7,9,392,1,392,0,1,Inactive-only,3.0,3,0,,,
0.8,1,33,6,33;40;43;47;48;149,0,6,Inactive-only,6.0,8,2,0.7639804639804638,0.6153846153846154,0.9230769230769231
0.8,2,55,1,55,0,1,Inactive-only,3.0,3,0,,,
0.8,3,56,1,56,0,1,Inactive-only,8.0,8,1,,,
0.8,4,67,1,67,0,1,Inactive-only,6.0,6,0,,,
0.8,5,68,1,68,1,0,Active-only,8.0,8,1,,,
0.8,6,91,1,91,1,0,Active-only,3.0,3,0,,,
0.8,7,142,1,142,0,1,Inactive-only,3.0,3,0,,,
0.8,8,145,1,145,0,1,Inactive-only,8.0,8,1,,,
0.8,9,388,1,388,0,1,Inactive-only,6.0,6,0,,,
0.8,10,392,1,392,0,1,Inactive-only,3.0,3,0,,,
0.9,1,33,1,33,0,1,Inactive-only,5.0,5,0,,,
0.9,2,40,1,40,0,1,Inactive-only,8.0,8,1,,,
0.9,3,43,2,43;47,0,2,Inactive-only,4.5,5,0,0.9230769230769231,0.9230769230769231,0.9230769230769231
0.9,4,48,1,48,0,1,Inactive-only,8.0,8,1,,,
0.9,5,55,1,55,0,1,Inactive-only,3.0,3,0,,,
0.9,6,56,1,56,0,1,Inactive-only,8.0,8,1,,,
0.9,7,67,1,67,0,1,Inactive-only,6.0,6,0,,,
0.9,8,68,1,68,1,0,Active-only,8.0,8,1,,,
0.9,9,91,1,91,1,0,Active-only,3.0,3,0,,,
0.9,10,142,1,142,0,1,Inactive-only,3.0,3,0,,,
0.9,11,145,1,145,0,1,Inactive-only,8.0,8,1,,,
0.9,12,149,1,149,0,1,Inactive-only,6.0,6,0,,,
0.9,13,388,1,388,0,1,Inactive-only,6.0,6,0,,,
0.9,14,392,1,392,0,1,Inactive-only,3.0,3,0,,,
