ID_1,ID_2,class_1,class_2,total_wrong_1,total_wrong_2,consensus_error_1,consensus_error_2,normalized_edit_similarity,same_true_class
48,40,Inactive,Inactive,8,8,True,True,0.7142857142857143,True
48,145,Inactive,Inactive,8,8,True,True,0.21052631578947367,True
48,56,Inactive,Inactive,8,8,True,True,0.5217391304347826,True
48,68,Inactive,Active,8,8,True,True,0.2941176470588235,False
48,388,Inactive,Inactive,8,6,True,False,0.2777777777777778,True
48,67,Inactive,Inactive,8,6,True,False,0.6153846153846154,True
48,149,Inactive,Inactive,8,6,True,False,0.6153846153846154,True
48,33,Inactive,Inactive,8,5,True,False,0.8461538461538461,True
48,47,Inactive,Inactive,8,5,True,False,0.6153846153846154,True
48,43,Inactive,Inactive,8,4,True,False,0.6923076923076923,True
48,392,Inactive,Inactive,8,3,True,False,0.16666666666666663,True
48,91,Inactive,Active,8,3,True,False,0.25,False
48,55,Inactive,Inactive,8,3,True,False,0.7692307692307692,True
48,142,Inactive,Inactive,8,3,True,False,0.3846153846153846,True
40,145,Inactive,Inactive,8,8,True,True,0.1578947368421053,True
40,56,Inactive,Inactive,8,8,True,True,0.4782608695652174,True
40,68,Inactive,Active,8,8,True,True,0.3529411764705882,False
40,388,Inactive,Inactive,8,6,True,False,0.2777777777777778,True
40,67,Inactive,Inactive,8,6,True,False,0.6428571428571428,True
40,149,Inactive,Inactive,8,6,True,False,0.7857142857142857,True
40,33,Inactive,Inactive,8,5,True,False,0.7142857142857143,True
40,47,Inactive,Inactive,8,5,True,False,0.7857142857142857,True
40,43,Inactive,Inactive,8,4,True,False,0.8571428571428572,True
40,392,Inactive,Inactive,8,3,True,False,0.20833333333333337,True
40,91,Inactive,Active,8,3,True,False,0.25,False
40,55,Inactive,Inactive,8,3,True,False,0.5714285714285714,True
40,142,Inactive,Inactive,8,3,True,False,0.4285714285714286,True
145,56,Inactive,Inactive,8,8,True,True,0.23684210526315785,True
145,68,Inactive,Active,8,8,True,True,0.23684210526315785,False
145,388,Inactive,Inactive,8,6,True,False,0.21052631578947367,True
145,67,Inactive,Inactive,8,6,True,False,0.1842105263157895,True
145,149,Inactive,Inactive,8,6,True,False,0.1578947368421053,True
145,33,Inactive,Inactive,8,5,True,False,0.1842105263157895,True
145,47,Inactive,Inactive,8,5,True,False,0.1842105263157895,True
145,43,Inactive,Inactive,8,4,True,False,0.1842105263157895,True
145,392,Inactive,Inactive,8,3,True,False,0.23684210526315785,True
145,91,Inactive,Active,8,3,True,False,0.21052631578947367,False
145,55,Inactive,Inactive,8,3,True,False,0.1842105263157895,True
145,142,Inactive,Inactive,8,3,True,False,0.23684210526315785,True
56,68,Inactive,Active,8,8,True,True,0.34782608695652173,False
56,388,Inactive,Inactive,8,6,True,False,0.34782608695652173,True
56,67,Inactive,Inactive,8,6,True,False,0.4347826086956522,True
56,149,Inactive,Inactive,8,6,True,False,0.4347826086956522,True
56,33,Inactive,Inactive,8,5,True,False,0.4782608695652174,True
56,47,Inactive,Inactive,8,5,True,False,0.4782608695652174,True
56,43,Inactive,Inactive,8,4,True,False,0.4782608695652174,True
56,392,Inactive,Inactive,8,3,True,False,0.29166666666666663,True
56,91,Inactive,Active,8,3,True,False,0.26086956521739135,False
56,55,Inactive,Inactive,8,3,True,False,0.5217391304347826,True
56,142,Inactive,Inactive,8,3,True,False,0.4782608695652174,True
68,388,Active,Inactive,8,6,True,False,0.2777777777777778,False
68,67,Active,Inactive,8,6,True,False,0.4117647058823529,False
68,149,Active,Inactive,8,6,True,False,0.3529411764705882,False
68,33,Active,Inactive,8,5,True,False,0.4117647058823529,False
68,47,Active,Inactive,8,5,True,False,0.47058823529411764,False
68,43,Active,Inactive,8,4,True,False,0.47058823529411764,False
68,392,Active,Inactive,8,3,True,False,0.33333333333333337,False
68,91,Active,Active,8,3,True,False,0.2941176470588235,True
68,55,Active,Inactive,8,3,True,False,0.3529411764705882,False
68,142,Active,Inactive,8,3,True,False,0.3529411764705882,False
388,67,Inactive,Inactive,6,6,False,False,0.33333333333333337,True
388,149,Inactive,Inactive,6,6,False,False,0.33333333333333337,True
388,33,Inactive,Inactive,6,5,False,False,0.33333333333333337,True
388,47,Inactive,Inactive,6,5,False,False,0.38888888888888884,True
388,43,Inactive,Inactive,6,4,False,False,0.33333333333333337,True
388,392,Inactive,Inactive,6,3,False,False,0.29166666666666663,True
388,91,Inactive,Active,6,3,False,False,0.33333333333333337,False
388,55,Inactive,Inactive,6,3,False,False,0.33333333333333337,True
388,142,Inactive,Inactive,6,3,False,False,0.2777777777777778,True
67,149,Inactive,Inactive,6,6,False,False,0.5384615384615384,True
67,33,Inactive,Inactive,6,5,False,False,0.46153846153846156,True
67,47,Inactive,Inactive,6,5,False,False,0.5384615384615384,True
67,43,Inactive,Inactive,6,4,False,False,0.6153846153846154,True
67,392,Inactive,Inactive,6,3,False,False,0.20833333333333337,True
67,91,Inactive,Active,6,3,False,False,0.25,False
67,55,Inactive,Inactive,6,3,False,False,0.6153846153846154,True
67,142,Inactive,Inactive,6,3,False,False,0.3846153846153846,True
149,33,Inactive,Inactive,6,5,False,False,0.6923076923076923,True
149,47,Inactive,Inactive,6,5,False,False,0.7692307692307692,True
149,43,Inactive,Inactive,6,4,False,False,0.8461538461538461,True
149,392,Inactive,Inactive,6,3,False,False,0.20833333333333337,True
149,91,Inactive,Active,6,3,False,False,0.1875,False
149,55,Inactive,Inactive,6,3,False,False,0.46153846153846156,True
149,142,Inactive,Inactive,6,3,False,False,0.46153846153846156,True
33,47,Inactive,Inactive,5,5,False,False,0.7692307692307692,True
33,43,Inactive,Inactive,5,4,False,False,0.8333333333333334,True
33,392,Inactive,Inactive,5,3,False,False,0.25,True
33,91,Inactive,Active,5,3,False,False,0.3125,False
33,55,Inactive,Inactive,5,3,False,False,0.6666666666666667,True
33,142,Inactive,Inactive,5,3,False,False,0.3846153846153846,True
47,43,Inactive,Inactive,5,4,False,False,0.9230769230769231,True
47,392,Inactive,Inactive,5,3,False,False,0.25,True
47,91,Inactive,Active,5,3,False,False,0.25,False
47,55,Inactive,Inactive,5,3,False,False,0.46153846153846156,True
47,142,Inactive,Inactive,5,3,False,False,0.5384615384615384,True
43,392,Inactive,Inactive,4,3,False,False,0.20833333333333337,True
43,91,Inactive,Active,4,3,False,False,0.3125,False
43,55,Inactive,Inactive,4,3,False,False,0.5,True
43,142,Inactive,Inactive,4,3,False,False,0.5384615384615384,True
392,91,Inactive,Active,3,3,False,False,0.375,False
392,55,Inactive,Inactive,3,3,False,False,0.25,True
392,142,Inactive,Inactive,3,3,False,False,0.20833333333333337,True
91,55,Active,Inactive,3,3,False,False,0.3125,False
91,142,Active,Inactive,3,3,False,False,0.25,False
55,142,Inactive,Inactive,3,3,False,False,0.46153846153846156,True
