analysis_group,metric,n,mean,sd,median,minimum,maximum,positive_count,zero_count,negative_count
All hard cases,sequence_nearest_same_similarity,15,0.7336377672745285,0.22999266379886038,0.8461538461538461,0.2894736842105263,0.9565217391304348,,,
All hard cases,sequence_nearest_opposite_similarity,15,0.7367524976506669,0.21684498453001919,0.8571428571428572,0.38888888888888884,0.9736842105263158,,,
All hard cases,sequence_opposite_class_proximity_margin,15,0.003114730376138386,0.21674985307323524,0.0,-0.375,0.6842105263157895,5.0,4.0,6.0
All hard cases,esm2_nearest_same_similarity,15,0.98879856971728,0.01023861305886213,0.9948110344977081,0.9632925814261408,0.9969114398998675,,,
All hard cases,esm2_nearest_opposite_similarity,15,0.9895803828789718,0.009237975988915905,0.9936032559094787,0.9656720055971073,0.998036273549977,,,
All hard cases,esm2_opposite_class_proximity_margin,15,0.00078181316169188,0.006939131601609679,0.0011248336501095135,-0.011156273763355151,0.020678733281426775,11.0,0.0,4.0
Consensus 8/8 failures,sequence_nearest_same_similarity,5,0.6982617866720707,0.3002314749341446,0.8461538461538461,0.2894736842105263,0.9565217391304348,,,
Consensus 8/8 failures,sequence_nearest_opposite_similarity,5,0.8071592023537104,0.19026030449293027,0.8571428571428572,0.4782608695652174,0.9736842105263158,,,
Consensus 8/8 failures,sequence_opposite_class_proximity_margin,5,0.10889741568163969,0.3246898188190922,0.007672634271099765,-0.08695652173913049,0.6842105263157895,3.0,0.0,2.0
Consensus 8/8 failures,esm2_nearest_same_similarity,5,0.985517616862227,0.014944593266505138,0.9956978055357545,0.9632925814261408,0.9960231392172423,,,
Consensus 8/8 failures,esm2_nearest_opposite_similarity,5,0.9890644716537207,0.013805559352003529,0.9971567825556462,0.9656720055971073,0.9978658838263925,,,
Consensus 8/8 failures,esm2_opposite_class_proximity_margin,5,0.00354685479149357,0.01056639541531168,0.0018427446091502375,-0.008438624879121948,0.020678733281426775,4.0,0.0,1.0
Other hard cases,sequence_nearest_same_similarity,10,0.7513257575757576,0.20292610900049315,0.8293269230769231,0.375,0.9230769230769231,,,
Other hard cases,sequence_nearest_opposite_similarity,10,0.7015491452991454,0.23005560874976097,0.7355769230769231,0.38888888888888884,0.9230769230769231,,,
Other hard cases,sequence_opposite_class_proximity_margin,10,-0.049776612276612266,0.13000352375324595,0.0,-0.375,0.07692307692307698,2.0,4.0,4.0
Other hard cases,esm2_nearest_same_similarity,10,0.9904390461448063,0.007405031354755845,0.9940901950269448,0.9757697023168497,0.9969114398998675,,,
Other hard cases,esm2_nearest_opposite_similarity,10,0.9898383384915972,0.006915302646029926,0.9921729882040746,0.9806083387262678,0.998036273549977,,,
Other hard cases,esm2_opposite_class_proximity_margin,10,-0.000600707653208965,0.00434851061325742,0.0005931882677042144,-0.011156273763355151,0.004838636409418173,7.0,0.0,3.0
