analysis_type,analysis_group,representation,k,n,mean_neighborhood_purity,median_neighborhood_purity,purity_below_0_5_count,purity_equal_0_5_count,purity_above_0_5_count,mean_balanced_margin,median_balanced_margin,opposite_favored_count,same_favored_count,tie_count
natural_top_k,Consensus 8/8 failures,esm2,3,5,0.3333333333333333,0.3333333333333333,4.0,0.0,1.0,,,,,
natural_top_k,Consensus 8/8 failures,esm2,5,5,0.36,0.4,4.0,0.0,1.0,,,,,
natural_top_k,Consensus 8/8 failures,esm2,10,5,0.33999999999999997,0.4,5.0,0.0,0.0,,,,,
natural_top_k,Consensus 8/8 failures,esm2,20,5,0.43,0.5,2.0,2.0,1.0,,,,,
natural_top_k,Consensus 8/8 failures,sequence,3,5,0.2,0.0,4.0,0.0,1.0,,,,,
natural_top_k,Consensus 8/8 failures,sequence,5,5,0.24,0.2,4.0,0.0,1.0,,,,,
natural_top_k,Consensus 8/8 failures,sequence,10,5,0.26,0.2,4.0,0.0,1.0,,,,,
natural_top_k,Consensus 8/8 failures,sequence,20,5,0.39,0.45,3.0,0.0,2.0,,,,,
balanced_top5_per_class,Consensus 8/8 failures,esm2,10,5,,,,,,0.001974543941318352,0.00162662514168177,4.0,1.0,0.0
balanced_top5_per_class,Consensus 8/8 failures,sequence,10,5,,,,,,0.07933152673144599,0.06373626373626384,4.0,1.0,0.0
natural_top_k,Other hard cases,esm2,3,10,0.6,0.6666666666666666,4.0,0.0,6.0,,,,,
natural_top_k,Other hard cases,esm2,5,10,0.5599999999999999,0.6,3.0,0.0,7.0,,,,,
natural_top_k,Other hard cases,esm2,10,10,0.59,0.7,2.0,1.0,7.0,,,,,
natural_top_k,Other hard cases,esm2,20,10,0.585,0.6,2.0,0.0,8.0,,,,,
natural_top_k,Other hard cases,sequence,3,10,0.7333333333333334,0.8333333333333333,2.0,0.0,8.0,,,,,
natural_top_k,Other hard cases,sequence,5,10,0.6599999999999999,0.7,2.0,0.0,8.0,,,,,
natural_top_k,Other hard cases,sequence,10,10,0.66,0.7,1.0,2.0,7.0,,,,,
natural_top_k,Other hard cases,sequence,20,10,0.615,0.625,2.0,0.0,8.0,,,,,
balanced_top5_per_class,Other hard cases,esm2,10,10,,,,,,-0.0009406337817912447,-0.0006737663648297976,3.0,7.0,0.0
balanced_top5_per_class,Other hard cases,sequence,10,10,,,,,,-0.07262003192885545,-0.05504482359745522,2.0,8.0,0.0
natural_top_k,All hard cases,esm2,3,15,0.5111111111111111,0.3333333333333333,8.0,0.0,7.0,,,,,
natural_top_k,All hard cases,esm2,5,15,0.4933333333333333,0.6,7.0,0.0,8.0,,,,,
natural_top_k,All hard cases,esm2,10,15,0.5066666666666666,0.5,7.0,1.0,7.0,,,,,
natural_top_k,All hard cases,esm2,20,15,0.5333333333333333,0.55,4.0,2.0,9.0,,,,,
natural_top_k,All hard cases,sequence,3,15,0.5555555555555556,0.6666666666666666,6.0,0.0,9.0,,,,,
natural_top_k,All hard cases,sequence,5,15,0.52,0.6,6.0,0.0,9.0,,,,,
natural_top_k,All hard cases,sequence,10,15,0.5266666666666666,0.6,5.0,2.0,8.0,,,,,
natural_top_k,All hard cases,sequence,20,15,0.5399999999999999,0.55,5.0,0.0,10.0,,,,,
balanced_top5_per_class,All hard cases,esm2,10,15,,,,,,3.109212591195417e-05,-0.00018844754817270992,7.0,8.0,0.0
balanced_top5_per_class,All hard cases,sequence,10,15,,,,,,-0.021969512375421642,-0.04615384615384599,6.0,9.0,0.0
