stratum_order,similarity_stratum,similarity_stratum_label,similarity_stratum_short,aggregation_scope,nearest_neighbor_class_relation,n,active,inactive,mean_total_models_wrong,median_total_models_wrong,minimum_total_models_wrong,maximum_total_models_wrong,mean_traditional_models_wrong,mean_esm2_models_wrong,mean_true_class_probability_across_8_models,median_true_class_probability_across_8_models,peptides_with_any_model_wrong,peptides_with_any_model_wrong_rate,consensus_8_of_8_error_count,models_wrong_0_count,models_wrong_1_count,models_wrong_2_count,models_wrong_3_count,models_wrong_4_count,models_wrong_5_count,models_wrong_6_count,models_wrong_7_count,models_wrong_8_count
0,low_lt_0_80,Low: <0.80,<0.80,all,all,154,4,150,0.2077922077922078,0.0,0,8,0.12337662337662338,0.08441558441558442,0.9617445836810259,0.9947651955284919,11,0.07142857142857142,1,143,6,0,2,0,0,2,0,1
0,low_lt_0_80,Low: <0.80,<0.80,nearest_neighbor_class_relation,opposite,18,3,15,0.7777777777777778,0.0,0,8,0.5,0.2777777777777778,0.8866337399076507,0.9747133981930787,5,0.2777777777777778,1,13,3,0,1,0,0,0,0,1
0,low_lt_0_80,Low: <0.80,<0.80,nearest_neighbor_class_relation,same,136,1,135,0.1323529411764706,0.0,0,6,0.07352941176470588,0.058823529411764705,0.9716857247686784,0.9953293658435253,6,0.04411764705882353,0,130,3,0,1,0,0,2,0,0
1,moderate_0_80_to_lt_0_90,Moderate: 0.80-<0.90,0.80-<0.90,all,all,10,7,3,1.9,0.5,0,8,1.1,0.8,0.7098157626912597,0.8370696078635685,5,0.5,1,5,1,1,1,0,1,0,0,1
1,moderate_0_80_to_lt_0_90,Moderate: 0.80-<0.90,0.80-<0.90,nearest_neighbor_class_relation,opposite,3,2,1,3.0,1.0,0,8,1.3333333333333333,1.6666666666666667,0.5965360364392803,0.8164951246588219,2,0.6666666666666666,1,1,1,0,0,0,0,0,0,1
1,moderate_0_80_to_lt_0_90,Moderate: 0.80-<0.90,0.80-<0.90,nearest_neighbor_class_relation,same,7,5,2,1.4285714285714286,0.0,0,5,1.0,0.42857142857142855,0.7583642167992508,0.8576440910683152,3,0.42857142857142855,0,4,0,1,1,0,1,0,0,0
2,high_0_90_to_lt_0_95,High: 0.90-<0.95,0.90-<0.95,all,all,12,6,6,2.4166666666666665,1.0,0,8,1.3333333333333333,1.0833333333333333,0.6540357351695586,0.7216525447787498,8,0.6666666666666666,1,4,3,0,1,1,1,1,0,1
2,high_0_90_to_lt_0_95,High: 0.90-<0.95,0.90-<0.95,nearest_neighbor_class_relation,opposite,4,1,3,3.75,4.0,1,6,2.0,1.75,0.5644315906384041,0.5463739561802078,4,1.0,0,0,1,0,1,0,1,1,0,0
2,high_0_90_to_lt_0_95,High: 0.90-<0.95,0.90-<0.95,nearest_neighbor_class_relation,same,8,5,3,1.75,0.5,0,8,1.0,0.75,0.698837807435136,0.7707846423044046,4,0.5,1,4,2,0,0,1,0,0,0,1
3,very_high_ge_0_95,Very high: >=0.95,>=0.95,all,all,5,3,2,3.2,0.0,0,8,1.6,1.6,0.6222459264694925,0.9003126748629295,2,0.4,2,3,0,0,0,0,0,0,0,2
3,very_high_ge_0_95,Very high: >=0.95,>=0.95,nearest_neighbor_class_relation,opposite,1,0,1,8.0,8.0,8,8,4.0,4.0,0.13637992002905613,0.13637992002905613,1,1.0,1,0,0,0,0,0,0,0,0,1
3,very_high_ge_0_95,Very high: >=0.95,>=0.95,nearest_neighbor_class_relation,same,4,3,1,2.0,0.0,0,8,1.0,1.0,0.7437124280796016,0.9155546974711031,1,0.25,1,3,0,0,0,0,0,0,0,1
