model_order,model,representation,classifier,stratum_order,similarity_stratum,similarity_stratum_label,similarity_stratum_short,n,active,inactive,correct_count,wrong_count,accuracy,error_rate,mean_true_class_probability,median_true_class_probability,mean_true_class_probability_when_correct,mean_true_class_probability_when_wrong,decision_threshold
0,Traditional Logistic Regression,Traditional,Logistic Regression,0,low_lt_0_80,Low: <0.80,<0.80,154,4,150,145,9,0.9415584415584416,0.05844155844155844,0.919989024921821,0.9901286531285715,0.9605020230730457,0.26727961026320274,0.5
0,Traditional Logistic Regression,Traditional,Logistic Regression,1,moderate_0_80_to_lt_0_90,Moderate: 0.80-<0.90,0.80-<0.90,10,7,3,7,3,0.7,0.3,0.680810052260755,0.8553399808174,0.8770149191869496,0.22299869609963383,0.5
0,Traditional Logistic Regression,Traditional,Logistic Regression,2,high_0_90_to_lt_0_95,High: 0.90-<0.95,0.90-<0.95,12,6,6,6,6,0.5,0.5,0.5466302311817194,0.5590462577591531,0.85528264609237,0.23797781627106873,0.5
0,Traditional Logistic Regression,Traditional,Logistic Regression,3,very_high_ge_0_95,Very high: >=0.95,>=0.95,5,3,2,3,2,0.6,0.4,0.5690194713254185,0.8870694667042022,0.9334161794117383,0.0224244091959388,0.5
1,Traditional RBF-SVM,Traditional,RBF-SVM,0,low_lt_0_80,Low: <0.80,<0.80,154,4,150,151,3,0.9805194805194806,0.01948051948051948,0.9676169011748769,0.9955939474202928,0.9838890532009381,0.14858524919646154,0.5
1,Traditional RBF-SVM,Traditional,RBF-SVM,1,moderate_0_80_to_lt_0_90,Moderate: 0.80-<0.90,0.80-<0.90,10,7,3,6,4,0.6,0.4,0.5499384657712583,0.7107176033658957,0.7380773170681859,0.26773018882586685,0.5
1,Traditional RBF-SVM,Traditional,RBF-SVM,2,high_0_90_to_lt_0_95,High: 0.90-<0.95,0.90-<0.95,12,6,6,7,5,0.5833333333333333,0.4166666666666667,0.529555839036956,0.5250655099473764,0.691184132003673,0.30327622888355227,0.5
1,Traditional RBF-SVM,Traditional,RBF-SVM,3,very_high_ge_0_95,Very high: >=0.95,>=0.95,5,3,2,3,2,0.6,0.4,0.5907195431139536,0.7550209177678925,0.8133730825804263,0.2567392339142445,0.5
2,Traditional Random Forest,Traditional,Random Forest,0,low_lt_0_80,Low: <0.80,<0.80,154,4,150,151,3,0.9805194805194806,0.01948051948051948,0.952398088023088,0.9933333333333334,0.9658011405445179,0.27777777777777773,0.5
2,Traditional Random Forest,Traditional,Random Forest,1,moderate_0_80_to_lt_0_90,Moderate: 0.80-<0.90,0.80-<0.90,10,7,3,8,2,0.8,0.2,0.672733597883598,0.7314722222222223,0.8059169973544974,0.1399999999999999,0.5
2,Traditional Random Forest,Traditional,Random Forest,2,high_0_90_to_lt_0_95,High: 0.90-<0.95,0.90-<0.95,12,6,6,9,3,0.75,0.25,0.6146527777777778,0.75,0.7758333333333334,0.1311111111111111,0.5
2,Traditional Random Forest,Traditional,Random Forest,3,very_high_ge_0_95,Very high: >=0.95,>=0.95,5,3,2,3,2,0.6,0.4,0.6253333333333334,0.9833333333333332,0.9944444444444445,0.07166666666666666,0.5
3,Traditional XGBoost,Traditional,XGBoost,0,low_lt_0_80,Low: <0.80,<0.80,154,4,150,150,4,0.974025974025974,0.025974025974025976,0.9763099510821306,0.9999229647700001,0.996263756897654,0.228042233,0.5
