population,similarity_stratum,same_n,opposite_n,opposite_minus_same_mean_total_models_wrong,opposite_minus_same_mean_traditional_models_wrong,opposite_minus_same_mean_esm2_models_wrong,opposite_minus_same_mean_nearest_similarity,same_minus_opposite_mean_true_class_probability,same_minus_opposite_median_true_class_probability
All,All,155,26,1.446650124069479,0.7744416873449131,0.6722084367245658,0.08570593102219076,0.16735074481870293,0.10958044397323186
All,<0.80,136,18,0.6454248366013072,0.4264705882352941,0.21895424836601307,-0.007081325709295039,0.08505198486102772,0.0206159676504466
All,0.80-<0.90,7,3,1.5714285714285714,0.33333333333333326,1.2380952380952381,0.003820480121126346,0.16182818035997049,0.04114896640949328
All,0.90-<0.95,8,4,2.0,1.0,1.0,-0.004833707958707856,0.13440621679673204,0.2244106861241968
All,>=0.95,4,1,6.0,3.0,3.0,0.01753872557648306,0.6073325080505456,0.7791747774420471
Active,All,14,6,1.3095238095238095,0.3095238095238095,1.0,-0.13686757115513637,0.11871112701904563,0.060490802446319325
Active,<0.80,1,3,1.6666666666666665,0.33333333333333326,1.3333333333333333,0.10210803689064551,0.12168650071242004,-0.09366866007167429
Active,0.80-<0.90,5,2,-0.09999999999999998,-0.6,0.5,6.844515021930953e-05,-0.01807467876435287,0.061801352357442885
Active,0.90-<0.95,5,1,0.8,-0.2,1.0,-0.004070929070928875,0.11922367667169365,0.11707335873183444
Inactive,All,141,20,1.4808510638297872,0.8797872340425532,0.601063829787234,0.0716239375809728,0.1639299971183411,0.02975992251893589
Inactive,<0.80,135,15,0.27407407407407414,0.26666666666666666,0.007407407407407404,-0.046284694004414706,0.04116472843516861,0.0037123540839477664
Inactive,0.80-<0.90,2,1,4.5,2.0,2.5,0.010989010989011061,0.4834186511181173,0.4834186511181173
Inactive,0.90-<0.95,3,3,0.3333333333333339,0.33333333333333304,0.0,-0.003968253968253954,-0.04177041737327186,0.05424120019429696
Inactive,>=0.95,1,1,0.0,0.0,0.0,0.017162471395881007,0.03534822122966008,0.03534822122966008
