population,similarity_stratum,neighbor_class_relation,n,active_n,inactive_n,mean_nearest_development_similarity,median_nearest_development_similarity,mean_total_models_wrong,median_total_models_wrong,mean_traditional_models_wrong,mean_esm2_models_wrong,mean_true_class_probability,median_true_class_probability,any_model_wrong_count,any_model_wrong_fraction,consensus_8_of_8_error_count,consensus_8_of_8_error_fraction
All,All,same,155,14,141,0.47021721225016605,0.409090909090909,0.3225806451612903,0.0,0.1870967741935484,0.13548387096774195,0.9420861952124807,0.9927796163760508,14,0.09032258064516129,2,0.012903225806451613
All,All,opposite,26,6,20,0.5559231432723568,0.4015345268542199,1.7692307692307692,0.0,0.9615384615384616,0.8076923076923077,0.7747354503937778,0.883199172402819,12,0.46153846153846156,3,0.11538461538461539
All,<0.80,same,136,1,135,0.4098330027060476,0.4,0.1323529411764706,0.0,0.07352941176470588,0.058823529411764705,0.9716857247686784,0.9953293658435253,6,0.04411764705882353,0,0.0
All,<0.80,opposite,18,3,15,0.4027516769967526,0.375,0.7777777777777778,0.0,0.5,0.2777777777777778,0.8866337399076507,0.9747133981930787,5,0.2777777777777778,1,0.05555555555555555
All,0.80-<0.90,same,7,5,2,0.8444761507842002,0.8461538461538461,1.4285714285714286,0.0,1.0,0.42857142857142855,0.7583642167992508,0.8576440910683152,3,0.42857142857142855,0,0.0
All,0.80-<0.90,opposite,3,2,1,0.8482966309053266,0.8571428571428572,3.0,1.0,1.3333333333333333,1.6666666666666667,0.5965360364392803,0.8164951246588219,2,0.6666666666666666,1,0.3333333333333333
All,0.90-<0.95,same,8,5,3,0.926308066933067,0.9258241758241759,1.75,0.5,1.0,0.75,0.698837807435136,0.7707846423044046,4,0.5,1,0.125
All,0.90-<0.95,opposite,4,1,3,0.9214743589743591,0.9230769230769232,3.75,4.0,2.0,1.75,0.564431590638404,0.5463739561802078,4,1.0,0,0.0
All,>=0.95,same,4,3,1,0.9561454849498328,0.9565217391304348,2.0,0.0,1.0,1.0,0.7437124280796017,0.9155546974711032,1,0.25,1,0.25
All,>=0.95,opposite,1,0,1,0.9736842105263158,0.9736842105263158,8.0,8.0,4.0,4.0,0.1363799200290561,0.1363799200290561,1,1.0,1,1.0
Active,All,same,14,14,0,0.8730589160421334,0.9160839160839163,0.35714285714285715,0.0,0.35714285714285715,0.0,0.8523412744111913,0.9064992554746876,3,0.21428571428571427,0,0.0
Active,All,opposite,6,6,0,0.736191344886997,0.8003952569169961,1.6666666666666667,0.5,0.6666666666666666,1.0,0.7336301473921457,0.8460084530283682,3,0.5,1,0.16666666666666666
Active,<0.80,same,1,1,0,0.5,0.5,1.0,1.0,1.0,0.0,0.7818531213262403,0.7818531213262403,1,1.0,0,0.0
Active,<0.80,opposite,3,3,0,0.6021080368906455,0.5454545454545454,2.6666666666666665,0.0,1.3333333333333333,1.3333333333333333,0.6601666206138203,0.8755217813979146,1,0.3333333333333333,1,0.3333333333333333
Active,0.80-<0.90,same,5,5,0,0.843805072636342,0.8421052631578947,0.6,0.0,0.6,0.0,0.834794711780251,0.9146707429020468,1,0.2,0,0.0
Active,0.80-<0.90,opposite,2,2,0,0.8438735177865613,0.8438735177865613,0.5,0.5,0.0,0.5,0.8528693905446039,0.8528693905446039,1,0.5,0,0.0
Active,0.90-<0.95,same,5,5,0,0.9271478521478521,0.9285714285714286,0.2,0.0,0.2,0.0,0.8347659180938987,0.8326156001540395,1,0.2,0,0.0
Active,0.90-<0.95,opposite,1,1,0,0.9230769230769232,0.9230769230769232,1.0,1.0,0.0,1.0,0.715542241422205,0.715542241422205,1,1.0,0,0.0
Active,>=0.95,same,3,3,0,0.9560200668896321,0.9565217391304348,0.0,0.0,0.0,0.0,0.9343738570198971,0.9307967200792768,0,0.0,0,0.0
Inactive,All,same,141,0,141,0.43021874520699205,0.4,0.3191489361702128,0.0,0.1702127659574468,0.14893617021276595,0.9509970384126086,0.9947902086561752,11,0.07801418439716312,2,0.014184397163120567
Inactive,All,opposite,20,0,20,0.5018426827879648,0.375,1.8,0.0,1.05,0.75,0.7870670412942675,0.9650302861372393,9,0.45,2,0.1
Inactive,<0.80,same,135,0,135,0.40916509902238873,0.4,0.1259259259259259,0.0,0.06666666666666667,0.05925925925925926,0.9730918922015854,0.9953527703509806,5,0.037037037037037035,0,0.0
Inactive,<0.80,opposite,15,0,15,0.36288040501797403,0.375,0.4,0.0,0.3333333333333333,0.06666666666666667,0.9319271637664168,0.9916404162670328,4,0.26666666666666666,0,0.0
Inactive,0.80-<0.90,same,2,0,2,0.8461538461538461,0.8461538461538461,3.5,3.5,2.0,1.5,0.5672879793467505,0.5672879793467505,2,1.0,0,0.0
Inactive,0.80-<0.90,opposite,1,0,1,0.8571428571428572,0.8571428571428572,8.0,8.0,4.0,4.0,0.0838693282286331,0.0838693282286331,1,1.0,1,1.0
Inactive,0.90-<0.95,same,3,0,3,0.9249084249084251,0.9230769230769232,4.333333333333333,4.0,2.3333333333333335,2.0,0.4722909563371985,0.5162693231014042,3,1.0,1,0.3333333333333333
Inactive,0.90-<0.95,opposite,3,0,3,0.9209401709401711,0.9230769230769232,4.666666666666667,5.0,2.6666666666666665,2.0,0.5140613737104703,0.4620281229071072,3,1.0,0,0.0
Inactive,>=0.95,same,1,0,1,0.9565217391304348,0.9565217391304348,8.0,8.0,4.0,4.0,0.1717281412587162,0.1717281412587162,1,1.0,1,1.0
Inactive,>=0.95,opposite,1,0,1,0.9736842105263158,0.9736842105263158,8.0,8.0,4.0,4.0,0.1363799200290561,0.1363799200290561,1,1.0,1,1.0
