model,representation,classifier,bin,lower_bound,upper_bound,interval,n,mean_predicted_probability,observed_active_fraction,absolute_calibration_gap
Traditional Logistic Regression,Traditional,Logistic Regression,1,0.0,0.1,"[0.0,0.1)",128,0.017543658772278814,0.0,0.017543658772278814
Traditional Logistic Regression,Traditional,Logistic Regression,2,0.1,0.2,"[0.1,0.2)",6,0.13366688397400858,0.0,0.13366688397400858
Traditional Logistic Regression,Traditional,Logistic Regression,3,0.2,0.30000000000000004,"[0.2,0.3)",4,0.2543622589975306,0.0,0.2543622589975306
Traditional Logistic Regression,Traditional,Logistic Regression,4,0.30000000000000004,0.4,"[0.3,0.4)",2,0.3837765555413467,0.0,0.3837765555413467
Traditional Logistic Regression,Traditional,Logistic Regression,5,0.4,0.5,"[0.4,0.5)",3,0.4448987500244406,0.3333333333333333,0.11156541669110731
Traditional Logistic Regression,Traditional,Logistic Regression,6,0.5,0.6000000000000001,"[0.5,0.6)",2,0.553526402966839,0.0,0.553526402966839
Traditional Logistic Regression,Traditional,Logistic Regression,7,0.6000000000000001,0.7000000000000001,"[0.6,0.7)",6,0.6707681667590419,0.16666666666666666,0.5041015000923753
Traditional Logistic Regression,Traditional,Logistic Regression,8,0.7000000000000001,0.8,"[0.7,0.8)",2,0.7793612181173639,0.5,0.2793612181173639
Traditional Logistic Regression,Traditional,Logistic Regression,9,0.8,0.9,"[0.8,0.9)",15,0.8529128300656007,0.4666666666666667,0.38624616339893403
Traditional Logistic Regression,Traditional,Logistic Regression,10,0.9,1.0,"[0.9,1.0]",13,0.9599865560106835,0.7692307692307693,0.19075578677991423
Traditional RBF-SVM,Traditional,RBF-SVM,1,0.0,0.1,"[0.0,0.1)",147,0.008351106126238015,0.013605442176870748,0.0052543360506327325
Traditional RBF-SVM,Traditional,RBF-SVM,2,0.1,0.2,"[0.1,0.2)",3,0.15125791570210842,0.3333333333333333,0.1820754176312249
Traditional RBF-SVM,Traditional,RBF-SVM,4,0.30000000000000004,0.4,"[0.3,0.4)",1,0.3444338706714126,0.0,0.3444338706714126
Traditional RBF-SVM,Traditional,RBF-SVM,5,0.4,0.5,"[0.4,0.5)",2,0.4629885234694826,0.0,0.4629885234694826
Traditional RBF-SVM,Traditional,RBF-SVM,6,0.5,0.6000000000000001,"[0.5,0.6)",2,0.5451348989462581,0.5,0.045134898946258106
Traditional RBF-SVM,Traditional,RBF-SVM,7,0.6000000000000001,0.7000000000000001,"[0.6,0.7)",7,0.6656241224376374,0.2857142857142857,0.37990983672335166
Traditional RBF-SVM,Traditional,RBF-SVM,8,0.7000000000000001,0.8,"[0.7,0.8)",13,0.7502234063134524,0.7692307692307693,0.01900736291731686
Traditional RBF-SVM,Traditional,RBF-SVM,9,0.8,0.9,"[0.8,0.9)",4,0.8412744872333,0.5,0.3412744872333
Traditional RBF-SVM,Traditional,RBF-SVM,10,0.9,1.0,"[0.9,1.0]",2,0.905869685844148,1.0,0.09413031415585205
Traditional Random Forest,Traditional,Random Forest,1,0.0,0.1,"[0.0,0.1)",134,0.014228855721393013,0.0,0.014228855721393013
Traditional Random Forest,Traditional,Random Forest,2,0.1,0.2,"[0.1,0.2)",13,0.14996794871794866,0.07692307692307693,0.07304487179487174
Traditional Random Forest,Traditional,Random Forest,3,0.2,0.30000000000000004,"[0.2,0.3)",6,0.2472222222222222,0.3333333333333333,0.08611111111111111
Traditional Random Forest,Traditional,Random Forest,4,0.30000000000000004,0.4,"[0.3,0.4)",3,0.3238888888888889,0.0,0.3238888888888889
Traditional Random Forest,Traditional,Random Forest,5,0.4,0.5,"[0.4,0.5)",1,0.4533333333333333,0.0,0.4533333333333333
Traditional Random Forest,Traditional,Random Forest,6,0.5,0.6000000000000001,"[0.5,0.6)",2,0.5566666666666666,0.5,0.05666666666666664
Traditional Random Forest,Traditional,Random Forest,7,0.6000000000000001,0.7000000000000001,"[0.6,0.7)",3,0.6381481481481482,1.0,0.36185185185185176
Traditional Random Forest,Traditional,Random Forest,8,0.7000000000000001,0.8,"[0.7,0.8)",2,0.7614722222222223,0.5,0.26147222222222233
Traditional Random Forest,Traditional,Random Forest,9,0.8,0.9,"[0.8,0.9)",6,0.8670833333333333,0.6666666666666666,0.2004166666666667
Traditional Random Forest,Traditional,Random Forest,10,0.9,1.0,"[0.9,1.0]",11,0.9645911495911496,0.7272727272727273,0.23731842231842226
Traditional XGBoost,Traditional,XGBoost,1,0.0,0.1,"[0.0,0.1)",149,0.0015158651097442954,0.006711409395973154,0.005195544286228859
Traditional XGBoost,Traditional,XGBoost,2,0.1,0.2,"[0.1,0.2)",3,0.131326362,0.3333333333333333,0.2020069713333333
Traditional XGBoost,Traditional,XGBoost,4,0.30000000000000004,0.4,"[0.3,0.4)",3,0.35783312,0.0,0.35783312
Traditional XGBoost,Traditional,XGBoost,7,0.6000000000000001,0.7000000000000001,"[0.6,0.7)",1,0.6320686,0.0,0.6320686
Traditional XGBoost,Traditional,XGBoost,8,0.7000000000000001,0.8,"[0.7,0.8)",4,0.7405991,0.25,0.49059909999999995
Traditional XGBoost,Traditional,XGBoost,9,0.8,0.9,"[0.8,0.9)",2,0.822330015,1.0,0.17766998499999997
Traditional XGBoost,Traditional,XGBoost,10,0.9,1.0,"[0.9,1.0]",19,0.9841979978947366,0.7894736842105263,0.19472431368421028
ESM-2 Logistic Regression,ESM-2,Logistic Regression,1,0.0,0.1,"[0.0,0.1)",147,0.0031359411517626603,0.006802721088435374,0.0036667799366727136
ESM-2 Logistic Regression,ESM-2,Logistic Regression,2,0.1,0.2,"[0.1,0.2)",2,0.15672542,0.0,0.15672542
ESM-2 Logistic Regression,ESM-2,Logistic Regression,4,0.30000000000000004,0.4,"[0.3,0.4)",2,0.33624619,0.0,0.33624619
ESM-2 Logistic Regression,ESM-2,Logistic Regression,5,0.4,0.5,"[0.4,0.5)",2,0.43766887,0.0,0.43766887
ESM-2 Logistic Regression,ESM-2,Logistic Regression,6,0.5,0.6000000000000001,"[0.5,0.6)",2,0.522029765,0.5,0.02202976499999998
ESM-2 Logistic Regression,ESM-2,Logistic Regression,7,0.6000000000000001,0.7000000000000001,"[0.6,0.7)",2,0.66611688,0.0,0.66611688
ESM-2 Logistic Regression,ESM-2,Logistic Regression,8,0.7000000000000001,0.8,"[0.7,0.8)",1,0.7093795,1.0,0.29062049999999995
ESM-2 Logistic Regression,ESM-2,Logistic Regression,9,0.8,0.9,"[0.8,0.9)",7,0.8611572214285715,0.5714285714285714,0.28972865000000014
