classifier,traditional_model,esm2_model,metric,traditional_point,esm2_point,observed_delta_esm2_minus_traditional,bootstrap_mean_delta,bootstrap_se_delta,ci_2_5,ci_97_5,ci_excludes_zero,interval_direction,bootstrap_replicates,descriptive_two_sided_tail_probability,lower_metric_is_better
Logistic Regression,Traditional Logistic Regression,ESM-2 Logistic Regression,Brier,0.0762521798615456,0.0446898664435327,-0.031562313418012904,-0.0313942342362792,0.01110011511546857,-0.05427681187479004,-0.010608228071443657,True,favors_ESM2,2000,0.003,True
Logistic Regression,Traditional Logistic Regression,ESM-2 Logistic Regression,Log loss,0.2439450726120045,0.1546289963981976,-0.08931607621380688,-0.08785043138221746,0.04453467939788248,-0.1722351373668995,0.0017718414321635566,False,includes_zero,2000,0.056,True
Logistic Regression,Traditional Logistic Regression,ESM-2 Logistic Regression,ECE,0.1001723201419195,0.0480982822690104,-0.052074037872909096,-0.04992051701430905,0.01332334734464022,-0.07660268420946635,-0.024241800941377446,True,favors_ESM2,2000,0.0,True
RBF-SVM,Traditional RBF-SVM,ESM-2 RBF-SVM,Brier,0.0535816073440344,0.039616161620825,-0.013965445723209402,-0.014084427428657452,0.007794996593220154,-0.029900175261168466,0.0005609575089659201,False,includes_zero,2000,0.058,True
RBF-SVM,Traditional RBF-SVM,ESM-2 RBF-SVM,Log loss,0.1610918737950306,0.1232076469760476,-0.037884226818983,-0.038167103635448,0.021603068105302832,-0.08352139207265222,0.001569879475742537,False,includes_zero,2000,0.062,True
RBF-SVM,Traditional RBF-SVM,ESM-2 RBF-SVM,ECE,0.0394426382324478,0.0417586218653582,0.0023159836329103983,-0.0007370386887530948,0.012506398540150338,-0.026911598407217248,0.02170320428040277,False,includes_zero,2000,0.993,True
Random Forest,Traditional Random Forest,ESM-2 Random Forest,Brier,0.0498110851548955,0.0405206261510128,-0.0092904590038827,-0.009262890360959525,0.00838193869296865,-0.026825242676103877,0.006402105586666981,False,includes_zero,2000,0.259,True
Random Forest,Traditional Random Forest,ESM-2 Random Forest,Log loss,0.3492451729720427,0.1272262633844491,-0.22201890958759363,-0.21826375737124562,0.1852437906543582,-0.6268056007607197,-0.0008570024352633552,True,favors_ESM2,2000,0.042,True
Random Forest,Traditional Random Forest,ESM-2 Random Forest,ECE,0.0570870311906223,0.0567403314917126,-0.00034669969890969987,-0.0010177923609284122,0.012033719685233755,-0.02466398096992019,0.023218286854336655,False,includes_zero,2000,0.932,True
XGBoost,Traditional XGBoost,ESM-2 XGBoost,Brier,0.0457185782869469,0.0353440082689283,-0.0103745700180186,-0.010646392068471984,0.009496943932600027,-0.02976510673203301,0.00787477421034211,False,includes_zero,2000,0.262,True
XGBoost,Traditional XGBoost,ESM-2 XGBoost,Log loss,0.1969806410424981,0.1258494837804592,-0.07113115726203889,-0.07138403785774476,0.04060286875613926,-0.15556023933553978,0.0015837628480884474,False,includes_zero,2000,0.057,True
XGBoost,Traditional XGBoost,ESM-2 XGBoost,ECE,0.0502940513958458,0.0379262828399447,-0.012367768555901097,-0.012301738763272023,0.009725248996776698,-0.03162478393065502,0.006271166158813875,False,includes_zero,2000,0.204,True
