model,representation,classifier,threshold,n,active,inactive,prevalence,TN,FP,FN,TP,predicted_positive_count,sensitivity,specificity,precision,net_benefit,standardized_net_benefit,treat_all_net_benefit,treat_none_net_benefit,beats_treat_all,beats_treat_none,beats_both
Traditional Logistic Regression,Traditional,Logistic Regression,0.05,181,20,161,0.11049723756906077,112,49,0,20,69,1.0,0.6956521739130435,0.2898550724637681,0.09624890956673451,0.8710526315789474,0.0636813027042745,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.06,181,20,161,0.11049723756906077,117,44,0,20,64,1.0,0.7267080745341615,0.3125,0.09498060420829904,0.8595744680851064,0.05372046549900082,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.07,181,20,161,0.11049723756906077,119,42,0,20,62,1.0,0.7391304347826086,0.3225806451612903,0.09303154517911245,0.8419354838709677,0.04354541674092553,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.08,181,20,161,0.11049723756906077,124,37,0,20,57,1.0,0.7701863354037267,0.3508771929824561,0.09272159500360316,0.8391304347826086,0.03314917127071823,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.09,181,20,161,0.11049723756906077,128,33,0,20,53,1.0,0.7950310559006211,0.37735849056603776,0.09246554550421954,0.8368131868131868,0.022524436889077765,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.1,181,20,161,0.11049723756906077,128,33,0,20,53,1.0,0.7950310559006211,0.37735849056603776,0.09023941068139962,0.8166666666666667,0.011663597298956399,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.11,181,20,161,0.11049723756906077,130,31,0,20,51,1.0,0.8074534161490683,0.39215686274509803,0.0893289465516171,0.8084269662921348,0.0005586938978210804,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.12,181,20,161,0.11049723756906077,131,30,0,20,50,1.0,0.8136645962732919,0.4,0.08789552988448016,0.7954545454545454,-0.010798593671521847,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.13,181,20,161,0.11049723756906077,131,30,0,20,50,1.0,0.8136645962732919,0.4,0.08573061535530577,0.7758620689655172,-0.022416968311424423,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.14,181,20,161,0.11049723756906077,132,29,0,20,49,1.0,0.8198757763975155,0.40816326530612246,0.08441475009636386,0.763953488372093,-0.03430553771039446,0.0,True,True,True
