canonical_component,canonical_dimension,canonical_correlation,squared_canonical_correlation,development_rows,traditional_pc_count,esm2_pc_count
1,CC1,0.9947350683302174,0.9894978561659223,720,18,52
2,CC2,0.9903148405991861,0.9807234835109913,720,18,52
3,CC3,0.9886307061632441,0.9773906731688348,720,18,52
4,CC4,0.9870236695786387,0.9742157243084818,720,18,52
5,CC5,0.9855734345308568,0.9713549948529491,720,18,52
6,CC6,0.9846655724189076,0.969566289507055,720,18,52
7,CC7,0.9802307145492535,0.96085225374574,720,18,52
8,CC8,0.9786080228329076,0.9576736623529326,720,18,52
9,CC9,0.9775917949343053,0.9556857175228768,720,18,52
10,CC10,0.974234231498775,0.9491323378240086,720,18,52
11,CC11,0.9704637112606845,0.9417998148738613,720,18,52
12,CC12,0.9639341352721188,0.9291690171428074,720,18,52
13,CC13,0.960563626171299,0.9226824799233551,720,18,52
14,CC14,0.9545480145737681,0.9111619121267227,720,18,52
15,CC15,0.9472588390376735,0.897299308135001,720,18,52
16,CC16,0.9253426139913061,0.8562589532682634,720,18,52
17,CC17,0.9185848968943499,0.8437982128024033,720,18,52
18,CC18,0.6923612533704727,0.4793641051687319,720,18,52
