traditional_descriptor,strongest_esm2_pc,strongest_esm2_pc_number,signed_spearman_rho,strongest_absolute_spearman_rho,descriptive_unadjusted_p_value_at_strongest_pc,development_rows,selected_for_modeling
AAC_A,ESM2_PC03,3,0.6076968025668805,0.6076968025668805,6.707304800088939e-74,720,False
AAC_C,ESM2_PC11,11,-0.06450494288062959,0.06450494288062959,0.08369398781493427,720,False
AAC_D,ESM2_PC19,19,-0.5008790353613499,0.5008790353613499,5.447542082813538e-47,720,False
AAC_E,ESM2_PC02,2,-0.5606858594478378,0.5606858594478378,7.590225007504041e-61,720,False
AAC_F,ESM2_PC17,17,0.40924038447436634,0.40924038447436634,1.909503026837226e-30,720,False
AAC_G,ESM2_PC21,21,-0.36067505015769175,0.36067505015769175,1.5295971659525887e-23,720,False
AAC_H,ESM2_PC18,18,0.381690500698965,0.381690500698965,2.1824241229423997e-26,720,False
AAC_I,ESM2_PC04,4,0.42355026244538735,0.42355026244538735,1.0430405412800562e-32,720,False
AAC_K,ESM2_PC01,1,-0.5844759710720193,0.5844759710720193,3.473533760633671e-67,720,False
AAC_L,ESM2_PC07,7,0.5979557008397711,0.5979557008397711,5.129246773639658e-71,720,False
AAC_M,ESM2_PC13,13,0.41638304798752995,0.41638304798752995,1.4628427962753047e-31,720,False
AAC_N,ESM2_PC29,29,-0.4139354668409783,0.4139354668409783,3.5527061152660867e-31,720,False
AAC_P,ESM2_PC30,30,-0.4109015696359762,0.4109015696359762,1.0564123059467954e-30,720,False
AAC_Q,ESM2_PC08,8,-0.41673080462081363,0.41673080462081363,1.2888019963039742e-31,720,False
AAC_R,ESM2_PC09,9,0.4530479834980205,0.4530479834980205,9.94384578584007e-38,720,False
AAC_S,ESM2_PC14,14,0.48914088386576804,0.48914088386576804,1.4010545737809424e-44,720,False
AAC_T,ESM2_PC23,23,-0.42279261663857937,0.42279261663857937,1.383089466166126e-32,720,False
AAC_V,ESM2_PC08,8,0.41710401569110467,0.41710401569110467,1.124802646566088e-31,720,False
AAC_W,ESM2_PC13,13,0.3192215679689793,0.3192215679689793,1.6129437106625241e-18,720,False
AAC_Y,ESM2_PC22,22,0.32106398723186963,0.32106398723186963,1.0005875812516914e-18,720,False
aliphatic_index,ESM2_PC07,7,0.402461272161062,0.402461272161062,2.0662155603818883e-29,720,False
aromaticity,ESM2_PC10,10,0.5111033324136296,0.5111033324136296,3.622961454295022e-49,720,False
boman_index,ESM2_PC02,2,-0.4840079369694606,0.4840079369694606,1.4837929776079997e-43,720,False
charge_density,ESM2_PC09,9,0.43498604874333824,0.43498604874333824,1.3497803869857143e-34,720,False
hydrophobic_moment,ESM2_PC01,1,-0.3092039786599382,0.3092039786599382,2.0425193644593536e-17,720,False
hydrophobic_ratio,ESM2_PC05,5,0.35502599533282925,0.35502599533282925,8.207896051352755e-23,720,False
instability_index,ESM2_PC01,1,0.3716792490551955,0.3716792490551955,5.256164818038144e-25,720,False
isoelectric_point,ESM2_PC09,9,0.46564579267422934,0.46564579267422934,4.996130283435772e-40,720,False
length,ESM2_PC03,3,-0.4606962944050114,0.4606962944050114,4.1049446351825873e-39,720,False
mean_eisenberg_hydrophobicity,ESM2_PC02,2,0.42533246242515327,0.42533246242515327,5.355482999303316e-33,720,False
molecular_weight,ESM2_PC03,3,-0.5931131263957975,0.5931131263957975,1.279589596808219e-69,720,False
net_charge_pH7_4,ESM2_PC09,9,0.4304144822560972,0.4304144822560972,7.82900639738156e-34,720,False
