fold,canonical_component,canonical_dimension,training_correlation,validation_correlation,absolute_validation_correlation,train_minus_validation_correlation,train_n,validation_n
1,1,CC1,0.9945634451489659,0.9916420218464754,0.9916420218464754,0.0029214233024904557,576,144
1,2,CC2,0.9901154875375902,0.983055724653182,0.983055724653182,0.007059762884408127,576,144
1,3,CC3,0.9892264222522694,0.9851177568265408,0.9851177568265408,0.00410866542572863,576,144
1,4,CC4,0.9872233985794191,0.9785869550670768,0.9785869550670768,0.008636443512342273,576,144
1,5,CC5,0.9853639286525597,0.9773380243098381,0.9773380243098381,0.008025904342721657,576,144
1,6,CC6,0.9839279600931259,0.9550368781708277,0.9550368781708277,0.028891081922298167,576,144
1,7,CC7,0.9815073258932691,0.9694575079832451,0.9694575079832451,0.012049817910023908,576,144
1,8,CC8,0.979205217478203,0.9690464373511097,0.9690464373511097,0.010158780127093259,576,144
1,9,CC9,0.976938115412254,0.9646300118377734,0.9646300118377734,0.012308103574480533,576,144
1,10,CC10,0.9728938207418284,0.9607541381756545,0.9607541381756545,0.012139682566173926,576,144
2,1,CC1,0.9946617610655394,0.9952016884266554,0.9952016884266554,-0.0005399273611159661,576,144
2,2,CC2,0.9913095004728077,0.9776504950850853,0.9776504950850853,0.013659005387722467,576,144
2,3,CC3,0.9898319253160169,0.9751361433699351,0.9751361433699351,0.014695781946081787,576,144
2,4,CC4,0.9891735285556004,0.9839589150690288,0.9839589150690288,0.005214613486571595,576,144
2,5,CC5,0.9859159552733489,0.9730696564529981,0.9730696564529981,0.01284629882035071,576,144
2,6,CC6,0.9854433786295649,0.9790061335364632,0.9790061335364632,0.006437245093101729,576,144
2,7,CC7,0.9810725779850453,0.9608982972223529,0.9608982972223529,0.020174280762692454,576,144
2,8,CC8,0.9800824641395194,0.9686559215066562,0.9686559215066562,0.011426542632863135,576,144
2,9,CC9,0.9785457994224538,0.9661159284050207,0.9661159284050207,0.012429871017433092,576,144
2,10,CC10,0.9773033044395474,0.9709917586168556,0.9709917586168556,0.0063115458226917776,576,144
3,1,CC1,0.9951418692738051,0.9892330685677713,0.9892330685677713,0.005908800706033834,576,144
3,2,CC2,0.9903755850645495,0.9854779290602346,0.9854779290602346,0.00489765600431491,576,144
3,3,CC3,0.9888792422042221,0.9820373938772361,0.9820373938772361,0.0068418483269859776,576,144
3,4,CC4,0.9871335177228212,0.9750861113594216,0.9750861113594216,0.012047406363399626,576,144
3,5,CC5,0.9859264301976169,0.9806058175850472,0.9806058175850472,0.005320612612569775,576,144
3,6,CC6,0.9854798649650099,0.9808944645484592,0.9808944645484592,0.004585400416550756,576,144
3,7,CC7,0.980559955254268,0.9849654883081264,0.9849654883081264,-0.004405533053858379,576,144
3,8,CC8,0.9771616345174031,0.9723021689422116,0.9723021689422116,0.004859465575191568,576,144
3,9,CC9,0.9742820146647098,0.9718317356384566,0.9718317356384566,0.002450279026253166,576,144
3,10,CC10,0.9705076590087828,0.9671225370825748,0.9671225370825748,0.00338512192620799,576,144
4,1,CC1,0.9944807236540835,0.9920799219379716,0.9920799219379716,0.0024008017161119,576,144
4,2,CC2,0.9911801870334331,0.9825780557044235,0.9825780557044235,0.008602131329009666,576,144
4,3,CC3,0.9897327127479577,0.9814855945708763,0.9814855945708763,0.008247118177081458,576,144
4,4,CC4,0.9878443007660173,0.981394016953673,0.981394016953673,0.0064502838123442485,576,144
4,5,CC5,0.9862251160881967,0.9746811652331616,0.9746811652331616,0.011543950855035123,576,144
4,6,CC6,0.9845164090203101,0.9804054118117088,0.9804054118117088,0.004110997208601308,576,144
4,7,CC7,0.9805765263363951,0.9713636455944795,0.9713636455944795,0.009212880741915619,576,144
4,8,CC8,0.9792780532409359,0.9719304311133792,0.9719304311133792,0.0073476221275566855,576,144
4,9,CC9,0.9771630964293175,0.9667369550774085,0.9667369550774085,0.010426141351909002,576,144
4,10,CC10,0.9748841691502167,0.9606475601924117,0.9606475601924117,0.014236608957804986,576,144
5,1,CC1,0.994686822083432,0.9917820377405713,0.9917820377405713,0.002904784342860678,576,144
5,2,CC2,0.989932176492488,0.9871904430285415,0.9871904430285415,0.0027417334639464608,576,144
5,3,CC3,0.9880104905819536,0.9782415615953785,0.9782415615953785,0.00976892898657511,576,144
5,4,CC4,0.9856864531632847,0.9782552086913843,0.9782552086913843,0.007431244471900467,576,144
5,5,CC5,0.9855785224823622,0.984298706752137,0.984298706752137,0.0012798157302251756,576,144
5,6,CC6,0.9831733100103692,0.9812096439846004,0.9812096439846004,0.0019636660257688066,576,144
5,7,CC7,0.98167056395186,0.9724419822099204,0.9724419822099204,0.009228581741939634,576,144
5,8,CC8,0.9782647169771186,0.9733876555517829,0.9733876555517829,0.004877061425335727,576,144
5,9,CC9,0.9754344267163306,0.9589273911369888,0.9589273911369888,0.016507035579341856,576,144
5,10,CC10,0.9743256757746277,0.9647940145238281,0.9647940145238281,0.009531661250799628,576,144
