canonical_component,canonical_dimension,folds,mean_training_correlation,sd_training_correlation,mean_validation_correlation,sd_validation_correlation,mean_absolute_validation_correlation,sd_absolute_validation_correlation,mean_train_minus_validation_correlation
1,CC1,5,0.994706924245165,0.0002565998568251476,0.991987747703889,0.002126500126930364,0.991987747703889,0.002126500126930364,0.0027191765412761804
2,CC2,5,0.9905825873201737,0.0006264172998596803,0.9831905295062933,0.0036165170675459117,0.9831905295062933,0.0036165170675459117,0.0073920578138803265
3,CC3,5,0.9891361586204839,0.0007384528120935977,0.9804036900479934,0.0038237343867628306,0.9804036900479934,0.0038237343867628306,0.008732468572490593
4,CC4,5,0.9874122397574286,0.0012629827074551049,0.9794562414281168,0.003366200348074794,0.9794562414281168,0.003366200348074794,0.007955998329311643
5,CC5,5,0.9858019905388169,0.0003351658575929604,0.9779986740666364,0.004533904133328849,0.9779986740666364,0.004533904133328849,0.0078033164721804885
6,CC6,5,0.984508184543676,0.0009921402237320549,0.975310506410412,0.011364595631901104,0.975310506410412,0.011364595631901104,0.009197678133264154
7,CC7,5,0.9810773898841674,0.0005136454250220913,0.9718253842636247,0.008635157775237875,0.9718253842636247,0.008635157775237875,0.009252005620542647
8,CC8,5,0.9787984172706359,0.00111895120748769,0.9710645228930279,0.0020947875806532302,0.9710645228930279,0.0020947875806532302,0.007733894377608075
9,CC9,5,0.9764726905290132,0.0016483411055015708,0.9656484044191297,0.004632662548939888,0.9656484044191297,0.004632662548939888,0.01082428610988353
10,CC10,5,0.9739829258230006,0.002510889311043591,0.964862001718265,0.004396721002271674,0.964862001718265,0.004396721002271674,0.009120924104735662
