selection_rank,model,pca_components,fusion_dimensions,C,gamma,folds,cv_fit_warnings,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,mean_cv_Accuracy,sd_cv_Accuracy,mean_cv_Precision,sd_cv_Precision,mean_cv_Recall,sd_cv_Recall,mean_cv_Specificity,sd_cv_Specificity
1,Fusion Logistic Regression,24,56,1.0,not_applicable,5,0,0.989552194363695,0.010582243314096193,0.9245987804872285,0.07566597842619525,0.803923023341697,0.06629795269695649,0.8178496013790131,0.06021244691972865,0.9527777777777777,0.015835769793043575,0.7139588100686499,0.07381414698530575,0.9608333333333334,0.05919013619026586,0.9516351744186047,0.015037964304661455
2,Fusion Logistic Regression,24,56,0.1,not_applicable,5,0,0.9877259467861756,0.010703128445430959,0.908496290929896,0.08076811895642194,0.7552921490637913,0.06387007668209958,0.7677022894511027,0.0607392097471469,0.9347222222222223,0.01876285567514763,0.6351034987556727,0.07218254124402397,0.9741666666666667,0.035404409643746665,0.9298207364341085,0.018181792290764564
3,Fusion Logistic Regression,24,56,10.0,not_applicable,5,0,0.986301023498062,0.012052926483084444,0.9074331503465773,0.07083465899392592,0.8074965577003532,0.09333361110495592,0.8253906312729843,0.08250455425188474,0.9569444444444445,0.02048316833854533,0.7474603174603175,0.08866610403381409,0.9233333333333335,0.08284230333725771,0.9609980620155039,0.014616476513291754
4,Fusion Logistic Regression,99,131,0.01,not_applicable,5,0,0.9860943051518088,0.008866165682959714,0.8852605107132003,0.07817247437805018,0.7526559464988131,0.05277757683959863,0.762830301918877,0.05094566134795185,0.9319444444444445,0.017291527219428827,0.6231248751248752,0.06417440839042297,0.9875,0.02795084971874737,0.9251211240310078,0.01796144208540032
5,Fusion Logistic Regression,52,84,0.1,not_applicable,5,0,0.9854627442667958,0.011791425769470964,0.8820501826771052,0.09514985643390823,0.788373912808688,0.06123165272940735,0.8007175511826675,0.05902252404547743,0.9458333333333332,0.019270051285432757,0.6826489533011273,0.08011704040017159,0.9741666666666667,0.035404409643746665,0.9422601744186047,0.021155855917790675
6,Fusion Logistic Regression,52,84,0.01,not_applicable,5,0,0.9836992288436693,0.010432735045186593,0.8717660119378386,0.08589793751530614,0.7324479934904652,0.06775418306177222,0.7393361840118265,0.07014899291941744,0.9208333333333334,0.026715811196765783,0.590498262912056,0.09067452431979178,1.0,0.0,0.9111070736434108,0.029914092448597544
7,Fusion Logistic Regression,52,84,1.0,not_applicable,5,0,0.9836479025355297,0.01352027791854098,0.8732410708132081,0.09758593437270453,0.8273721224046039,0.06896110247779202,0.839443367090426,0.06453288317580996,0.9583333333333334,0.01901814435781825,0.7399199084668193,0.08547975589150102,0.9741666666666667,0.035404409643746665,0.9563105620155039,0.0188343291931992
8,Fusion Logistic Regression,99,131,0.1,not_applicable,5,0,0.9826720465923773,0.014855400154738255,0.886011654269292,0.07505501301122115,0.7999353023607705,0.044462431293614484,0.8139521881627145,0.04179000281406062,0.951388888888889,0.012991865926298406,0.7074797170792595,0.05940015692919327,0.9616666666666667,0.035034705015963175,0.9500726744186047,0.01421302896556348
9,Fusion Logistic Regression,24,56,0.01,not_applicable,5,0,0.9804138404392765,0.01058918151934748,0.8512567862389364,0.09384451735628137,0.7081825808986139,0.0540175829073958,0.7143989573898646,0.05726865668077017,0.9111111111111111,0.022715871158050186,0.5581602564102564,0.06928080012013428,1.0,0.0,0.9002059108527132,0.025226911099750154
10,Fusion Logistic Regression,24,56,100.0,not_applicable,5,0,0.9781955547480621,0.018327244135103348,0.8751224994156708,0.0808410016470048,0.791144372339287,0.0865891200562168,0.8132084390705081,0.0768182917382346,0.9569444444444445,0.019270051285432778,0.7857938965059709,0.09239730716388407,0.8474999999999999,0.08542174781634944,0.9703367248062016,0.016037526112190763
11,Fusion Logistic Regression,52,84,10.0,not_applicable,5,0,0.9742500908430232,0.01597912602900232,0.8309805081161379,0.09746062532052908,0.7769327912915462,0.058755781055979686,0.7994703224192389,0.05377388943550739,0.951388888888889,0.015528249843748534,0.7408838383838384,0.08157818413974419,0.8733333333333334,0.04435103030245057,0.9609980620155039,0.016573368454047277
12,Fusion Logistic Regression,99,131,1.0,not_applicable,5,0,0.9693693980135659,0.028042195738590854,0.8633795950171136,0.07868573159272703,0.786440008227351,0.06740925443557787,0.8075940725940727,0.06221192228820617,0.9527777777777778,0.018633899812498227,0.746446732773964,0.09750858558607471,0.8858333333333335,0.029107081994288294,0.9609980620155039,0.019918505325792132
13,Fusion Logistic Regression,52,84,100.0,not_applicable,5,0,0.9654325137273903,0.022691595475900814,0.8036896168420583,0.09933030640820623,0.723340857294476,0.07113179807286175,0.7526659681071446,0.06280577595053947,0.9416666666666667,0.014400306495366466,0.7057146542827656,0.06656577368385946,0.8108333333333334,0.08698259723773615,0.9578851744186047,0.011813365900012337
14,Fusion Logistic Regression,99,131,10.0,not_applicable,5,0,0.960948855377907,0.03278705850736159,0.837841955000569,0.06656370077232644,0.7295487142718496,0.07705246296435964,0.7569444444444444,0.06970783384072003,0.9402777777777779,0.023854950051830096,0.7100715022851245,0.11968744518052296,0.8233333333333335,0.05039772371402856,0.954735949612403,0.026754931725492332
15,Fusion Logistic Regression,99,131,100.0,not_applicable,5,0,0.9539525294735143,0.03355663179985264,0.7948409051202863,0.033511805970576874,0.7121894635107264,0.07519336728436278,0.7412737127371274,0.06858012592510397,0.9361111111111111,0.02474795789056312,0.6939734630694383,0.12329256324946107,0.8099999999999999,0.044546324203013646,0.9516230620155038,0.02894165512979487
