selection_rank,model,pca_components,fusion_dimensions,C,gamma,folds,cv_fit_warnings,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,mean_cv_Accuracy,sd_cv_Accuracy,mean_cv_Precision,sd_cv_Precision,mean_cv_Recall,sd_cv_Recall,mean_cv_Specificity,sd_cv_Specificity
1,Fusion RBF-SVM,99,131,1.0,0.001,5,0,0.9843935218830749,0.008363908090511357,0.8897529519118479,0.05555835156611421,0.7540017057051791,0.08322572219557033,0.779942263891096,0.07280932545988232,0.951388888888889,0.01901814435781825,0.7925062656641604,0.11375852607611865,0.7716666666666667,0.037891475147965537,0.9734738372093024,0.017993799335787142
2,Fusion RBF-SVM,99,131,1.0,scale,5,0,0.9836065689599482,0.009242290801688363,0.8812280509666344,0.06841463895189419,0.7700643753012566,0.09206373277118694,0.7947266648594921,0.08071598853769395,0.9527777777777778,0.020483168338545292,0.773141186299081,0.11286028716347062,0.8225,0.06925947588597534,0.9687984496124031,0.0174696169985123
3,Fusion RBF-SVM,24,56,1.0,0.001,5,0,0.983302194363695,0.010898488019294399,0.8780545313389739,0.08522945008142332,0.760419820268274,0.08977534927573416,0.786720553323969,0.07944112991706528,0.95,0.019885862587883805,0.7445304437564499,0.08739742439771603,0.835,0.07256462636849995,0.9641109496124031,0.014212512844147538
4,Fusion RBF-SVM,24,56,1.0,scale,5,0,0.983302194363695,0.01094759903872354,0.8778595104781924,0.08432459280908551,0.760419820268274,0.08977534927573416,0.786720553323969,0.07944112991706528,0.95,0.019885862587883805,0.7445304437564499,0.08739742439771603,0.835,0.07256462636849995,0.9641109496124031,0.014212512844147538
5,Fusion RBF-SVM,52,84,1.0,scale,5,0,0.983302194363695,0.0098650579819666,0.8723773351065635,0.0765181481921189,0.7709553525096864,0.09797308941108161,0.7955218216318786,0.0857791719815369,0.9527777777777778,0.021063542900143173,0.7625146198830409,0.09500863474318261,0.835,0.09576990654688977,0.9672359496124031,0.015034329757197679
6,Fusion RBF-SVM,52,84,1.0,0.001,5,0,0.9832102410368216,0.009344932678931992,0.8744258801054465,0.06829277388823062,0.7692040986863418,0.1091970396218703,0.7936265884652981,0.09528774933625932,0.9527777777777778,0.023240556292613183,0.771627598407784,0.11619195543083226,0.8225,0.1032291141103129,0.9687984496124031,0.0174696169985123
7,Fusion RBF-SVM,99,131,100.0,scale,5,0,0.9762466690891471,0.02834582300574403,0.9154802159556417,0.06111367962225627,0.795284775667704,0.07328553718537212,0.8163943583298423,0.06495156801159127,0.9597222222222221,0.013357905598382876,0.8149815715759987,0.07161922890711918,0.8225,0.09329054078522646,0.9765988372093023,0.009568664292308484
8,Fusion RBF-SVM,99,131,100.0,0.001,5,0,0.9757640907622738,0.027778230346739607,0.9132450033262216,0.057229855880286305,0.7702393703484572,0.072505542722282,0.794265682408063,0.06451386027071973,0.9555555555555555,0.013537214367790235,0.8071708683473389,0.07536799638473655,0.7841666666666667,0.07379824222537795,0.9765988372093023,0.009568664292308484
9,Fusion RBF-SVM,24,56,100.0,scale,5,0,0.9755516694928941,0.028639455229738403,0.9121790238342096,0.06452823761478753,0.8331463267599858,0.10922011716657146,0.8497769782399764,0.09805700103148808,0.9680555555555556,0.020006750404011016,0.8568124685771744,0.07565936540866804,0.8466666666666667,0.13298783361228536,0.9828367248062015,0.008563863021756145
10,Fusion RBF-SVM,24,56,100.0,0.001,5,0,0.9751610444928941,0.028598049390304678,0.9094626776803635,0.07099990869959093,0.8188492397831844,0.1104181836106285,0.8375400772099718,0.09878700810291134,0.9652777777777779,0.02024636074599064,0.8432539682539681,0.08154448107352218,0.8341666666666667,0.1250138881173697,0.9812863372093024,0.00888405754244016
11,Fusion RBF-SVM,52,84,100.0,scale,5,0,0.9749771378391472,0.027847698391268567,0.9060920802304437,0.06967848146994773,0.787331030789636,0.06904402256232225,0.8096716692542121,0.06131745436379342,0.9583333333333334,0.012991865926298406,0.8126423902894491,0.07284120898687009,0.8099999999999999,0.07675040716504376,0.9765988372093023,0.009568664292308484
12,Fusion RBF-SVM,24,56,0.1,scale,5,0,0.9746920421511629,0.010102865697121476,0.8192495812963129,0.06284514197125712,0.6643511155851982,0.10717891361815708,0.7007287960229137,0.09450769712214659,0.9263888888888889,0.023344078213849477,0.6337593984962406,0.09274231126834777,0.7841666666666667,0.09670796531597362,0.9438468992248061,0.014978750783568145
13,Fusion RBF-SVM,24,56,0.1,0.001,5,0,0.9745829800549096,0.010241815387660058,0.8175604378612455,0.06392363812755476,0.6697604328027513,0.11844816867707653,0.7057708128296364,0.10502580775773175,0.9277777777777778,0.026260653334984778,0.6425313283208021,0.11135823737402098,0.7841666666666667,0.09670796531597362,0.9454093992248062,0.01827150086033832
14,Fusion RBF-SVM,52,84,0.1,0.001,5,0,0.9745138384205425,0.009973143746430622,0.8171928169537581,0.06641606615280639,0.6522932614674116,0.12501068503780646,0.6909617180205415,0.11051500761545817,0.925,0.027516128827998535,0.634561403508772,0.11495178107760985,0.7591666666666667,0.10347268829126952,0.9454093992248062,0.01827150086033832
15,Fusion RBF-SVM,52,84,100.0,0.001,5,0,0.9744945595122738,0.027311568640667607,0.9062023567614137,0.06466008458981705,0.7782718139669618,0.08785404026779023,0.8010695187165776,0.0792478968512548,0.9569444444444445,0.015835769793043575,0.8088328664799252,0.07831812329792213,0.7975,0.10246950765959599,0.9765988372093023,0.009568664292308484
16,Fusion RBF-SVM,99,131,10.0,0.001,5,0,0.9740697169735142,0.028465680064750795,0.9056065243486877,0.05110941039844741,0.762466873647657,0.11543882566067767,0.7875574712643678,0.10221161768895554,0.9541666666666668,0.022821773229381937,0.8053571428571429,0.115105874067738,0.7716666666666667,0.09616789427292713,0.9765988372093023,0.014616075014821846
17,Fusion RBF-SVM,99,131,10.0,scale,5,0,0.9737710453003876,0.028833420349868872,0.9012524827611902,0.06204407518269867,0.7404636257382894,0.10773464569451846,0.7672413793103449,0.09468052860555515,0.95,0.021628349308885346,0.7917582417582418,0.1159335776772178,0.7466666666666667,0.08870206060490114,0.9750363372093023,0.015032585350256176
18,Fusion RBF-SVM,99,131,0.1,0.001,5,0,0.9733996992086563,0.009662632318041885,0.7978021799361018,0.06124797735763413,0.648707942553979,0.10665252229042758,0.6881096681096681,0.09441837532393937,0.925,0.02425590166190692,0.6390333677330582,0.10771638564347412,0.7466666666666667,0.07690858570767997,0.9469597868217055,0.01780695251870425
19,Fusion RBF-SVM,52,84,0.1,scale,5,0,0.9733419634205426,0.010122938321255387,0.8079587169142208,0.06216600830213721,0.6522932614674116,0.12501068503780646,0.6909617180205415,0.11051500761545817,0.925,0.027516128827998535,0.634561403508772,0.11495178107760985,0.7591666666666667,0.10347268829126952,0.9454093992248062,0.01827150086033832
20,Fusion RBF-SVM,99,131,0.1,scale,5,0,0.9727446200742895,0.010394902517429713,0.8052944316488327,0.06259708496960842,0.6522932614674116,0.12501068503780646,0.6909617180205415,0.11051500761545817,0.925,0.027516128827998535,0.634561403508772,0.11495178107760985,0.7591666666666667,0.10347268829126952,0.9454093992248062,0.01827150086033832
21,Fusion RBF-SVM,52,84,10.0,0.001,5,0,0.9720018269541344,0.02849150521173073,0.8950208657262643,0.06176914808553724,0.7697359041126978,0.10412636645303307,0.7933426028921022,0.09136213215456676,0.9555555555555555,0.02000675040401099,0.8183333333333334,0.11875365491451435,0.7725,0.08263246940519206,0.9781613372093023,0.013970581939921551
22,Fusion RBF-SVM,24,56,10.0,scale,5,0,0.971909873627261,0.028100903422692388,0.8974496689205473,0.05991177942217746,0.7794315604012543,0.10192522928492749,0.8015162271805274,0.08861364569942694,0.9569444444444445,0.01988586258788381,0.825436507936508,0.13312593114211077,0.7841666666666667,0.07379824222537795,0.978173449612403,0.016903888115135306
23,Fusion RBF-SVM,52,84,10.0,scale,5,0,0.9719041707041344,0.028451854324148252,0.8904494576179888,0.0647936160225037,0.7784302087980924,0.10698010284283456,0.8007904207289146,0.09400293874107793,0.9569444444444445,0.02048316833854529,0.8222222222222223,0.1227262335243029,0.7849999999999999,0.0941242529850835,0.9781613372093023,0.01502314008005857
24,Fusion RBF-SVM,24,56,10.0,0.01,5,0,0.9717680575742893,0.012041021832892353,0.8746672100950826,0.03477644550935966,0.7001487151058359,0.0660035478602562,0.7055181115181115,0.07161643026310524,0.9472222222222222,0.010531771450071592,0.9053030303030303,0.06142907098570777,0.5833333333333333,0.08960755486502736,0.9921996124031007,0.005524338121127668
