figure_number,format,path,exists,size_bytes,sha256,white_background,unified_font_and_palette,panel_labels_present,source_data_frozen,model_retraining,new_bootstrap,threshold_optimization,scientific_result_changed
Figure 1,PNG,manuscript\figures\Figure1_Study_Design_and_Peptide_Landscape.png,True,495336,293B44CF1FB199D2ACC8F6B7E3C4C6566F848B15977F27F83AC0A681E4355EDA,True,True,True,True,False,False,False,False
Figure 1,PDF,manuscript\figures\Figure1_Study_Design_and_Peptide_Landscape.pdf,True,71605,D2B5A6EFE74EA426C0B19E2B9BF90F7FCDCB60B00BF30EEB5A4E5175C9731FA5,True,True,True,True,False,False,False,False
Figure 2,PNG,manuscript\figures\Figure2_Comparative_Performance_and_Uncertainty.png,True,455941,85E36248D085EF80D2CA7CB325B1FB9F487BCFF7FFE01AD6CC04AF2C49EC1D84,True,True,True,True,False,False,False,False
Figure 2,PDF,manuscript\figures\Figure2_Comparative_Performance_and_Uncertainty.pdf,True,67844,6161B8C70036364644E46B86EF6015D7DF15F50C2B11427CF4DB41B8FFB236AE,True,True,True,True,False,False,False,False
Figure 3,PNG,manuscript\figures\Figure3_Generalization_and_Complementarity.png,True,551733,F98158EB4CAADEAF661B163F67DA9DCF5BAD86895C93D040819097FCE7E936AE,True,True,True,True,False,False,False,False
Figure 3,PDF,manuscript\figures\Figure3_Generalization_and_Complementarity.pdf,True,74957,46E72F23636F99743C10117543500378043315173A2526F80592A555126A23CD,True,True,True,True,False,False,False,False
Figure 4,PNG,manuscript\figures\Figure4_ESM2_Interpretability.png,True,485200,5D5738DAC6F483A69888BB51F909E06391FF7B12B0AD7A2D8942AC0B3ABD9E0C,True,True,True,True,False,False,False,False
Figure 4,PDF,manuscript\figures\Figure4_ESM2_Interpretability.pdf,True,70391,17DF1104B6929F479CC4505DD573528BAAD969AF5E809145D74F93B8B60C7C7A,True,True,True,True,False,False,False,False
Figure 5,PNG,manuscript\figures\Figure5_Universal_Model_Failures.png,True,593951,B8001DE0E4C9E6E90E16E6B998BEF1F9EDD7A68749EC4C7DCD4ED1770E25A5AC,True,True,True,True,False,False,False,False
Figure 5,PDF,manuscript\figures\Figure5_Universal_Model_Failures.pdf,True,71900,5A43D296B0BBDF35D1E9E9B306BF2137DA5535E056756C9C03A70FDE4B2755BC,True,True,True,True,False,False,False,False
