figure_number,figure_title,panel,panel_title,source_png,source_width_px,source_height_px,source_sha256_before,composite_png,composite_pdf,scientific_content_redrawn
1,Dataset and representation landscape,A,Physicochemical landscape,E:\postdoc-work\ist-project\figures\Step25_Physicochemical_Distributions_Annotated.png,9669,5169,8F082C413E5034CE7B66027F9863275C567239365392B1F1C50EA97D83E4AA52,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.pdf,False
1,Dataset and representation landscape,B,Descriptor correlation structure,E:\postdoc-work\ist-project\figures\Step26_Spearman_Correlation_Heatmap.png,8920,7725,2E8F41BD29F1FB8BB548536B810957818D74547FC32ECB8F3A0210A927188B2C,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.pdf,False
1,Dataset and representation landscape,C,ESM-2 dimension variability,E:\postdoc-work\ist-project\figures\Step46_ESM2_Dimension_SD_Distribution.png,5334,3837,E689DAFB98C2DDF95D6326D65D9D149E983DF85614048FFD27EDE2D8F20FD9DD,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.pdf,False
1,Dataset and representation landscape,D,ESM-2 cumulative variance,E:\postdoc-work\ist-project\figures\Step46_ESM2_PCA_Cumulative_Variance.png,5337,3837,5145EA0384ADA6313A9E28414A9CE80A35DA5608F7FE4E2F8F7DFF274A513BB0,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.pdf,False
1,Dataset and representation landscape,E,Sequence-family redundancy audit,E:\postdoc-work\ist-project\figures\Step66_Sequence_Family_Redundancy.png,4699,2684,24AC166939C142EA5B5F0C5379D47BBBC9D686F2D39ABD23266EF87495702D0F,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.pdf,False
1,Dataset and representation landscape,F,Test-to-development similarity,E:\postdoc-work\ist-project\figures\Step66_Test_to_Development_Similarity.png,5073,2324,18F925BD73961B87E68AB3F102FD95A5F1E0FFE3661AC02AE3099C4DEF7BB94F,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure1_Dataset_and_Representation_Landscape.pdf,False
2,Traditional and ESM-2 predictive performance,A,Traditional ROC curves,E:\postdoc-work\ist-project\figures\Step36_Traditional_Model_ROC.png,3689,4135,252447020E4130576ECE35745F6914DC9A5268EF4A32733DEE6ED92B3A3653FC,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.pdf,False
2,Traditional and ESM-2 predictive performance,B,Traditional precision-recall curves,E:\postdoc-work\ist-project\figures\Step36_Traditional_Model_PR.png,3692,4135,686E22A0601FD5E05C58D155CF18369ABE6AB39B184626B1DA3A170AA81E3C00,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.pdf,False
2,Traditional and ESM-2 predictive performance,C,Traditional metric comparison,E:\postdoc-work\ist-project\figures\Step37_Traditional_Model_Metric_Comparison.png,6537,4136,BBC9F177C1B79073F1400E3C46F2BB37F5467725FBB1564CBB38CB732F86E455,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.pdf,False
2,Traditional and ESM-2 predictive performance,D,ESM-2 ROC curves,E:\postdoc-work\ist-project\figures\Step52_ESM2_Model_ROC.png,4198,4269,65FEA0C6BE0A30F8969A1731765E2A16A6C24C4212559466BA71011C24E5ECC1,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.pdf,False
2,Traditional and ESM-2 predictive performance,E,ESM-2 precision-recall curves,E:\postdoc-work\ist-project\figures\Step52_ESM2_Model_PR.png,4198,4269,CDB63F46F0A28A52CB1664575ECFD6211AA0BBCDD3619CA589D4DB948F9F770F,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.pdf,False
2,Traditional and ESM-2 predictive performance,F,ESM-2 metric comparison,E:\postdoc-work\ist-project\figures\Step52_ESM2_Model_Metric_Comparison.png,6669,4269,EF5FA15AA788A7DA10E9462AD08295E7B36A22A1A27BDBCA099E1B2A22BF529F,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.pdf,False
2,Traditional and ESM-2 predictive performance,G,Bootstrap performance uncertainty,E:\postdoc-work\ist-project\figures\Step74_Model_Performance_Confidence_Intervals.png,9345,3746,BA420832B158B94B483FE1FD33B3B7D335609C539790D07969FD93D30EAF136C,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure2_Traditional_and_ESM2_Performance.pdf,False
3,"Matched improvements, calibration, and decision utility",A,Matched representation deltas,E:\postdoc-work\ist-project\figures\Step53_Traditional_vs_ESM2_Metric_Deltas.png,6668,5038,05AA7A7AD324ED4896BF60F0FB100169BA9CAD65BFF41746C91FD4D01815F6A9,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.pdf,False
