supplementary_figure,panel,panel_title,source_png,source_width_px,source_height_px,source_sha256_before,scientific_content_redrawn,composite_png,composite_pdf
S1,A,Complete physicochemical distributions,E:\postdoc-work\ist-project\figures\Step23_Physicochemical_Distributions.png,9669,5169,9B891EFA085C9DA3C9E6CDD84351A3A1EC0A41B79B11A4A765B205CC894CE9DB,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S1_Additional_Model_and_Descriptor_Diagnostics.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S1_Additional_Model_and_Descriptor_Diagnostics.pdf
S1,B,Traditional XGBoost permutation importance,E:\postdoc-work\ist-project\figures\Step39_XGBoost_Permutation_Importance.png,6201,4856,5D7C250B22EE16141E98699565049BBDB6CDAB34EEA99012C469451CBCFFC0FC,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S1_Additional_Model_and_Descriptor_Diagnostics.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S1_Additional_Model_and_Descriptor_Diagnostics.pdf
S1,C,Traditional-model agreement and errors,E:\postdoc-work\ist-project\figures\Step40_Traditional_Model_Agreement.png,5454,3836,CB4276F6D78EA1A192B1D7BF54A6F76203B427B1CF2EA2995EEC00BD5BA10765,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S1_Additional_Model_and_Descriptor_Diagnostics.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S1_Additional_Model_and_Descriptor_Diagnostics.pdf
S1,D,Integrated multi-domain model summary,E:\postdoc-work\ist-project\figures\Step76_Integrated_Model_Performance_Map.png,9477,4912,C4B1314FED3D47A3883308738B97E3E5BA53C037CE4163F19372E185912072BC,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S1_Additional_Model_and_Descriptor_Diagnostics.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S1_Additional_Model_and_Descriptor_Diagnostics.pdf
S2,A,Unanimous-error probability shifts,E:\postdoc-work\ist-project\figures\Step57_Unanimous_Error_Probability_Shifts.png,5589,2949,C73BC3C2B29B08E5567A2636D91EBB370A62673A5FB4CCBFADC6ECE3F86AF340,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf
S2,B,Persistent-error descriptor extremeness,E:\postdoc-work\ist-project\figures\Step58_Persistent_Error_Descriptor_Zscores.png,5765,3309,CE952DF73B46CB4EC13909F39D0EE6E0DF674E60A6B5850115065E9BD41CF9CF,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf
S2,C,Hard-case nearest-neighbor map,E:\postdoc-work\ist-project\figures\Step61_Hard_Case_Nearest_Neighbor_Map.png,3760,3732,55A522D79E697D60A2C57C80DAA239F90961D9579A0B2661E5DD61792C2DE01B,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf
S2,D,Within-hard-case sequence similarity,E:\postdoc-work\ist-project\figures\Step62_Hard_Case_Sequence_Similarity_Map.png,4719,4297,1F90B118CB28325CBB7B8555B48BA111D83C7EEF098A5F50CC25515A49157A92,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf
S3,A,Hard-case sequence-cluster network,E:\postdoc-work\ist-project\figures\Step62_Hard_Case_Cluster_Network.png,2890,3896,6AD7C32D68E4EDEA170E3493EA53C857E870AB3F8F48CC23C6E3B30425F8893A,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.pdf
S3,B,Development-neighbor evidence map,E:\postdoc-work\ist-project\figures\Step63_Hard_Case_Development_Neighbor_Map.png,3833,3774,048D25AF0AF98417162FD12396B58D6FEF6E7D6BA353E83FD33D64EA54F837E2,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.pdf
S3,C,Development-set proximity margins,E:\postdoc-work\ist-project\figures\Step63_Hard_Case_Development_Proximity.png,4831,3440,B1746C71282C53044A9DD3D9B47033994646623FB19B82050710D308D4422301,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.pdf
