figure_number,format,path,bytes,format_valid
1,PNG,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.png,1893549,True
1,PDF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.pdf,1332184,True
1,TIFF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.tiff,4583752,True
2,PNG,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.png,2027218,True
2,PDF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.pdf,1287298,True
2,TIFF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.tiff,3065860,True
3,PNG,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.png,1998297,True
3,PDF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.pdf,1142130,True
3,TIFF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.tiff,2809146,True
4,PNG,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.png,2193454,True
4,PDF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.pdf,1139098,True
4,TIFF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.tiff,2817710,True
5,PNG,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.png,1268866,True
5,PDF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.pdf,1003519,True
5,TIFF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.tiff,3439132,True
6,PNG,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,2616985,True
6,PDF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,1802699,True
6,TIFF,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff,5158998,True
