figure_number,figure_title,row,panel,source_png,source_sha256_before,original_width_px,original_height_px,crop_left,crop_top,crop_right,crop_bottom,cropped_width_px,cropped_height_px,placed_width_px,placed_height_px,scientific_content_redrawn,output_png,output_pdf,output_tiff
1,"Peptide landscape, representations, and split integrity",1,A,E:\postdoc-work\ist-project\figures\Step25_Physicochemical_Distributions_Annotated.png,8F082C413E5034CE7B66027F9863275C567239365392B1F1C50EA97D83E4AA52,9669,5169,44,35,9638,5116,9594,5081,4690,2484,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.tiff
1,"Peptide landscape, representations, and split integrity",2,B,E:\postdoc-work\ist-project\figures\Step26_Spearman_Correlation_Heatmap.png,2E8F41BD29F1FB8BB548536B810957818D74547FC32ECB8F3A0210A927188B2C,8920,7725,41,35,8882,7684,8841,7649,2096,1813,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.tiff
1,"Peptide landscape, representations, and split integrity",2,C,E:\postdoc-work\ist-project\figures\Step46_ESM2_PCA_Cumulative_Variance.png,5145EA0384ADA6313A9E28414A9CE80A35DA5608F7FE4E2F8F7DFF274A513BB0,5337,3837,36,35,5305,3798,5269,3763,2539,1813,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.tiff
1,"Peptide landscape, representations, and split integrity",3,D,E:\postdoc-work\ist-project\figures\Step66_Sequence_Family_Redundancy.png,24AC166939C142EA5B5F0C5379D47BBBC9D686F2D39ABD23266EF87495702D0F,4699,2684,18,17,4685,2664,4667,2647,2061,1169,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.tiff
1,"Peptide landscape, representations, and split integrity",3,E,E:\postdoc-work\ist-project\figures\Step66_Test_to_Development_Similarity.png,18F925BD73961B87E68AB3F102FD95A5F1E0FFE3661AC02AE3099C4DEF7BB94F,5073,2324,18,18,5052,2304,5034,2286,2574,1169,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure1_Peptide_Landscape_and_Representation_Integrity.tiff
2,Predictive performance and matched representation gains,1,A,E:\postdoc-work\ist-project\figures\Step36_Traditional_Model_ROC.png,252447020E4130576ECE35745F6914DC9A5268EF4A32733DEE6ED92B3A3653FC,3689,4135,36,35,3657,4096,3621,4061,1074,1204,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.tiff
2,Predictive performance and matched representation gains,1,B,E:\postdoc-work\ist-project\figures\Step36_Traditional_Model_PR.png,686E22A0601FD5E05C58D155CF18369ABE6AB39B184626B1DA3A170AA81E3C00,3692,4135,36,35,3661,4080,3625,4045,1079,1204,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.tiff
2,Predictive performance and matched representation gains,1,C,E:\postdoc-work\ist-project\figures\Step52_ESM2_Model_ROC.png,65FEA0C6BE0A30F8969A1731765E2A16A6C24C4212559466BA71011C24E5ECC1,4198,4269,36,35,4158,4230,4122,4195,1183,1204,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.tiff
2,Predictive performance and matched representation gains,1,D,E:\postdoc-work\ist-project\figures\Step52_ESM2_Model_PR.png,CDB63F46F0A28A52CB1664575ECFD6211AA0BBCDD3619CA589D4DB948F9F770F,4198,4269,36,35,4158,4212,4122,4177,1189,1204,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.tiff
2,Predictive performance and matched representation gains,2,E,E:\postdoc-work\ist-project\figures\Step53_Traditional_vs_ESM2_Metric_Deltas.png,05AA7A7AD324ED4896BF60F0FB100169BA9CAD65BFF41746C91FD4D01815F6A9,6668,5038,36,35,6637,5000,6601,4965,2273,1710,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.tiff
2,Predictive performance and matched representation gains,2,F,E:\postdoc-work\ist-project\figures\Step55_Traditional_vs_ESM2_Bootstrap_CI.png,1B8CE9647121271AA6640B4D670389A9D7EEB568D30865FA4F0D8B57F202E9DD,6166,4475,42,36,6123,4437,6081,4401,2362,1710,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.tiff
2,Predictive performance and matched representation gains,3,G,E:\postdoc-work\ist-project\figures\Step74_Model_Performance_Confidence_Intervals.png,BA420832B158B94B483FE1FD33B3B7D335609C539790D07969FD93D30EAF136C,9345,3746,36,35,9314,3708,9278,3673,4690,1857,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure2_Predictive_Performance_and_Representation_Gains.tiff
3,"Calibration, clinical utility, and leading-model trade-offs",1,A,E:\postdoc-work\ist-project\figures\Step71_Model_Calibration_Curves.png,A6B8413498A1C717B3271E23201AB113BDCDD494DFE87E5815C38EE22AB51717,5250,2394,112,0,4917,2394,4805,2394,2124,1058,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.tiff
