supplementary_figure,figure_title,row,panel,source_png,source_sha256_before,original_width_px,original_height_px,crop_left,crop_top,crop_right,crop_bottom,cropped_width_px,cropped_height_px,placed_width_px,placed_height_px,scientific_content_redrawn,output_png,output_pdf,output_tiff
S1,Additional descriptor and model diagnostics,1,A,E:\postdoc-work\ist-project\figures\Step23_Physicochemical_Distributions.png,9B891EFA085C9DA3C9E6CDD84351A3A1EC0A41B79B11A4A765B205CC894CE9DB,9669,5169,44,35,9638,5116,9594,5081,4690,2484,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.tiff
S1,Additional descriptor and model diagnostics,2,B,E:\postdoc-work\ist-project\figures\Step39_XGBoost_Permutation_Importance.png,5D7C250B22EE16141E98699565049BBDB6CDAB34EEA99012C469451CBCFFC0FC,6201,4856,36,35,6169,4817,6133,4782,2191,1708,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.tiff
S1,Additional descriptor and model diagnostics,2,C,E:\postdoc-work\ist-project\figures\Step40_Traditional_Model_Agreement.png,CB4276F6D78EA1A192B1D7BF54A6F76203B427B1CF2EA2995EEC00BD5BA10765,5454,3836,36,35,5422,3797,5386,3762,2444,1708,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.tiff
S1,Additional descriptor and model diagnostics,3,D,E:\postdoc-work\ist-project\figures\Step76_Integrated_Model_Performance_Map.png,C4B1314FED3D47A3883308738B97E3E5BA53C037CE4163F19372E185912072BC,9477,4912,35,35,9433,4873,9398,4838,4690,2414,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.tiff
S2,Probability shifts and hard-case proximity,1,A,E:\postdoc-work\ist-project\figures\Step57_Unanimous_Error_Probability_Shifts.png,C73BC3C2B29B08E5567A2636D91EBB370A62673A5FB4CCBFADC6ECE3F86AF340,5589,2949,36,35,5558,2894,5522,2859,2426,1256,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.tiff
S2,Probability shifts and hard-case proximity,1,B,E:\postdoc-work\ist-project\figures\Step58_Persistent_Error_Descriptor_Zscores.png,CE952DF73B46CB4EC13909F39D0EE6E0DF674E60A6B5850115065E9BD41CF9CF,5765,3309,42,35,5713,3257,5671,3222,2209,1256,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.tiff
S2,Probability shifts and hard-case proximity,2,C,E:\postdoc-work\ist-project\figures\Step61_Hard_Case_Nearest_Neighbor_Map.png,55A522D79E697D60A2C57C80DAA239F90961D9579A0B2661E5DD61792C2DE01B,3760,3732,18,17,3741,3712,3723,3695,2217,2200,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.tiff
S2,Probability shifts and hard-case proximity,2,D,E:\postdoc-work\ist-project\figures\Step62_Hard_Case_Sequence_Similarity_Map.png,1F90B118CB28325CBB7B8555B48BA111D83C7EEF098A5F50CC25515A49157A92,4719,4297,18,19,4699,4277,4681,4258,2418,2200,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.tiff
S3,Sequence families and development-neighborhood context,1,A,E:\postdoc-work\ist-project\figures\Step62_Hard_Case_Cluster_Network.png,6AD7C32D68E4EDEA170E3493EA53C857E870AB3F8F48CC23C6E3B30425F8893A,2890,3896,52,17,2840,3858,2788,3841,1931,2661,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.tiff
S3,Sequence families and development-neighborhood context,1,B,E:\postdoc-work\ist-project\figures\Step63_Hard_Case_Development_Neighbor_Map.png,048D25AF0AF98417162FD12396B58D6FEF6E7D6BA353E83FD33D64EA54F837E2,3833,3774,18,17,3814,3754,3796,3737,2704,2661,False,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.png,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.pdf,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.tiff
