feature,minimum,maximum,n_unique,missing
length,5.0,38.0,26,0
AAC_A,0.0,0.4545454545454545,84,0
AAC_C,0.0,0.0833333333333333,3,0
AAC_D,0.0,0.3076923076923077,52,0
AAC_E,0.0,0.3636363636363636,62,0
AAC_F,0.0,0.4,57,0
AAC_G,0.0,0.2631578947368421,50,0
AAC_H,0.0,0.2727272727272727,41,0
AAC_I,0.0,0.3333333333333333,59,0
AAC_K,0.0,0.5217391304347826,93,0
AAC_L,0.0,0.4166666666666667,85,0
AAC_M,0.0,0.25,43,0
AAC_N,0.0,0.25,45,0
AAC_P,0.0,0.2307692307692307,27,0
AAC_Q,0.0,0.3636363636363636,58,0
AAC_R,0.0,0.3333333333333333,63,0
AAC_S,0.0,0.3571428571428571,56,0
AAC_T,0.0,0.3636363636363636,45,0
AAC_V,0.0,0.4166666666666667,57,0
AAC_W,0.0,0.3846153846153846,45,0
AAC_Y,0.0,0.2307692307692307,40,0
molecular_weight,572.6962000000001,4088.951700000001,875,0
net_charge_pH7_4,-7.403278064484737,12.524880162892234,655,0
isoelectric_point,4.0500284194946286,11.999967765808105,505,0
aromaticity,0.0,0.5454545454545454,78,0
instability_index,-55.17000000000001,150.52307692307693,804,0
mean_eisenberg_hydrophobicity,-0.7041176470588235,0.85,851,0
hydrophobic_moment,0.0093440612374238,0.8162808107616273,899,0
charge_density,-0.0034275410015906,0.0043921232563164,868,0
aliphatic_index,0.0,230.0,463,0
boman_index,-3.1580000000000004,5.430588235294118,884,0
hydrophobic_ratio,0.125,0.8,122,0
